phase,epoch,step,loss,lr
full,1,1,1.984878,8.333333333333333e-07
full,1,2,1.946861,1.6666666666666667e-06
full,1,3,1.932458,2.5e-06
full,1,4,1.979497,3.3333333333333333e-06
full,1,5,1.962081,4.166666666666667e-06
full,1,6,1.938469,5e-06
full,1,7,1.97207,5.833333333333334e-06
full,1,8,1.936287,6.666666666666667e-06
full,1,9,1.93525,7.500000000000001e-06
full,1,10,1.912469,8.333333333333334e-06
full,1,11,1.903854,9.166666666666666e-06
full,1,12,1.882259,1e-05
full,1,13,1.831182,1.0833333333333334e-05
full,1,14,1.874416,1.1666666666666668e-05
full,1,15,1.826785,1.25e-05
full,1,16,1.827451,1.3333333333333333e-05
full,1,17,1.741065,1.416666666666667e-05
full,1,18,1.722741,1.5000000000000002e-05
full,1,19,1.72621,1.5833333333333333e-05
full,1,20,1.49949,1.6666666666666667e-05
full,1,21,1.617633,1.7500000000000002e-05
full,1,22,1.58175,1.8333333333333333e-05
full,1,23,1.876979,1.916666666666667e-05
full,1,24,1.779241,2e-05
full,1,25,1.561239,1.9948849104859337e-05
full,1,26,1.620648,1.9897698209718672e-05
full,1,27,1.594253,1.9846547314578007e-05
full,1,28,1.811967,1.9795396419437342e-05
full,1,29,1.594514,1.9744245524296677e-05
full,1,30,1.235609,1.9693094629156012e-05
full,1,31,1.591437,1.9641943734015347e-05
full,1,32,1.678655,1.9590792838874682e-05
full,1,33,2.057642,1.9539641943734017e-05
full,1,34,1.503679,1.9488491048593352e-05
full,1,35,1.659426,1.9437340153452687e-05
full,1,36,1.385928,1.9386189258312022e-05
full,1,37,1.940652,1.9335038363171357e-05
full,1,38,2.264367,1.9283887468030692e-05
full,1,39,1.947925,1.9232736572890027e-05
full,1,40,1.785831,1.9181585677749362e-05
full,1,41,1.672926,1.9130434782608697e-05
full,1,42,1.464058,1.9079283887468032e-05
full,1,43,1.584921,1.9028132992327367e-05
full,1,44,1.902752,1.8976982097186702e-05
full,1,45,1.538322,1.8925831202046038e-05
full,1,46,1.751436,1.8874680306905373e-05
full,1,47,1.497631,1.8823529411764708e-05
full,1,48,1.528042,1.8772378516624043e-05
full,1,49,1.455338,1.8721227621483378e-05
full,1,50,1.761004,1.8670076726342713e-05
full,1,51,1.599423,1.8618925831202048e-05
full,1,52,1.55516,1.8567774936061383e-05
full,1,53,1.696684,1.8516624040920718e-05
full,1,54,1.437118,1.8465473145780053e-05
full,1,55,1.11006,1.8414322250639388e-05
full,1,56,1.407358,1.8363171355498723e-05
full,1,57,1.656264,1.8312020460358058e-05
full,1,58,1.722919,1.8260869565217393e-05
full,1,59,1.679778,1.8209718670076728e-05
full,1,60,1.591658,1.8158567774936063e-05
full,1,61,1.625369,1.8107416879795398e-05
full,1,62,1.486262,1.8056265984654733e-05
full,1,63,1.375242,1.800511508951407e-05
full,1,64,1.335123,1.7953964194373403e-05
full,1,65,1.398873,1.790281329923274e-05
full,1,66,1.638719,1.7851662404092073e-05
full,1,67,1.548734,1.780051150895141e-05
full,1,68,1.422768,1.7749360613810744e-05
full,1,69,1.436715,1.769820971867008e-05
