phase,epoch,step,loss,lr
full,1,1,0.677601,6.211180124223603e-08
full,1,2,0.760052,1.2422360248447206e-07
full,1,3,0.717509,1.863354037267081e-07
full,1,4,0.672832,2.484472049689441e-07
full,1,5,0.581664,3.1055900621118013e-07
full,1,6,0.639139,3.726708074534162e-07
full,1,7,0.650087,4.347826086956522e-07
full,1,8,0.660779,4.968944099378882e-07
full,1,9,0.643612,5.590062111801243e-07
full,1,10,0.636792,6.211180124223603e-07
full,1,11,0.596756,6.832298136645964e-07
full,1,12,0.701374,7.453416149068324e-07
full,1,13,0.589934,8.074534161490684e-07
full,1,14,0.665551,8.695652173913044e-07
full,1,15,0.669444,9.316770186335404e-07
full,1,16,0.665513,9.937888198757765e-07
full,1,17,0.646957,1.0559006211180126e-06
full,1,18,0.738463,1.1180124223602485e-06
full,1,19,0.660166,1.1801242236024846e-06
full,1,20,0.640884,1.2422360248447205e-06
full,1,21,0.6795,1.3043478260869566e-06
full,1,22,0.694407,1.3664596273291927e-06
full,1,23,0.671014,1.4285714285714286e-06
full,1,24,0.641133,1.4906832298136647e-06
full,1,25,0.67651,1.5527950310559006e-06
full,1,26,0.667817,1.6149068322981367e-06
full,1,27,0.635565,1.6770186335403729e-06
full,1,28,0.661007,1.7391304347826088e-06
full,1,29,0.679408,1.8012422360248449e-06
full,1,30,0.673692,1.8633540372670808e-06
full,1,31,0.725779,1.925465838509317e-06
full,1,32,0.593802,1.987577639751553e-06
full,1,33,0.665201,2.049689440993789e-06
full,1,34,0.61317,2.111801242236025e-06
full,1,35,0.682096,2.173913043478261e-06
full,1,36,0.600853,2.236024844720497e-06
full,1,37,0.646927,2.298136645962733e-06
full,1,38,0.741115,2.3602484472049692e-06
full,1,39,0.619847,2.422360248447205e-06
full,1,40,0.706968,2.484472049689441e-06
full,1,41,0.64984,2.546583850931677e-06
full,1,42,0.624257,2.6086956521739132e-06
full,1,43,0.702261,2.670807453416149e-06
full,1,44,0.708553,2.7329192546583855e-06
full,1,45,0.68323,2.795031055900621e-06
full,1,46,0.678118,2.8571428571428573e-06
full,1,47,0.68388,2.919254658385093e-06
full,1,48,0.622669,2.9813664596273295e-06
full,1,49,0.651263,3.043478260869566e-06
full,1,50,0.704643,3.1055900621118013e-06
full,1,51,0.712286,3.1677018633540376e-06
full,1,52,0.68182,3.2298136645962735e-06
full,1,53,0.636163,3.29192546583851e-06
full,1,54,0.625461,3.3540372670807457e-06
full,1,55,0.600377,3.4161490683229816e-06
full,1,56,0.692208,3.4782608695652175e-06
full,1,57,0.678721,3.540372670807454e-06
full,1,58,0.634075,3.6024844720496897e-06
full,1,59,0.660051,3.664596273291926e-06
full,1,60,0.717501,3.7267080745341615e-06
full,1,61,0.600158,3.788819875776398e-06
full,1,62,0.633395,3.850931677018634e-06
full,1,63,0.610482,3.91304347826087e-06
full,1,64,0.578263,3.975155279503106e-06
full,1,65,0.708251,4.037267080745342e-06
full,1,66,0.668259,4.099378881987578e-06
full,1,67,0.690461,4.1614906832298145e-06
full,1,68,0.705901,4.22360248447205e-06
full,1,69,0.610016,4.2857142857142855e-06
full,1,70,0.655689,4.347826086956522e-06
full,1,71,0.644764,4.409937888198758e-06
full,1,72,0.633039,4.472049689440994e-06
full,1,73,0.621084,4.534161490683231e-06
full,1,74,0.723277,4.596273291925466e-06
full,1,75,0.589783,4.6583850931677025e-06
full,1,76,0.60178,4.7204968944099384e-06
full,1,77,0.674335,4.782608695652174e-06
full,1,78,0.690291,4.84472049689441e-06
full,1,79,0.573034,4.906832298136646e-06
full,1,80,0.739963,4.968944099378882e-06
full,1,81,0.556912,5.031055900621118e-06
full,1,82,0.568428,5.093167701863354e-06
full,1,83,0.602833,5.155279503105591e-06
full,1,84,0.685457,5.2173913043478265e-06
full,1,85,0.554306,5.279503105590062e-06
full,1,86,0.587297,5.341614906832298e-06
full,1,87,0.599055,5.403726708074535e-06
full,1,88,0.624489,5.465838509316771e-06
full,1,89,0.62026,5.527950310559007e-06
full,1,90,0.561924,5.590062111801242e-06
full,1,91,0.562195,5.652173913043479e-06
full,1,92,0.627538,5.7142857142857145e-06
full,1,93,0.690736,5.77639751552795e-06
full,1,94,0.462361,5.838509316770186e-06
full,1,95,0.62802,5.900621118012423e-06
full,1,96,0.652243,5.962732919254659e-06
full,1,97,0.658557,6.024844720496895e-06
full,1,98,0.501462,6.086956521739132e-06
full,1,99,0.649776,6.1490683229813675e-06
full,1,100,0.64068,6.2111801242236025e-06
full,1,101,0.580364,6.2732919254658384e-06
full,1,102,0.601337,6.335403726708075e-06
full,1,103,0.693628,6.397515527950311e-06
full,1,104,0.499444,6.459627329192547e-06
full,1,105,0.638948,6.521739130434783e-06
full,1,106,0.717262,6.58385093167702e-06
full,1,107,0.719704,6.6459627329192555e-06
full,1,108,0.460543,6.7080745341614914e-06
full,1,109,0.457662,6.7701863354037265e-06
full,1,110,0.700925,6.832298136645963e-06
full,1,111,0.654891,6.894409937888199e-06
full,1,112,0.463148,6.956521739130435e-06
full,1,113,0.727159,7.018633540372671e-06
full,1,114,0.624159,7.080745341614908e-06
full,1,115,0.754795,7.1428571428571436e-06
full,1,116,0.514763,7.2049689440993795e-06
full,1,117,0.65635,7.267080745341616e-06
full,1,118,0.518856,7.329192546583852e-06
full,1,119,0.537186,7.391304347826087e-06
full,1,120,0.716233,7.453416149068323e-06
full,1,121,0.694702,7.515527950310559e-06
full,1,122,0.562319,7.577639751552796e-06
full,1,123,0.450543,7.639751552795032e-06
full,1,124,0.696006,7.701863354037268e-06
full,1,125,0.450089,7.763975155279503e-06
full,1,126,0.668687,7.82608695652174e-06
full,1,127,0.452529,7.888198757763977e-06
full,1,128,0.68666,7.950310559006212e-06
full,1,129,0.600093,8.012422360248447e-06
full,1,130,0.691232,8.074534161490684e-06
full,1,131,0.714854,8.13664596273292e-06
full,1,132,0.464552,8.198757763975156e-06
full,1,133,0.540989,8.260869565217392e-06
full,1,134,0.720892,8.322981366459629e-06
full,1,135,0.66906,8.385093167701864e-06
full,1,136,0.563925,8.4472049689441e-06
full,1,137,0.683414,8.509316770186336e-06
full,1,138,0.522083,8.571428571428571e-06
full,1,139,0.594463,8.633540372670808e-06
full,1,140,0.726388,8.695652173913044e-06
full,1,141,0.410863,8.75776397515528e-06
full,1,142,0.55623,8.819875776397516e-06
full,1,143,0.524066,8.881987577639753e-06
full,1,144,0.535403,8.944099378881988e-06
full,1,145,0.599857,9.006211180124225e-06
full,1,146,0.762577,9.068322981366461e-06
full,1,147,0.419497,9.130434782608697e-06
full,1,148,0.818098,9.192546583850932e-06
full,1,149,0.684675,9.254658385093168e-06
full,1,150,0.404044,9.316770186335405e-06
full,1,151,0.665014,9.37888198757764e-06
full,1,152,0.613301,9.440993788819877e-06
full,1,153,0.608679,9.503105590062112e-06
full,1,154,0.709019,9.565217391304349e-06
full,1,155,0.676448,9.627329192546585e-06
full,1,156,0.50516,9.68944099378882e-06
full,1,157,0.645579,9.751552795031056e-06
full,1,158,0.759579,9.813664596273292e-06
full,1,159,0.739778,9.875776397515529e-06
full,1,160,0.555523,9.937888198757764e-06
full,1,161,0.61764,1e-05
full,1,162,0.639212,1.0062111801242236e-05
full,1,163,0.768064,1.0124223602484473e-05
full,1,164,0.599096,1.0186335403726708e-05
full,1,165,0.638298,1.0248447204968946e-05
full,1,166,0.692041,1.0310559006211181e-05
full,1,167,0.676793,1.0372670807453418e-05
full,1,168,0.722865,1.0434782608695653e-05
full,1,169,0.660598,1.049689440993789e-05
full,1,170,0.551115,1.0559006211180125e-05
full,1,171,0.58572,1.062111801242236e-05
full,1,172,0.685757,1.0683229813664597e-05
full,1,173,0.643794,1.0745341614906832e-05
full,1,174,0.59604,1.080745341614907e-05
full,1,175,0.604393,1.0869565217391305e-05
full,1,176,0.734584,1.0931677018633542e-05
full,1,177,0.613068,1.0993788819875777e-05
full,1,178,0.62822,1.1055900621118014e-05
full,1,179,0.657934,1.1118012422360249e-05
full,1,180,0.681162,1.1180124223602484e-05
full,1,181,0.691293,1.1242236024844722e-05
full,1,182,0.68355,1.1304347826086957e-05
full,1,183,0.646449,1.1366459627329194e-05
full,1,184,0.57949,1.1428571428571429e-05
full,1,185,0.499263,1.1490683229813666e-05
full,1,186,0.611793,1.15527950310559e-05
full,1,187,0.70987,1.161490683229814e-05
full,1,188,0.626036,1.1677018633540373e-05
full,1,189,0.560981,1.1739130434782611e-05
full,1,190,0.409478,1.1801242236024846e-05
full,1,191,0.492308,1.1863354037267081e-05
full,1,192,0.780718,1.1925465838509318e-05
full,1,193,0.487414,1.1987577639751553e-05
full,1,194,0.607361,1.204968944099379e-05
full,1,195,0.493045,1.2111801242236025e-05
full,1,196,0.631026,1.2173913043478263e-05
full,1,197,0.536179,1.2236024844720498e-05
full,1,198,0.775894,1.2298136645962735e-05
full,1,199,0.626682,1.236024844720497e-05
full,1,200,0.492808,1.2422360248447205e-05
full,1,201,0.557182,1.2484472049689442e-05
full,1,202,0.701597,1.2546583850931677e-05
full,1,203,0.867281,1.2608695652173915e-05
full,1,204,0.907186,1.267080745341615e-05
full,1,205,0.733988,1.2732919254658387e-05
full,1,206,0.624092,1.2795031055900622e-05
full,1,207,0.906636,1.2857142857142859e-05
full,1,208,0.741911,1.2919254658385094e-05
full,1,209,0.622579,1.2981366459627329e-05
full,1,210,0.563774,1.3043478260869566e-05
full,1,211,0.604049,1.31055900621118e-05
full,1,212,0.575031,1.316770186335404e-05
full,1,213,0.586228,1.3229813664596274e-05
full,1,214,0.53822,1.3291925465838511e-05
full,1,215,0.516483,1.3354037267080746e-05
full,1,216,0.610984,1.3416149068322983e-05
full,1,217,0.551822,1.3478260869565218e-05
full,1,218,0.555708,1.3540372670807453e-05
full,1,219,0.584551,1.3602484472049691e-05
full,1,220,0.677807,1.3664596273291926e-05
full,1,221,0.426062,1.3726708074534163e-05
full,1,222,0.452668,1.3788819875776398e-05
full,1,223,0.666775,1.3850931677018635e-05
full,1,224,0.684615,1.391304347826087e-05
full,1,225,0.654339,1.3975155279503107e-05
full,1,226,0.484114,1.4037267080745342e-05
full,1,227,0.403136,1.409937888198758e-05
full,1,228,0.548745,1.4161490683229815e-05
full,1,229,0.470249,1.422360248447205e-05
full,1,230,0.885649,1.4285714285714287e-05
full,1,231,0.832231,1.4347826086956522e-05
full,1,232,0.72726,1.4409937888198759e-05
full,1,233,0.634108,1.4472049689440994e-05
full,1,234,0.491681,1.4534161490683232e-05
full,1,235,0.568816,1.4596273291925467e-05
full,1,236,0.557755,1.4658385093167704e-05
