phase,epoch,step,loss,lr
full,1,1,0.677601,1.2422360248447206e-07
full,1,2,0.760052,2.484472049689441e-07
full,1,3,0.717475,3.726708074534162e-07
full,1,4,0.67283,4.968944099378882e-07
full,1,5,0.581944,6.211180124223603e-07
full,1,6,0.639192,7.453416149068324e-07
full,1,7,0.650341,8.695652173913044e-07
full,1,8,0.660874,9.937888198757765e-07
full,1,9,0.643587,1.1180124223602485e-06
full,1,10,0.636937,1.2422360248447205e-06
full,1,11,0.596315,1.3664596273291927e-06
full,1,12,0.701409,1.4906832298136647e-06
full,1,13,0.588261,1.6149068322981367e-06
full,1,14,0.66485,1.7391304347826088e-06
full,1,15,0.669374,1.8633540372670808e-06
full,1,16,0.665467,1.987577639751553e-06
full,1,17,0.644693,2.111801242236025e-06
full,1,18,0.740104,2.236024844720497e-06
full,1,19,0.659095,2.3602484472049692e-06
full,1,20,0.637521,2.484472049689441e-06
full,1,21,0.680214,2.6086956521739132e-06
full,1,22,0.695222,2.7329192546583855e-06
full,1,23,0.67014,2.8571428571428573e-06
full,1,24,0.637363,2.9813664596273295e-06
full,1,25,0.676126,3.1055900621118013e-06
full,1,26,0.665285,3.2298136645962735e-06
full,1,27,0.633101,3.3540372670807457e-06
full,1,28,0.65922,3.4782608695652175e-06
full,1,29,0.678849,3.6024844720496897e-06
full,1,30,0.673375,3.7267080745341615e-06
full,1,31,0.728634,3.850931677018634e-06
full,1,32,0.582781,3.975155279503106e-06
full,1,33,0.663607,4.099378881987578e-06
full,1,34,0.603197,4.22360248447205e-06
full,1,35,0.682831,4.347826086956522e-06
full,1,36,0.582093,4.472049689440994e-06
full,1,37,0.642285,4.596273291925466e-06
full,1,38,0.749181,4.7204968944099384e-06
full,1,39,0.610246,4.84472049689441e-06
full,1,40,0.710478,4.968944099378882e-06
full,1,41,0.648401,5.093167701863354e-06
full,1,42,0.616564,5.2173913043478265e-06
full,1,43,0.709375,5.341614906832298e-06
full,1,44,0.719193,5.465838509316771e-06
full,1,45,0.681564,5.590062111801242e-06
full,1,46,0.676294,5.7142857142857145e-06
full,1,47,0.683156,5.838509316770186e-06
full,1,48,0.610177,5.962732919254659e-06
full,1,49,0.64727,6.086956521739132e-06
