phase,epoch,step,loss,lr
full,1,1,0.807576,1.2422360248447206e-07
full,1,2,0.921806,2.484472049689441e-07
full,1,3,0.98581,3.726708074534162e-07
full,1,4,0.667236,4.968944099378882e-07
full,1,5,0.417219,6.211180124223603e-07
full,1,6,0.691097,7.453416149068324e-07
full,1,7,0.667161,8.695652173913044e-07
full,1,8,0.80091,9.937888198757765e-07
full,1,9,0.660433,1.1180124223602485e-06
full,1,10,0.643436,1.2422360248447205e-06
full,1,11,0.520585,1.3664596273291927e-06
full,1,12,0.71454,1.4906832298136647e-06
full,1,13,0.421947,1.6149068322981367e-06
full,1,14,0.651711,1.7391304347826088e-06
full,1,15,0.734861,1.8633540372670808e-06
full,1,16,0.756023,1.987577639751553e-06
full,1,17,0.652148,2.111801242236025e-06
full,1,18,0.894877,2.236024844720497e-06
full,1,19,0.681687,2.3602484472049692e-06
full,1,20,0.648766,2.484472049689441e-06
full,1,21,0.84837,2.6086956521739132e-06
full,1,22,0.917971,2.7329192546583855e-06
full,1,23,0.706334,2.8571428571428573e-06
full,1,24,0.65969,2.9813664596273295e-06
full,1,25,0.825056,3.1055900621118013e-06
full,1,26,0.672562,3.2298136645962735e-06
full,1,27,0.758217,3.3540372670807457e-06
full,1,28,0.672521,3.4782608695652175e-06
full,1,29,0.747077,3.6024844720496897e-06
full,1,30,0.776769,3.7267080745341615e-06
full,1,31,0.778974,3.850931677018634e-06
full,1,32,0.545509,3.975155279503106e-06
full,1,33,0.791476,4.099378881987578e-06
full,1,34,0.5991,4.22360248447205e-06
full,1,35,0.687178,4.347826086956522e-06
full,1,36,0.550427,4.472049689440994e-06
full,1,37,0.680686,4.596273291925466e-06
full,1,38,0.821267,4.7204968944099384e-06
full,1,39,0.640364,4.84472049689441e-06
full,1,40,0.779807,4.968944099378882e-06
full,1,41,0.795167,5.093167701863354e-06
full,1,42,0.696254,5.2173913043478265e-06
full,1,43,0.816816,5.341614906832298e-06
full,1,44,0.845761,5.465838509316771e-06
full,1,45,0.759711,5.590062111801242e-06
full,1,46,0.714166,5.7142857142857145e-06
full,1,47,0.680169,5.838509316770186e-06
full,1,48,0.656174,5.962732919254659e-06
full,1,49,0.712723,6.086956521739132e-06
full,1,50,0.725207,6.2111801242236025e-06
full,1,51,0.720127,6.335403726708075e-06
full,1,52,0.719037,6.459627329192547e-06
full,1,53,0.64595,6.58385093167702e-06
full,1,54,0.636335,6.7080745341614914e-06
full,1,55,0.636652,6.832298136645963e-06
full,1,56,0.738648,6.956521739130435e-06
full,1,57,0.78168,7.080745341614908e-06
full,1,58,0.683175,7.2049689440993795e-06
full,1,59,0.713454,7.329192546583852e-06
full,1,60,0.777983,7.453416149068323e-06
full,1,61,0.662776,7.577639751552796e-06
full,1,62,0.665281,7.701863354037268e-06
full,1,63,0.695149,7.82608695652174e-06
full,1,64,0.614973,7.950310559006212e-06
full,1,65,0.86048,8.074534161490684e-06
full,1,66,0.700084,8.198757763975156e-06
full,1,67,0.691826,8.322981366459629e-06
full,1,68,0.781892,8.4472049689441e-06
full,1,69,0.63546,8.571428571428571e-06
full,1,70,0.716175,8.695652173913044e-06
full,1,71,0.675912,8.819875776397516e-06
full,1,72,0.69438,8.944099378881988e-06
full,1,73,0.693307,9.068322981366461e-06
full,1,74,0.732739,9.192546583850932e-06
full,1,75,0.619245,9.316770186335405e-06
full,1,76,0.688259,9.440993788819877e-06
full,1,77,0.702196,9.565217391304349e-06
full,1,78,0.771,9.68944099378882e-06
full,1,79,0.60845,9.813664596273292e-06
full,1,80,0.753585,9.937888198757764e-06
full,1,81,0.62505,1.0062111801242236e-05
full,1,82,0.619121,1.0186335403726708e-05
full,1,83,0.64449,1.0310559006211181e-05
full,1,84,0.682946,1.0434782608695653e-05
full,1,85,0.639739,1.0559006211180125e-05
full,1,86,0.653728,1.0683229813664597e-05
full,1,87,0.638959,1.080745341614907e-05
full,1,88,0.6537,1.0931677018633542e-05
full,1,89,0.613332,1.1055900621118014e-05
full,1,90,0.496912,1.1180124223602484e-05
full,1,91,0.592413,1.1304347826086957e-05
full,1,92,0.699838,1.1428571428571429e-05
full,1,93,0.653266,1.15527950310559e-05
full,1,94,0.472606,1.1677018633540373e-05
full,1,95,0.746297,1.1801242236024846e-05
