phase,epoch,step,loss,lr
full,1,1,3.853921,1.6129032258064518e-07
full,1,2,1.880713,3.2258064516129035e-07
full,1,3,3.492718,4.838709677419355e-07
full,1,4,3.064625,6.451612903225807e-07
full,1,5,1.813152,8.064516129032258e-07
full,1,6,3.300788,9.67741935483871e-07
full,1,7,1.256144,1.1290322580645162e-06
full,1,8,1.078659,1.2903225806451614e-06
full,1,9,1.446836,1.4516129032258066e-06
full,1,10,2.386157,1.6129032258064516e-06
full,1,11,1.393858,1.774193548387097e-06
full,1,12,2.401018,1.935483870967742e-06
full,1,13,1.658127,2.096774193548387e-06
full,1,14,1.396695,2.2580645161290324e-06
full,1,15,4.049157,2.4193548387096776e-06
full,1,16,1.004774,2.580645161290323e-06
full,1,17,1.413481,2.7419354838709676e-06
full,1,18,2.277371,2.903225806451613e-06
full,1,19,1.033466,3.0645161290322584e-06
full,1,20,1.998833,3.225806451612903e-06
full,1,21,1.512209,3.3870967741935484e-06
full,1,22,1.926018,3.548387096774194e-06
full,1,23,2.259673,3.7096774193548392e-06
full,1,24,2.077881,3.870967741935484e-06
full,1,25,1.221741,4.032258064516129e-06
full,1,26,2.118117,4.193548387096774e-06
full,1,27,2.147525,4.35483870967742e-06
full,1,28,1.480592,4.516129032258065e-06
full,1,29,1.247034,4.67741935483871e-06
full,1,30,2.07465,4.838709677419355e-06
full,1,31,1.941888,5e-06
full,1,32,1.481672,5.161290322580646e-06
full,1,33,2.929677,5.322580645161291e-06
full,1,34,2.522726,5.483870967741935e-06
full,1,35,1.3346,5.645161290322582e-06
full,1,36,1.096594,5.806451612903226e-06
full,1,37,2.563481,5.967741935483872e-06
full,1,38,1.079933,6.129032258064517e-06
full,1,39,1.800528,6.290322580645162e-06
full,1,40,2.421582,6.451612903225806e-06
full,1,41,1.745059,6.612903225806452e-06
full,1,42,2.242635,6.774193548387097e-06
full,1,43,1.594213,6.935483870967743e-06
full,1,44,1.453455,7.096774193548388e-06
full,1,45,1.315205,7.258064516129033e-06
full,1,46,1.475879,7.4193548387096784e-06
full,1,47,1.157135,7.580645161290323e-06
full,1,48,2.653734,7.741935483870968e-06
full,1,49,1.336315,7.903225806451613e-06
full,1,50,1.577816,8.064516129032258e-06
full,1,51,2.312769,8.225806451612904e-06
full,1,52,2.042741,8.387096774193549e-06
full,1,53,3.389127,8.548387096774194e-06
full,1,54,2.155002,8.70967741935484e-06
full,1,55,1.231904,8.870967741935484e-06
full,1,56,1.254352,9.03225806451613e-06
full,1,57,2.732344,9.193548387096775e-06
full,1,58,2.437301,9.35483870967742e-06
full,1,59,3.040489,9.516129032258065e-06
full,1,60,1.291355,9.67741935483871e-06
full,1,61,3.378824,9.838709677419356e-06
full,1,62,2.396372,1e-05
full,1,63,1.128418,1.0161290322580646e-05
full,1,64,2.934779,1.0322580645161291e-05
full,1,65,2.342178,1.0483870967741936e-05
full,1,66,1.254527,1.0645161290322582e-05
full,1,67,2.111525,1.0806451612903225e-05
full,1,68,2.319101,1.096774193548387e-05
full,1,69,1.193602,1.1129032258064516e-05
full,1,70,1.419742,1.1290322580645164e-05
full,1,71,2.365155,1.1451612903225808e-05
full,1,72,2.086469,1.1612903225806453e-05
full,1,73,2.025145,1.1774193548387098e-05
full,1,74,2.889286,1.1935483870967743e-05
full,1,75,1.188408,1.2096774193548388e-05
full,1,76,1.056857,1.2258064516129034e-05
full,1,77,1.474132,1.2419354838709679e-05
full,1,78,1.459151,1.2580645161290324e-05
full,1,79,0.973948,1.274193548387097e-05
full,1,80,1.997104,1.2903225806451613e-05
full,1,81,2.148104,1.3064516129032258e-05
full,1,82,2.912025,1.3225806451612903e-05
full,1,83,2.798765,1.3387096774193548e-05
full,1,84,2.879217,1.3548387096774194e-05
full,1,85,1.08437,1.3709677419354839e-05
full,1,86,2.555048,1.3870967741935486e-05
full,1,87,1.480403,1.4032258064516131e-05
full,1,88,2.766756,1.4193548387096776e-05
full,1,89,1.615077,1.4354838709677421e-05
full,1,90,3.283277,1.4516129032258066e-05
full,1,91,0.904193,1.4677419354838712e-05
full,1,92,1.038049,1.4838709677419357e-05
full,1,93,1.286191,1.5000000000000002e-05
full,1,94,3.555528,1.5161290322580646e-05
full,1,95,1.780633,1.5322580645161292e-05
full,1,96,0.960329,1.5483870967741936e-05
full,1,97,1.952074,1.5645161290322583e-05
full,1,98,1.034908,1.5806451612903226e-05
full,1,99,1.850611,1.596774193548387e-05
full,1,100,1.663437,1.6129032258064517e-05
full,1,101,1.18762,1.6290322580645164e-05
full,1,102,1.2858,1.6451612903225807e-05
full,1,103,1.283472,1.6612903225806454e-05
full,1,104,3.019539,1.6774193548387098e-05
full,1,105,1.993848,1.6935483870967744e-05
full,1,106,1.858355,1.7096774193548388e-05
full,1,107,2.503689,1.7258064516129035e-05
full,1,108,1.623317,1.741935483870968e-05
full,1,109,2.935652,1.7580645161290325e-05
full,1,110,1.688724,1.774193548387097e-05
full,1,111,1.491111,1.7903225806451612e-05
full,1,112,1.931555,1.806451612903226e-05
full,1,113,1.354252,1.8225806451612903e-05
full,1,114,1.638399,1.838709677419355e-05
full,1,115,0.957678,1.8548387096774193e-05
full,1,116,1.324383,1.870967741935484e-05
full,1,117,0.807012,1.8870967741935487e-05
full,1,118,1.28714,1.903225806451613e-05
full,1,119,0.885957,1.9193548387096777e-05
full,1,120,1.813519,1.935483870967742e-05
full,1,121,1.189235,1.9516129032258068e-05
full,1,122,0.76588,1.967741935483871e-05
full,1,123,1.679891,1.9838709677419358e-05
full,1,124,1.022966,2e-05
full,1,125,1.742234,1.998974884674526e-05
full,1,126,0.815621,1.997949769349052e-05
full,1,127,0.64031,1.996924654023578e-05
full,1,128,0.87778,1.995899538698104e-05
full,1,129,0.564587,1.9948744233726295e-05
full,1,130,2.024483,1.9938493080471555e-05
full,1,131,0.72118,1.9928241927216815e-05
full,1,132,2.05694,1.9917990773962072e-05
full,1,133,3.873588,1.9907739620707332e-05
