phase,epoch,step,loss,lr
full,1,1,5.51844,9.900990099009901e-08
full,1,2,5.765894,1.9801980198019803e-07
full,1,3,2.654149,2.9702970297029703e-07
full,1,4,17.639681,3.9603960396039606e-07
full,1,5,9.182256,4.950495049504951e-07
full,1,6,3.242013,5.940594059405941e-07
full,1,7,2.329584,6.930693069306931e-07
full,1,8,2.872925,7.920792079207921e-07
full,1,9,5.742861,8.910891089108911e-07
full,1,10,1.612419,9.900990099009902e-07
full,1,11,1.789033,1.0891089108910893e-06
full,1,12,0.829686,1.1881188118811881e-06
full,1,13,1.491332,1.2871287128712872e-06
full,1,14,3.309068,1.3861386138613863e-06
full,1,15,4.220376,1.4851485148514852e-06
full,1,16,3.206587,1.5841584158415842e-06
full,1,17,5.093698,1.6831683168316833e-06
full,1,18,5.303856,1.7821782178217822e-06
full,1,19,3.389045,1.8811881188118813e-06
full,1,20,2.216405,1.9801980198019803e-06
full,1,21,1.044154,2.0792079207920794e-06
full,1,22,2.577911,2.1782178217821785e-06
full,1,23,4.848667,2.2772277227722776e-06
full,1,24,1.954586,2.3762376237623762e-06
full,1,25,3.091638,2.4752475247524753e-06
full,1,26,2.456051,2.5742574257425744e-06
full,1,27,2.799093,2.6732673267326735e-06
full,1,28,3.488898,2.7722772277227726e-06
full,1,29,1.806357,2.8712871287128712e-06
full,1,30,1.95715,2.9702970297029703e-06
full,1,31,2.600884,3.0693069306930694e-06
full,1,32,15.060473,3.1683168316831685e-06
full,1,33,3.10344,3.2673267326732676e-06
full,1,34,19.616125,3.3663366336633666e-06
full,1,35,2.175767,3.4653465346534653e-06
full,1,36,8.424997,3.5643564356435644e-06
full,1,37,1.612629,3.6633663366336635e-06
full,1,38,5.266787,3.7623762376237625e-06
full,1,39,4.971887,3.861386138613862e-06
full,1,40,7.753602,3.960396039603961e-06
full,1,41,4.7358,4.05940594059406e-06
full,1,42,4.024545,4.158415841584159e-06
full,1,43,5.364054,4.2574257425742575e-06
full,1,44,3.998117,4.356435643564357e-06
full,1,45,5.233752,4.455445544554456e-06
full,1,46,12.990915,4.554455445544555e-06
full,1,47,21.545303,4.653465346534654e-06
full,1,48,12.571022,4.7524752475247525e-06
full,1,49,4.033703,4.851485148514852e-06
full,1,50,4.04726,4.950495049504951e-06
