phase,epoch,step,loss,lr
full,1,1,1.114185,2.469135802469136e-07
full,1,2,2.10008,4.938271604938272e-07
full,1,3,1.512072,7.407407407407407e-07
full,1,4,1.533372,9.876543209876544e-07
full,1,5,1.412034,1.234567901234568e-06
full,1,6,1.216375,1.4814814814814815e-06
full,1,7,1.387036,1.7283950617283952e-06
full,1,8,2.262123,1.9753086419753087e-06
full,1,9,1.83358,2.222222222222222e-06
full,1,10,2.735428,2.469135802469136e-06
full,1,11,2.029026,2.7160493827160496e-06
full,1,12,1.900906,2.962962962962963e-06
full,1,13,1.357617,3.2098765432098767e-06
full,1,14,1.392434,3.4567901234567904e-06
full,1,15,2.863984,3.7037037037037037e-06
full,1,16,2.559597,3.9506172839506175e-06
full,1,17,2.680687,4.197530864197531e-06
full,1,18,1.771794,4.444444444444444e-06
full,1,19,3.446092,4.691358024691358e-06
full,1,20,1.77018,4.938271604938272e-06
full,1,21,1.672818,5.185185185185185e-06
full,1,22,1.501718,5.432098765432099e-06
full,1,23,1.825298,5.6790123456790125e-06
full,1,24,1.963916,5.925925925925926e-06
full,1,25,2.481936,6.17283950617284e-06
full,1,26,3.447574,6.419753086419753e-06
full,1,27,3.090421,6.666666666666667e-06
full,1,28,1.372957,6.913580246913581e-06
full,1,29,2.005405,7.160493827160494e-06
full,1,30,2.849737,7.4074074074074075e-06
full,1,31,1.281103,7.654320987654322e-06
full,1,32,1.121311,7.901234567901235e-06
full,1,33,2.388799,8.148148148148148e-06
full,1,34,1.807679,8.395061728395062e-06
full,1,35,1.329838,8.641975308641975e-06
full,1,36,2.093232,8.888888888888888e-06
full,1,37,1.133602,9.135802469135803e-06
full,1,38,2.830162,9.382716049382717e-06
full,1,39,1.335724,9.62962962962963e-06
full,1,40,1.776924,9.876543209876543e-06
full,1,41,2.166002,1.0123456790123458e-05
full,1,42,1.83806,1.037037037037037e-05
full,1,43,1.277859,1.0617283950617285e-05
full,1,44,2.136678,1.0864197530864198e-05
full,1,45,2.809404,1.1111111111111113e-05
full,1,46,0.990003,1.1358024691358025e-05
full,1,47,2.020785,1.160493827160494e-05
full,1,48,2.278328,1.1851851851851852e-05
full,1,49,1.148028,1.2098765432098767e-05
full,1,50,2.437608,1.234567901234568e-05
full,1,51,1.521199,1.2592592592592593e-05
full,1,52,2.717862,1.2839506172839507e-05
full,1,53,1.448801,1.3086419753086422e-05
full,1,54,2.930627,1.3333333333333333e-05
full,1,55,2.41518,1.3580246913580248e-05
full,1,56,1.18838,1.3827160493827162e-05
full,1,57,1.441804,1.4074074074074075e-05
full,1,58,2.079435,1.4320987654320988e-05
full,1,59,1.245996,1.4567901234567903e-05
full,1,60,1.29929,1.4814814814814815e-05
full,1,61,1.473364,1.506172839506173e-05
full,1,62,3.004295,1.5308641975308643e-05
full,1,63,2.098281,1.555555555555556e-05
full,1,64,1.694275,1.580246913580247e-05
full,1,65,1.910476,1.6049382716049385e-05
full,1,66,2.981663,1.6296296296296297e-05
full,1,67,2.354889,1.654320987654321e-05
full,1,68,1.821711,1.6790123456790123e-05
full,1,69,1.30481,1.7037037037037038e-05
full,1,70,1.17477,1.728395061728395e-05
full,1,71,1.285028,1.7530864197530865e-05
full,1,72,1.76807,1.7777777777777777e-05
full,1,73,2.715736,1.802469135802469e-05
full,1,74,1.702733,1.8271604938271607e-05
full,1,75,1.221341,1.851851851851852e-05
full,1,76,1.188867,1.8765432098765433e-05
full,1,77,2.587816,1.901234567901235e-05
full,1,78,1.467725,1.925925925925926e-05
full,1,79,1.99554,1.9506172839506175e-05
full,1,80,1.382009,1.9753086419753087e-05
full,1,81,1.291538,2e-05
full,1,82,2.29231,1.998436278342455e-05
full,1,83,1.512545,1.9968725566849104e-05
full,1,84,2.291455,1.9953088350273654e-05
full,1,85,2.226607,1.9937451133698204e-05
full,1,86,3.178986,1.9921813917122754e-05
full,1,87,1.533364,1.9906176700547303e-05
full,1,88,1.500435,1.9890539483971857e-05
full,1,89,1.374693,1.9874902267396406e-05
full,1,90,1.484345,1.9859265050820956e-05
full,1,91,3.085956,1.9843627834245506e-05
full,1,92,2.060617,1.9827990617670055e-05
full,1,93,1.045972,1.9812353401094605e-05
full,1,94,1.118545,1.979671618451916e-05
full,1,95,0.927389,1.9781078967943708e-05
full,1,96,1.211241,1.9765441751368258e-05
full,1,97,2.347091,1.9749804534792808e-05
