phase,epoch,step,loss,lr
full,1,1,1.756501,2.469135802469136e-07
full,1,2,1.123788,4.938271604938272e-07
full,1,3,0.984109,7.407407407407407e-07
full,1,4,1.499415,9.876543209876544e-07
full,1,5,1.911863,1.234567901234568e-06
full,1,6,3.03792,1.4814814814814815e-06
full,1,7,1.434151,1.7283950617283952e-06
full,1,8,2.136013,1.9753086419753087e-06
full,1,9,2.167154,2.222222222222222e-06
full,1,10,1.423854,2.469135802469136e-06
full,1,11,1.31015,2.7160493827160496e-06
full,1,12,1.582749,2.962962962962963e-06
full,1,13,2.097533,3.2098765432098767e-06
full,1,14,1.598281,3.4567901234567904e-06
full,1,15,1.043912,3.7037037037037037e-06
full,1,16,1.445124,3.9506172839506175e-06
full,1,17,1.146142,4.197530864197531e-06
full,1,18,1.459401,4.444444444444444e-06
full,1,19,2.653031,4.691358024691358e-06
full,1,20,1.928101,4.938271604938272e-06
full,1,21,3.057778,5.185185185185185e-06
full,1,22,2.083563,5.432098765432099e-06
full,1,23,3.718928,5.6790123456790125e-06
full,1,24,3.269485,5.925925925925926e-06
full,1,25,1.48315,6.17283950617284e-06
full,1,26,2.268738,6.419753086419753e-06
full,1,27,2.740528,6.666666666666667e-06
full,1,28,2.274829,6.913580246913581e-06
full,1,29,2.217007,7.160493827160494e-06
full,1,30,1.170082,7.4074074074074075e-06
full,1,31,2.94356,7.654320987654322e-06
full,1,32,1.335598,7.901234567901235e-06
full,1,33,1.647347,8.148148148148148e-06
full,1,34,2.739263,8.395061728395062e-06
full,1,35,2.024126,8.641975308641975e-06
full,1,36,2.103793,8.888888888888888e-06
full,1,37,2.157222,9.135802469135803e-06
full,1,38,1.564512,9.382716049382717e-06
full,1,39,2.964741,9.62962962962963e-06
full,1,40,1.289351,9.876543209876543e-06
full,1,41,1.941486,1.0123456790123458e-05
full,1,42,1.116064,1.037037037037037e-05
full,1,43,2.256639,1.0617283950617285e-05
full,1,44,1.667801,1.0864197530864198e-05
full,1,45,2.72332,1.1111111111111113e-05
full,1,46,2.814312,1.1358024691358025e-05
full,1,47,1.83102,1.160493827160494e-05
full,1,48,1.259707,1.1851851851851852e-05
full,1,49,1.465485,1.2098765432098767e-05
