phase,epoch,step,loss,lr
full,1,1,1.216897,2.469135802469136e-07
full,1,2,1.970456,4.938271604938272e-07
full,1,3,2.11431,7.407407407407407e-07
full,1,4,2.875224,9.876543209876544e-07
full,1,5,2.269346,1.234567901234568e-06
full,1,6,2.223253,1.4814814814814815e-06
full,1,7,2.447714,1.7283950617283952e-06
full,1,8,1.05399,1.9753086419753087e-06
full,1,9,2.591834,2.222222222222222e-06
full,1,10,1.672581,2.469135802469136e-06
full,1,11,1.59972,2.7160493827160496e-06
full,1,12,2.524709,2.962962962962963e-06
full,1,13,1.863143,3.2098765432098767e-06
full,1,14,2.792226,3.4567901234567904e-06
full,1,15,2.239038,3.7037037037037037e-06
full,1,16,3.493595,3.9506172839506175e-06
full,1,17,3.176574,4.197530864197531e-06
full,1,18,1.442883,4.444444444444444e-06
full,1,19,1.57336,4.691358024691358e-06
full,1,20,2.175851,4.938271604938272e-06
full,1,21,1.549168,5.185185185185185e-06
full,1,22,2.35134,5.432098765432099e-06
full,1,23,2.161967,5.6790123456790125e-06
full,1,24,1.616938,5.925925925925926e-06
full,1,25,1.795492,6.17283950617284e-06
full,1,26,2.921598,6.419753086419753e-06
full,1,27,3.831093,6.666666666666667e-06
full,1,28,1.436134,6.913580246913581e-06
full,1,29,3.512807,7.160493827160494e-06
full,1,30,1.95983,7.4074074074074075e-06
full,1,31,1.391104,7.654320987654322e-06
full,1,32,2.379863,7.901234567901235e-06
full,1,33,1.394296,8.148148148148148e-06
full,1,34,2.117215,8.395061728395062e-06
full,1,35,1.354967,8.641975308641975e-06
full,1,36,1.166878,8.888888888888888e-06
full,1,37,1.711179,9.135802469135803e-06
full,1,38,1.395707,9.382716049382717e-06
full,1,39,1.449988,9.62962962962963e-06
full,1,40,2.152544,9.876543209876543e-06
full,1,41,2.277085,1.0123456790123458e-05
full,1,42,1.964538,1.037037037037037e-05
full,1,43,2.410468,1.0617283950617285e-05
full,1,44,1.631745,1.0864197530864198e-05
full,1,45,2.449718,1.1111111111111113e-05
full,1,46,1.329735,1.1358024691358025e-05
full,1,47,3.760648,1.160493827160494e-05
full,1,48,1.993114,1.1851851851851852e-05
full,1,49,2.025722,1.2098765432098767e-05
full,1,50,3.062932,1.234567901234568e-05
full,1,51,1.161489,1.2592592592592593e-05
full,1,52,2.062493,1.2839506172839507e-05
full,1,53,1.287494,1.3086419753086422e-05
full,1,54,1.714489,1.3333333333333333e-05
full,1,55,1.624412,1.3580246913580248e-05
full,1,56,1.555375,1.3827160493827162e-05
full,1,57,1.436205,1.4074074074074075e-05
full,1,58,2.261341,1.4320987654320988e-05
full,1,59,2.295168,1.4567901234567903e-05
full,1,60,2.321274,1.4814814814814815e-05
full,1,61,1.351894,1.506172839506173e-05
full,1,62,1.418781,1.5308641975308643e-05
full,1,63,1.331612,1.555555555555556e-05
full,1,64,2.086193,1.580246913580247e-05
full,1,65,2.961668,1.6049382716049385e-05
full,1,66,1.088221,1.6296296296296297e-05
full,1,67,1.933014,1.654320987654321e-05
full,1,68,2.074543,1.6790123456790123e-05
full,1,69,0.99159,1.7037037037037038e-05
full,1,70,1.351149,1.728395061728395e-05
full,1,71,1.257776,1.7530864197530865e-05
full,1,72,2.18947,1.7777777777777777e-05
full,1,73,2.985751,1.802469135802469e-05
full,1,74,1.532113,1.8271604938271607e-05
full,1,75,1.252268,1.851851851851852e-05
full,1,76,1.618415,1.8765432098765433e-05
full,1,77,1.447625,1.901234567901235e-05
full,1,78,2.050188,1.925925925925926e-05
full,1,79,0.989298,1.9506172839506175e-05
full,1,80,1.466153,1.9753086419753087e-05
full,1,81,2.460153,2e-05
full,1,82,1.746737,1.998436278342455e-05
full,1,83,0.850848,1.9968725566849104e-05
full,1,84,2.682276,1.9953088350273654e-05
full,1,85,3.915308,1.9937451133698204e-05
full,1,86,2.319494,1.9921813917122754e-05
full,1,87,2.158079,1.9906176700547303e-05
full,1,88,2.018703,1.9890539483971857e-05
full,1,89,1.628584,1.9874902267396406e-05
full,1,90,1.371014,1.9859265050820956e-05
full,1,91,2.080445,1.9843627834245506e-05
full,1,92,3.479096,1.9827990617670055e-05
full,1,93,1.331433,1.9812353401094605e-05
full,1,94,2.592928,1.979671618451916e-05
full,1,95,1.139753,1.9781078967943708e-05
full,1,96,1.142698,1.9765441751368258e-05
full,1,97,1.396736,1.9749804534792808e-05
full,1,98,2.291763,1.9734167318217357e-05
full,1,99,1.890919,1.9718530101641907e-05
full,1,100,1.193274,1.970289288506646e-05
full,1,101,1.372254,1.968725566849101e-05
full,1,102,1.802183,1.9671618451915563e-05
full,1,103,1.115604,1.9655981235340113e-05
full,1,104,2.397583,1.9640344018764662e-05
full,1,105,1.349329,1.9624706802189212e-05
full,1,106,2.018573,1.9609069585613762e-05
full,1,107,3.129362,1.959343236903831e-05
full,1,108,2.136524,1.9577795152462865e-05
full,1,109,1.893842,1.9562157935887414e-05
full,1,110,2.946548,1.9546520719311964e-05
full,1,111,2.816118,1.9530883502736514e-05
full,1,112,1.403174,1.9515246286161064e-05
full,1,113,1.998073,1.9499609069585613e-05
full,1,114,2.195389,1.9483971853010167e-05
full,1,115,2.102161,1.9468334636434716e-05
full,1,116,1.460485,1.945269741985927e-05
full,1,117,2.208496,1.9437060203283816e-05
full,1,118,2.125716,1.9421422986708365e-05
full,1,119,1.569106,1.940578577013292e-05
full,1,120,1.415639,1.9390148553557468e-05
full,1,121,2.382829,1.9374511336982018e-05
full,1,122,2.036633,1.935887412040657e-05
full,1,123,2.277606,1.934323690383112e-05
full,1,124,1.55642,1.932759968725567e-05
full,1,125,1.793499,1.931196247068022e-05
full,1,126,1.293772,1.929632525410477e-05
full,1,127,2.523449,1.928068803752932e-05
full,1,128,2.994271,1.9265050820953873e-05
full,1,129,1.231695,1.9249413604378423e-05
full,1,130,2.028652,1.9233776387802972e-05
full,1,131,1.472717,1.9218139171227522e-05
full,1,132,2.045013,1.9202501954652072e-05
full,1,133,2.215667,1.9186864738076625e-05
full,1,134,1.604992,1.9171227521501175e-05
full,1,135,1.184818,1.9155590304925724e-05
full,1,136,3.145068,1.9139953088350278e-05
full,1,137,3.030332,1.9124315871774827e-05
full,1,138,2.430088,1.9108678655199374e-05
full,1,139,1.682474,1.9093041438623927e-05
full,1,140,1.974937,1.9077404222048476e-05
full,1,141,1.398209,1.9061767005473026e-05
full,1,142,1.948146,1.904612978889758e-05
full,1,143,2.081941,1.903049257232213e-05
full,1,144,3.382246,1.901485535574668e-05
full,1,145,1.534855,1.899921813917123e-05
full,1,146,1.095541,1.8983580922595778e-05
full,1,147,2.206374,1.896794370602033e-05
full,1,148,1.188767,1.895230648944488e-05
full,1,149,2.156092,1.893666927286943e-05
full,1,150,2.293116,1.892103205629398e-05
full,1,151,2.108065,1.890539483971853e-05
full,1,152,1.438277,1.888975762314308e-05
full,1,153,2.167712,1.8874120406567633e-05
full,1,154,2.469688,1.8858483189992183e-05
