phase,epoch,step,loss,lr
full,1,1,2.149279,2.469135802469136e-07
full,1,2,1.573878,4.938271604938272e-07
full,1,3,1.943331,7.407407407407407e-07
full,1,4,1.50707,9.876543209876544e-07
full,1,5,3.739329,1.234567901234568e-06
full,1,6,1.379342,1.4814814814814815e-06
full,1,7,2.00745,1.7283950617283952e-06
full,1,8,1.630342,1.9753086419753087e-06
full,1,9,2.257052,2.222222222222222e-06
full,1,10,3.628026,2.469135802469136e-06
full,1,11,4.08427,2.7160493827160496e-06
full,1,12,3.501202,2.962962962962963e-06
full,1,13,3.054718,3.2098765432098767e-06
full,1,14,1.20519,3.4567901234567904e-06
full,1,15,3.302088,3.7037037037037037e-06
full,1,16,2.299563,3.9506172839506175e-06
full,1,17,1.926301,4.197530864197531e-06
full,1,18,2.466659,4.444444444444444e-06
full,1,19,2.262198,4.691358024691358e-06
full,1,20,1.715469,4.938271604938272e-06
full,1,21,1.652125,5.185185185185185e-06
full,1,22,2.17489,5.432098765432099e-06
full,1,23,1.519512,5.6790123456790125e-06
full,1,24,2.281676,5.925925925925926e-06
full,1,25,2.924778,6.17283950617284e-06
full,1,26,1.375509,6.419753086419753e-06
full,1,27,1.677026,6.666666666666667e-06
full,1,28,2.868943,6.913580246913581e-06
full,1,29,2.030949,7.160493827160494e-06
full,1,30,3.773112,7.4074074074074075e-06
full,1,31,1.306446,7.654320987654322e-06
full,1,32,2.068563,7.901234567901235e-06
full,1,33,2.574538,8.148148148148148e-06
full,1,34,2.017613,8.395061728395062e-06
full,1,35,2.782372,8.641975308641975e-06
full,1,36,1.432121,8.888888888888888e-06
full,1,37,2.071446,9.135802469135803e-06
full,1,38,2.351309,9.382716049382717e-06
full,1,39,1.323998,9.62962962962963e-06
full,1,40,2.933665,9.876543209876543e-06
full,1,41,2.982687,1.0123456790123458e-05
full,1,42,1.116442,1.037037037037037e-05
full,1,43,2.315721,1.0617283950617285e-05
full,1,44,1.604937,1.0864197530864198e-05
full,1,45,1.267167,1.1111111111111113e-05
full,1,46,1.493259,1.1358024691358025e-05
full,1,47,1.138853,1.160493827160494e-05
full,1,48,1.429851,1.1851851851851852e-05
full,1,49,1.556702,1.2098765432098767e-05
full,1,50,1.473396,1.234567901234568e-05
full,1,51,1.437729,1.2592592592592593e-05
full,1,52,2.198116,1.2839506172839507e-05
full,1,53,2.481477,1.3086419753086422e-05
full,1,54,1.386731,1.3333333333333333e-05
