phase,epoch,step,loss,lr
full,1,1,2.364179,1.111111111111111e-06
full,1,2,1.543978,2.222222222222222e-06
full,1,3,2.116298,3.3333333333333333e-06
full,1,4,1.811998,4.444444444444444e-06
full,1,5,3.316451,5.555555555555555e-06
full,1,6,1.217357,6.666666666666667e-06
full,1,7,2.509592,7.777777777777777e-06
full,1,8,1.144795,8.888888888888888e-06
full,1,9,2.410359,9.999999999999999e-06
full,1,10,1.606643,1.111111111111111e-05
full,1,11,1.981837,1.2222222222222222e-05
full,1,12,3.533912,1.3333333333333333e-05
full,1,13,3.049953,1.4444444444444444e-05
full,1,14,3.009846,1.5555555555555555e-05
full,1,15,2.400623,1.6666666666666667e-05
full,1,16,2.705707,1.7777777777777777e-05
full,1,17,3.505704,1.888888888888889e-05
full,1,18,2.251366,1.9999999999999998e-05
full,1,19,2.280998,2.111111111111111e-05
full,1,20,1.480084,2.222222222222222e-05
full,1,21,2.014016,2.3333333333333336e-05
full,1,22,1.951033,2.4444444444444445e-05
full,1,23,2.461273,2.5555555555555557e-05
full,1,24,1.311448,2.6666666666666667e-05
full,1,25,1.107865,2.777777777777778e-05
full,1,26,1.237032,2.8888888888888888e-05
full,1,27,2.554596,3e-05
full,1,28,2.5568,2.9977494373593398e-05
full,1,29,2.26045,2.9954988747186798e-05
full,1,30,2.872756,2.9932483120780195e-05
full,1,31,1.839432,2.9909977494373596e-05
full,1,32,1.96467,2.9887471867966993e-05
full,1,33,2.087703,2.9864966241560393e-05
full,1,34,1.528648,2.984246061515379e-05
full,1,35,1.642824,2.981995498874719e-05
full,1,36,2.305859,2.9797449362340587e-05
full,1,37,1.381731,2.9774943735933984e-05
full,1,38,1.169589,2.975243810952738e-05
full,1,39,2.269733,2.972993248312078e-05
full,1,40,2.388069,2.970742685671418e-05
full,1,41,1.581303,2.9684921230307576e-05
full,1,42,1.248136,2.9662415603900976e-05
full,1,43,1.563861,2.9639909977494373e-05
full,1,44,1.804704,2.9617404351087774e-05
full,1,45,2.575137,2.959489872468117e-05
full,1,46,1.495711,2.957239309827457e-05
full,1,47,3.493826,2.9549887471867968e-05
full,1,48,1.033535,2.9527381845461365e-05
full,1,49,1.424351,2.9504876219054765e-05
