phase,epoch,step,loss,lr
full,1,1,1.327794,3.7037037037037036e-07
full,1,2,1.398745,7.407407407407407e-07
full,1,3,1.312997,1.111111111111111e-06
full,1,4,2.588599,1.4814814814814815e-06
full,1,5,1.147052,1.8518518518518519e-06
full,1,6,2.245941,2.222222222222222e-06
full,1,7,1.340986,2.5925925925925925e-06
full,1,8,2.36079,2.962962962962963e-06
full,1,9,2.195177,3.3333333333333333e-06
full,1,10,1.280236,3.7037037037037037e-06
full,1,11,2.514219,4.074074074074074e-06
full,1,12,1.254098,4.444444444444444e-06
full,1,13,1.931065,4.814814814814815e-06
full,1,14,1.360239,5.185185185185185e-06
full,1,15,2.175306,5.555555555555555e-06
full,1,16,2.595141,5.925925925925926e-06
full,1,17,1.295931,6.296296296296296e-06
full,1,18,2.411065,6.666666666666667e-06
full,1,19,2.531975,7.037037037037037e-06
full,1,20,2.067567,7.4074074074074075e-06
full,1,21,1.843471,7.777777777777777e-06
full,1,22,2.183005,8.148148148148148e-06
full,1,23,3.37298,8.518518518518517e-06
full,1,24,1.112835,8.888888888888888e-06
full,1,25,1.388008,9.259259259259259e-06
full,1,26,1.927121,9.62962962962963e-06
full,1,27,2.899248,9.999999999999999e-06
full,1,28,2.256495,1.037037037037037e-05
full,1,29,2.486623,1.074074074074074e-05
full,1,30,2.216556,1.111111111111111e-05
full,1,31,1.367004,1.148148148148148e-05
full,1,32,1.821905,1.1851851851851852e-05
full,1,33,1.401807,1.2222222222222222e-05
full,1,34,3.624846,1.2592592592592592e-05
full,1,35,2.362298,1.2962962962962962e-05
full,1,36,1.327173,1.3333333333333333e-05
full,1,37,1.7626,1.3703703703703704e-05
full,1,38,3.838585,1.4074074074074073e-05
full,1,39,1.419291,1.4444444444444444e-05
full,1,40,1.253734,1.4814814814814815e-05
full,1,41,3.134255,1.5185185185185186e-05
full,1,42,2.063373,1.5555555555555555e-05
full,1,43,1.79306,1.5925925925925926e-05
full,1,44,1.352289,1.6296296296296297e-05
full,1,45,2.595808,1.6666666666666667e-05
full,1,46,1.290787,1.7037037037037035e-05
full,1,47,1.416555,1.740740740740741e-05
full,1,48,1.18273,1.7777777777777777e-05
full,1,49,2.20686,1.814814814814815e-05
full,1,50,2.338616,1.8518518518518518e-05
full,1,51,1.211224,1.888888888888889e-05
full,1,52,2.04497,1.925925925925926e-05
full,1,53,1.55935,1.962962962962963e-05
full,1,54,1.322749,1.9999999999999998e-05
full,1,55,2.800508,2.0370370370370372e-05
full,1,56,1.186436,2.074074074074074e-05
full,1,57,1.356451,2.111111111111111e-05
full,1,58,1.280947,2.148148148148148e-05
full,1,59,1.576392,2.1851851851851852e-05
full,1,60,1.315369,2.222222222222222e-05
full,1,61,1.604681,2.2592592592592594e-05
full,1,62,1.824601,2.296296296296296e-05
full,1,63,1.299305,2.3333333333333336e-05
full,1,64,2.799297,2.3703703703703703e-05
full,1,65,1.778802,2.4074074074074074e-05
full,1,66,3.639763,2.4444444444444445e-05
full,1,67,3.397269,2.4814814814814816e-05
full,1,68,1.840407,2.5185185185185183e-05
full,1,69,1.699152,2.5555555555555557e-05
full,1,70,1.230865,2.5925925925925925e-05
full,1,71,0.983742,2.6296296296296296e-05
full,1,72,0.995746,2.6666666666666667e-05
full,1,73,2.253089,2.7037037037037037e-05
full,1,74,1.446684,2.7407407407407408e-05
full,1,75,2.355997,2.777777777777778e-05
full,1,76,1.383031,2.8148148148148147e-05
full,1,77,1.423792,2.851851851851852e-05
full,1,78,1.630007,2.8888888888888888e-05
full,1,79,3.031758,2.925925925925926e-05
full,1,80,1.180964,2.962962962962963e-05
full,1,81,2.697354,3e-05
full,1,82,1.152673,2.9976544175136825e-05
full,1,83,1.896679,2.9953088350273653e-05
full,1,84,2.699474,2.9929632525410478e-05
full,1,85,3.282696,2.9906176700547303e-05
full,1,86,2.090555,2.988272087568413e-05
full,1,87,1.286492,2.9859265050820955e-05
full,1,88,3.014531,2.9835809225957783e-05
full,1,89,1.707364,2.9812353401094608e-05
full,1,90,2.012468,2.9788897576231432e-05
full,1,91,2.323186,2.976544175136826e-05
full,1,92,1.170378,2.974198592650508e-05
full,1,93,1.341963,2.9718530101641906e-05
full,1,94,2.189793,2.9695074276778734e-05
full,1,95,1.23964,2.967161845191556e-05
full,1,96,1.419765,2.9648162627052383e-05
full,1,97,2.522025,2.962470680218921e-05
full,1,98,1.840991,2.9601250977326036e-05
full,1,99,2.328127,2.957779515246286e-05
full,1,100,1.068475,2.955433932759969e-05
full,1,101,2.618047,2.9530883502736513e-05
full,1,102,1.907921,2.950742767787334e-05
full,1,103,1.059967,2.9483971853010166e-05
full,1,104,2.400499,2.946051602814699e-05
full,1,105,1.815765,2.9437060203283818e-05
full,1,106,1.829976,2.9413604378420643e-05
full,1,107,1.838787,2.9390148553557467e-05
full,1,108,1.328086,2.9366692728694295e-05
full,1,109,1.359617,2.934323690383112e-05
full,1,110,2.047626,2.9319781078967945e-05
full,1,111,1.853999,2.9296325254104773e-05
full,1,112,1.32276,2.9272869429241594e-05
full,1,113,1.364352,2.924941360437842e-05
full,1,114,1.558449,2.9225957779515246e-05
full,1,115,1.558527,2.920250195465207e-05
full,1,116,2.620268,2.91790461297889e-05
full,1,117,3.208186,2.9155590304925724e-05
full,1,118,2.436873,2.9132134480062548e-05
full,1,119,1.42667,2.9108678655199376e-05
full,1,120,2.328984,2.90852228303362e-05
full,1,121,3.253701,2.9061767005473025e-05
full,1,122,1.19547,2.9038311180609853e-05
full,1,123,2.721896,2.9014855355746678e-05
full,1,124,1.19634,2.8991399530883503e-05
full,1,125,2.784519,2.896794370602033e-05
full,1,126,2.558121,2.8944487881157155e-05
full,1,127,4.595683,2.892103205629398e-05
full,1,128,1.884522,2.8897576231430808e-05
full,1,129,1.746802,2.8874120406567632e-05
full,1,130,3.955334,2.885066458170446e-05
full,1,131,1.632134,2.8827208756841285e-05
full,1,132,1.67946,2.880375293197811e-05
full,1,133,1.667944,2.8780297107114934e-05
full,1,134,2.178447,2.875684128225176e-05
full,1,135,2.04112,2.8733385457388583e-05
full,1,136,1.20057,2.870992963252541e-05
full,1,137,1.740942,2.8686473807662236e-05
full,1,138,1.416561,2.866301798279906e-05
full,1,139,1.554835,2.863956215793589e-05
full,1,140,1.327609,2.8616106333072713e-05
full,1,141,1.515396,2.8592650508209538e-05
full,1,142,3.00346,2.8569194683346366e-05
full,1,143,2.138805,2.854573885848319e-05
full,1,144,2.045275,2.8522283033620018e-05
full,1,145,1.941311,2.8498827208756843e-05
full,1,146,1.905358,2.8475371383893667e-05
full,1,147,1.305135,2.8451915559030495e-05
full,1,148,1.537622,2.842845973416732e-05
full,1,149,2.114445,2.8405003909304145e-05
full,1,150,2.196528,2.8381548084440973e-05
full,1,151,2.373457,2.8358092259577797e-05
full,1,152,0.841823,2.8334636434714622e-05
full,1,153,1.33992,2.831118060985145e-05
full,1,154,2.14593,2.828772478498827e-05
full,1,155,1.988038,2.8264268960125096e-05
full,1,156,2.276429,2.8240813135261924e-05
full,1,157,2.523969,2.8217357310398748e-05
full,1,158,2.011474,2.8193901485535576e-05
full,1,159,1.27746,2.81704456606724e-05
full,1,160,3.805194,2.8146989835809225e-05
full,1,161,1.456936,2.8123534010946053e-05
full,1,162,3.461755,2.8100078186082878e-05
full,1,163,2.352965,2.8076622361219703e-05
full,1,164,2.006208,2.805316653635653e-05
full,1,165,2.975492,2.8029710711493355e-05
full,1,166,1.211625,2.800625488663018e-05
full,1,167,1.919279,2.7982799061767008e-05
full,1,168,2.254168,2.7959343236903832e-05
full,1,169,1.446125,2.7935887412040657e-05
full,1,170,2.74627,2.7912431587177485e-05
full,1,171,2.108078,2.788897576231431e-05
full,1,172,1.982676,2.7865519937451137e-05
full,1,173,1.366986,2.7842064112587962e-05
full,1,174,1.909948,2.7818608287724783e-05
full,1,175,3.048193,2.779515246286161e-05
full,1,176,3.087525,2.7771696637998436e-05
full,1,177,1.563767,2.774824081313526e-05
full,1,178,1.873856,2.772478498827209e-05
full,1,179,4.033551,2.7701329163408913e-05
full,1,180,2.796154,2.7677873338545738e-05
full,1,181,1.359644,2.7654417513682566e-05
full,1,182,2.721589,2.763096168881939e-05
full,1,183,1.229105,2.7607505863956215e-05
full,1,184,1.056384,2.7584050039093043e-05
full,1,185,2.313355,2.7560594214229867e-05
full,1,186,1.432413,2.7537138389366695e-05
full,1,187,2.316368,2.751368256450352e-05
full,1,188,1.66879,2.7490226739640345e-05
full,1,189,2.297142,2.7466770914777173e-05
full,1,190,2.280258,2.7443315089913997e-05
full,1,191,2.292846,2.7419859265050822e-05
full,1,192,3.172479,2.739640344018765e-05
full,1,193,1.341811,2.7372947615324474e-05
full,1,194,2.063552,2.73494917904613e-05
full,1,195,2.180448,2.7326035965598124e-05
full,1,196,1.47048,2.7302580140734948e-05
full,1,197,2.233253,2.7279124315871773e-05
full,1,198,1.575184,2.72556684910086e-05
full,1,199,1.276943,2.7232212666145425e-05
full,1,200,2.294535,2.7208756841282253e-05
full,1,201,1.518122,2.7185301016419078e-05
full,1,202,0.870753,2.7161845191555902e-05
full,1,203,1.495487,2.713838936669273e-05
full,1,204,2.161932,2.7114933541829555e-05
full,1,205,1.112835,2.709147771696638e-05
full,1,206,1.722733,2.7068021892103208e-05
full,1,207,1.377865,2.7044566067240032e-05
full,1,208,1.258144,2.7021110242376857e-05
full,1,209,1.442881,2.6997654417513685e-05
full,1,210,2.142884,2.697419859265051e-05
full,1,211,1.997207,2.6950742767787334e-05
full,1,212,2.906447,2.6927286942924162e-05
full,1,213,2.156364,2.6903831118060987e-05
full,1,214,2.019167,2.6880375293197815e-05
full,1,215,2.076807,2.685691946833464e-05
full,1,216,1.547404,2.683346364347146e-05
full,1,217,2.257628,2.681000781860829e-05
full,1,218,1.49565,2.6786551993745113e-05
full,1,219,1.93198,2.6763096168881938e-05
full,1,220,1.505277,2.6739640344018766e-05
full,1,221,1.268168,2.671618451915559e-05
full,1,222,2.508125,2.6692728694292415e-05
full,1,223,2.843597,2.6669272869429243e-05
full,1,224,2.291796,2.6645817044566067e-05
full,1,225,1.880698,2.6622361219702892e-05
full,1,226,2.910607,2.659890539483972e-05
full,1,227,2.407484,2.6575449569976545e-05
full,1,228,1.252518,2.6551993745113373e-05
full,1,229,3.153644,2.6528537920250197e-05
full,1,230,1.143359,2.6505082095387022e-05
full,1,231,2.300707,2.648162627052385e-05
full,1,232,1.271495,2.6458170445660674e-05
full,1,233,1.250973,2.64347146207975e-05
full,1,234,1.345095,2.6411258795934327e-05
full,1,235,1.228167,2.638780297107115e-05
full,1,236,3.285663,2.6364347146207973e-05
full,1,237,1.793749,2.63408913213448e-05
full,1,238,1.402246,2.6317435496481625e-05
full,1,239,1.231706,2.629397967161845e-05
full,1,240,2.237657,2.6270523846755278e-05
