phase,epoch,step,loss,lr
full,1,1,3.375476,2.061855670103093e-07
full,1,2,2.176821,4.123711340206186e-07
full,1,3,1.096737,6.185567010309279e-07
full,1,4,1.120146,8.247422680412372e-07
full,1,5,1.722701,1.0309278350515464e-06
full,1,6,2.033907,1.2371134020618557e-06
full,1,7,2.272964,1.4432989690721649e-06
full,1,8,1.180599,1.6494845360824744e-06
full,1,9,2.46167,1.8556701030927837e-06
full,1,10,1.915443,2.061855670103093e-06
full,1,11,2.274204,2.268041237113402e-06
full,1,12,1.984408,2.4742268041237115e-06
full,1,13,3.561151,2.680412371134021e-06
full,1,14,1.048751,2.8865979381443297e-06
full,1,15,1.524415,3.0927835051546395e-06
full,1,16,1.299672,3.298969072164949e-06
full,1,17,1.799905,3.5051546391752577e-06
full,1,18,1.607457,3.7113402061855674e-06
full,1,19,2.717709,3.917525773195877e-06
full,1,20,2.453006,4.123711340206186e-06
full,1,21,1.96985,4.329896907216495e-06
full,1,22,1.198,4.536082474226804e-06
full,1,23,2.068638,4.742268041237113e-06
full,1,24,2.100402,4.948453608247423e-06
full,1,25,1.874715,5.154639175257732e-06
full,1,26,2.242894,5.360824742268042e-06
full,1,27,1.548257,5.567010309278351e-06
full,1,28,1.604371,5.7731958762886594e-06
full,1,29,2.333685,5.979381443298969e-06
full,1,30,3.142897,6.185567010309279e-06
full,1,31,3.062098,6.391752577319588e-06
full,1,32,1.55186,6.597938144329898e-06
full,1,33,1.422628,6.804123711340207e-06
full,1,34,2.102231,7.010309278350515e-06
full,1,35,1.469348,7.216494845360825e-06
full,1,36,2.475508,7.422680412371135e-06
full,1,37,2.775728,7.628865979381444e-06
full,1,38,2.325505,7.835051546391754e-06
full,1,39,1.869079,8.041237113402063e-06
full,1,40,1.82954,8.247422680412371e-06
full,1,41,2.293313,8.453608247422681e-06
full,1,42,2.085404,8.65979381443299e-06
full,1,43,1.311721,8.865979381443299e-06
full,1,44,2.047788,9.072164948453609e-06
full,1,45,3.29584,9.278350515463918e-06
full,1,46,2.361486,9.484536082474226e-06
full,1,47,1.007926,9.690721649484536e-06
full,1,48,1.26566,9.896907216494846e-06
full,1,49,1.457355,1.0103092783505156e-05
full,1,50,1.122629,1.0309278350515464e-05
full,1,51,1.648125,1.0515463917525775e-05
full,1,52,2.222156,1.0721649484536083e-05
full,1,53,1.386301,1.0927835051546391e-05
full,1,54,1.83216,1.1134020618556703e-05
full,1,55,1.293247,1.134020618556701e-05
full,1,56,2.622735,1.1546391752577319e-05
full,1,57,1.487094,1.175257731958763e-05
full,1,58,1.435007,1.1958762886597938e-05
full,1,59,1.317592,1.2164948453608248e-05
full,1,60,2.644274,1.2371134020618558e-05
full,1,61,1.381464,1.2577319587628866e-05
full,1,62,1.537144,1.2783505154639176e-05
full,1,63,1.193977,1.2989690721649485e-05
full,1,64,1.111743,1.3195876288659795e-05
full,1,65,3.699886,1.3402061855670103e-05
full,1,66,2.467381,1.3608247422680415e-05
full,1,67,1.426103,1.3814432989690723e-05
full,1,68,1.591158,1.402061855670103e-05
full,1,69,1.813944,1.4226804123711342e-05
full,1,70,1.48702,1.443298969072165e-05
full,1,71,2.369686,1.4639175257731958e-05
full,1,72,3.337734,1.484536082474227e-05
full,1,73,2.12514,1.5051546391752578e-05
full,1,74,2.154323,1.5257731958762888e-05
full,1,75,2.473085,1.5463917525773197e-05
full,1,76,1.157432,1.5670103092783507e-05
full,1,77,1.892959,1.5876288659793813e-05
full,1,78,1.436864,1.6082474226804127e-05
full,1,79,3.053327,1.6288659793814433e-05
full,1,80,0.958059,1.6494845360824743e-05
full,1,81,2.049817,1.6701030927835052e-05
full,1,82,1.929011,1.6907216494845362e-05
full,1,83,2.330974,1.7113402061855672e-05
full,1,84,0.967089,1.731958762886598e-05
full,1,85,6.01649,1.752577319587629e-05
full,1,86,1.136154,1.7731958762886598e-05
full,1,87,2.183327,1.793814432989691e-05
full,1,88,1.305079,1.8144329896907217e-05
full,1,89,1.624621,1.8350515463917527e-05
full,1,90,2.372883,1.8556701030927837e-05
full,1,91,1.520791,1.8762886597938147e-05
full,1,92,2.138093,1.8969072164948453e-05
full,1,93,1.957294,1.9175257731958766e-05
full,1,94,1.028643,1.9381443298969072e-05
full,1,95,2.262685,1.9587628865979382e-05
full,1,96,3.089259,1.9793814432989692e-05
full,1,97,1.23603,2e-05
full,1,98,2.110322,1.998697068403909e-05
full,1,99,2.170297,1.9973941368078178e-05
full,1,100,1.378593,1.9960912052117266e-05
full,1,101,2.060741,1.9947882736156355e-05
full,1,102,1.269854,1.993485342019544e-05
full,1,103,2.274192,1.9921824104234528e-05
full,1,104,2.060868,1.9908794788273616e-05
full,1,105,1.076875,1.9895765472312705e-05
full,1,106,1.883399,1.9882736156351793e-05
full,1,107,2.589923,1.986970684039088e-05
full,1,108,1.493195,1.985667752442997e-05
full,1,109,1.979425,1.9843648208469058e-05
full,1,110,3.037282,1.9830618892508146e-05
full,1,111,2.63005,1.9817589576547234e-05
full,1,112,3.422546,1.980456026058632e-05
full,1,113,2.323969,1.9791530944625407e-05
full,1,114,1.960521,1.9778501628664496e-05
full,1,115,1.271114,1.9765472312703584e-05
full,1,116,2.341148,1.9752442996742672e-05
full,1,117,1.300674,1.973941368078176e-05
full,1,118,1.216378,1.972638436482085e-05
full,1,119,1.541828,1.9713355048859937e-05
full,1,120,2.197316,1.9700325732899025e-05
full,1,121,2.754471,1.9687296416938114e-05
full,1,122,2.040253,1.96742671009772e-05
full,1,123,1.464129,1.9661237785016287e-05
full,1,124,2.445573,1.9648208469055375e-05
full,1,125,1.760811,1.9635179153094463e-05
full,1,126,2.147196,1.962214983713355e-05
full,1,127,0.872847,1.960912052117264e-05
full,1,128,2.290988,1.9596091205211728e-05
full,1,129,2.234549,1.9583061889250817e-05
full,1,130,3.468398,1.9570032573289905e-05
full,1,131,1.373455,1.9557003257328993e-05
full,1,132,1.358191,1.9543973941368078e-05
full,1,133,2.25694,1.9530944625407166e-05
full,1,134,2.159083,1.9517915309446255e-05
full,1,135,2.486786,1.9504885993485343e-05
full,1,136,1.42315,1.949185667752443e-05
full,1,137,3.833079,1.947882736156352e-05
full,1,138,2.645412,1.9465798045602608e-05
full,1,139,1.508592,1.9452768729641696e-05
full,1,140,1.916208,1.9439739413680784e-05
full,1,141,1.109147,1.9426710097719873e-05
full,1,142,2.268051,1.9413680781758957e-05
full,1,143,2.242871,1.940065146579805e-05
full,1,144,1.442816,1.9387622149837134e-05
full,1,145,1.060404,1.9374592833876222e-05
full,1,146,2.120538,1.936156351791531e-05
full,1,147,0.971881,1.93485342019544e-05
full,1,148,1.531901,1.9335504885993487e-05
full,1,149,2.216216,1.9322475570032575e-05
full,1,150,2.196799,1.9309446254071664e-05
full,1,151,3.340323,1.9296416938110752e-05
full,1,152,2.050862,1.9283387622149837e-05
full,1,153,2.28325,1.927035830618893e-05
full,1,154,1.251581,1.9257328990228013e-05
full,1,155,1.626571,1.92442996742671e-05
full,1,156,2.147691,1.923127035830619e-05
full,1,157,1.682783,1.9218241042345278e-05
full,1,158,1.300927,1.9205211726384367e-05
full,1,159,1.62314,1.9192182410423455e-05
full,1,160,2.651711,1.9179153094462543e-05
full,1,161,1.700039,1.916612377850163e-05
full,1,162,1.524373,1.9153094462540716e-05
full,1,163,2.192384,1.9140065146579808e-05
full,1,164,2.129274,1.9127035830618893e-05
full,1,165,2.395805,1.911400651465798e-05
full,1,166,1.055568,1.910097719869707e-05
full,1,167,2.367155,1.9087947882736158e-05
full,1,168,2.068237,1.9074918566775246e-05
full,1,169,1.337248,1.9061889250814334e-05
full,1,170,2.15612,1.9048859934853423e-05
full,1,171,2.075162,1.903583061889251e-05
full,1,172,1.163284,1.9022801302931596e-05
full,1,173,2.140238,1.9009771986970687e-05
full,1,174,1.435003,1.8996742671009772e-05
full,1,175,2.07086,1.898371335504886e-05
full,1,176,2.23254,1.897068403908795e-05
full,1,177,2.76376,1.8957654723127037e-05
full,1,178,1.402021,1.8944625407166125e-05
full,1,179,1.356058,1.8931596091205214e-05
full,1,180,1.494241,1.8918566775244302e-05
full,1,181,2.390172,1.890553745928339e-05
full,1,182,1.450194,1.8892508143322475e-05
full,1,183,2.473573,1.8879478827361567e-05
full,1,184,1.988907,1.8866449511400652e-05
full,1,185,0.95083,1.885342019543974e-05
