phase,epoch,step,loss,lr
full,1,1,1.312712,2.061855670103093e-07
full,1,2,2.692763,4.123711340206186e-07
full,1,3,2.47646,6.185567010309279e-07
full,1,4,1.35997,8.247422680412372e-07
full,1,5,2.326214,1.0309278350515464e-06
full,1,6,1.848234,1.2371134020618557e-06
full,1,7,1.929491,1.4432989690721649e-06
full,1,8,1.990396,1.6494845360824744e-06
full,1,9,1.388398,1.8556701030927837e-06
full,1,10,1.080311,2.061855670103093e-06
full,1,11,1.735616,2.268041237113402e-06
full,1,12,1.296224,2.4742268041237115e-06
full,1,13,1.552817,2.680412371134021e-06
full,1,14,2.370742,2.8865979381443297e-06
full,1,15,2.71782,3.0927835051546395e-06
full,1,16,2.309198,3.298969072164949e-06
full,1,17,1.336025,3.5051546391752577e-06
full,1,18,2.160459,3.7113402061855674e-06
full,1,19,1.350541,3.917525773195877e-06
full,1,20,1.481769,4.123711340206186e-06
full,1,21,1.606642,4.329896907216495e-06
full,1,22,1.149477,4.536082474226804e-06
full,1,23,1.512061,4.742268041237113e-06
full,1,24,2.201204,4.948453608247423e-06
full,1,25,1.75908,5.154639175257732e-06
full,1,26,1.825497,5.360824742268042e-06
full,1,27,2.2901,5.567010309278351e-06
full,1,28,1.776542,5.7731958762886594e-06
full,1,29,1.483202,5.979381443298969e-06
full,1,30,1.425051,6.185567010309279e-06
full,1,31,1.330104,6.391752577319588e-06
full,1,32,1.095885,6.597938144329898e-06
full,1,33,1.500556,6.804123711340207e-06
full,1,34,1.487961,7.010309278350515e-06
full,1,35,1.996995,7.216494845360825e-06
full,1,36,1.736315,7.422680412371135e-06
full,1,37,2.468774,7.628865979381444e-06
full,1,38,1.646615,7.835051546391754e-06
full,1,39,2.188786,8.041237113402063e-06
full,1,40,2.02399,8.247422680412371e-06
full,1,41,2.427549,8.453608247422681e-06
full,1,42,1.017997,8.65979381443299e-06
full,1,43,1.538937,8.865979381443299e-06
full,1,44,1.636539,9.072164948453609e-06
full,1,45,1.507696,9.278350515463918e-06
full,1,46,1.214209,9.484536082474226e-06
full,1,47,1.445641,9.690721649484536e-06
full,1,48,2.311733,9.896907216494846e-06
full,1,49,1.379947,1.0103092783505156e-05
full,1,50,1.433746,1.0309278350515464e-05
full,1,51,1.172937,1.0515463917525775e-05
full,1,52,1.074607,1.0721649484536083e-05
full,1,53,1.125914,1.0927835051546391e-05
full,1,54,1.790642,1.1134020618556703e-05
full,1,55,1.696292,1.134020618556701e-05
full,1,56,0.925792,1.1546391752577319e-05
full,1,57,1.23554,1.175257731958763e-05
full,1,58,1.196933,1.1958762886597938e-05
full,1,59,1.197206,1.2164948453608248e-05
full,1,60,2.133858,1.2371134020618558e-05
full,1,61,1.270772,1.2577319587628866e-05
full,1,62,3.691334,1.2783505154639176e-05
full,1,63,1.360987,1.2989690721649485e-05
full,1,64,2.26435,1.3195876288659795e-05
full,1,65,1.797993,1.3402061855670103e-05
full,1,66,2.251321,1.3608247422680415e-05
full,1,67,2.375162,1.3814432989690723e-05
full,1,68,2.982806,1.402061855670103e-05
full,1,69,1.559489,1.4226804123711342e-05
full,1,70,1.763077,1.443298969072165e-05
full,1,71,1.924955,1.4639175257731958e-05
full,1,72,1.100117,1.484536082474227e-05
full,1,73,1.690822,1.5051546391752578e-05
full,1,74,2.601082,1.5257731958762888e-05
full,1,75,2.138022,1.5463917525773197e-05
full,1,76,1.51228,1.5670103092783507e-05
full,1,77,2.428625,1.5876288659793813e-05
full,1,78,1.546715,1.6082474226804127e-05
full,1,79,2.319085,1.6288659793814433e-05
full,1,80,2.39556,1.6494845360824743e-05
full,1,81,1.964096,1.6701030927835052e-05
full,1,82,2.171826,1.6907216494845362e-05
full,1,83,1.550339,1.7113402061855672e-05
full,1,84,1.516803,1.731958762886598e-05
full,1,85,1.143007,1.752577319587629e-05
full,1,86,1.344435,1.7731958762886598e-05
full,1,87,2.542601,1.793814432989691e-05
full,1,88,1.384399,1.8144329896907217e-05
full,1,89,2.482462,1.8350515463917527e-05
full,1,90,1.705865,1.8556701030927837e-05
full,1,91,2.982202,1.8762886597938147e-05
full,1,92,2.154049,1.8969072164948453e-05
full,1,93,2.284822,1.9175257731958766e-05
full,1,94,3.140136,1.9381443298969072e-05
full,1,95,3.37798,1.9587628865979382e-05
full,1,96,1.227714,1.9793814432989692e-05
full,1,97,1.604673,2e-05
full,1,98,2.849281,1.998697068403909e-05
full,1,99,1.390052,1.9973941368078178e-05
full,1,100,2.119372,1.9960912052117266e-05
full,1,101,2.440814,1.9947882736156355e-05
full,1,102,1.208471,1.993485342019544e-05
full,1,103,0.975906,1.9921824104234528e-05
full,1,104,2.212873,1.9908794788273616e-05
full,1,105,2.01909,1.9895765472312705e-05
full,1,106,3.119562,1.9882736156351793e-05
full,1,107,2.003703,1.986970684039088e-05
full,1,108,2.641938,1.985667752442997e-05
full,1,109,1.283923,1.9843648208469058e-05
full,1,110,1.333805,1.9830618892508146e-05
full,1,111,1.046328,1.9817589576547234e-05
full,1,112,1.93366,1.980456026058632e-05
full,1,113,3.110422,1.9791530944625407e-05
full,1,114,1.274045,1.9778501628664496e-05
full,1,115,2.75203,1.9765472312703584e-05
full,1,116,3.318419,1.9752442996742672e-05
full,1,117,1.948351,1.973941368078176e-05
full,1,118,1.395322,1.972638436482085e-05
full,1,119,2.208195,1.9713355048859937e-05
full,1,120,1.266646,1.9700325732899025e-05
full,1,121,2.101899,1.9687296416938114e-05
full,1,122,2.338257,1.96742671009772e-05
full,1,123,2.764893,1.9661237785016287e-05
full,1,124,1.974384,1.9648208469055375e-05
full,1,125,1.397766,1.9635179153094463e-05
full,1,126,2.042403,1.962214983713355e-05
full,1,127,2.278304,1.960912052117264e-05
full,1,128,5.021571,1.9596091205211728e-05
full,1,129,2.126227,1.9583061889250817e-05
full,1,130,2.244324,1.9570032573289905e-05
full,1,131,1.472331,1.9557003257328993e-05
full,1,132,2.246543,1.9543973941368078e-05
full,1,133,2.217324,1.9530944625407166e-05
full,1,134,2.193676,1.9517915309446255e-05
full,1,135,1.404224,1.9504885993485343e-05
full,1,136,1.941807,1.949185667752443e-05
full,1,137,3.73437,1.947882736156352e-05
full,1,138,2.683306,1.9465798045602608e-05
full,1,139,2.83879,1.9452768729641696e-05
full,1,140,1.471208,1.9439739413680784e-05
full,1,141,1.47807,1.9426710097719873e-05
full,1,142,2.594677,1.9413680781758957e-05
full,1,143,2.689719,1.940065146579805e-05
full,1,144,2.504406,1.9387622149837134e-05
full,1,145,1.788739,1.9374592833876222e-05
full,1,146,1.258298,1.936156351791531e-05
full,1,147,1.209671,1.93485342019544e-05
full,1,148,3.018467,1.9335504885993487e-05
full,1,149,2.437095,1.9322475570032575e-05
full,1,150,2.165555,1.9309446254071664e-05
full,1,151,1.40377,1.9296416938110752e-05
full,1,152,1.866642,1.9283387622149837e-05
full,1,153,1.689715,1.927035830618893e-05
full,1,154,2.119176,1.9257328990228013e-05
full,1,155,1.602128,1.92442996742671e-05
full,1,156,2.887049,1.923127035830619e-05
full,1,157,1.515806,1.9218241042345278e-05
full,1,158,2.106146,1.9205211726384367e-05
full,1,159,1.568316,1.9192182410423455e-05
full,1,160,1.883685,1.9179153094462543e-05
full,1,161,1.756907,1.916612377850163e-05
full,1,162,1.324541,1.9153094462540716e-05
full,1,163,2.640705,1.9140065146579808e-05
full,1,164,2.593591,1.9127035830618893e-05
full,1,165,2.116005,1.911400651465798e-05
full,1,166,2.633041,1.910097719869707e-05
full,1,167,2.299114,1.9087947882736158e-05
full,1,168,2.189464,1.9074918566775246e-05
full,1,169,1.194812,1.9061889250814334e-05
full,1,170,1.372386,1.9048859934853423e-05
full,1,171,2.774483,1.903583061889251e-05
full,1,172,1.663682,1.9022801302931596e-05
full,1,173,1.368258,1.9009771986970687e-05
full,1,174,1.485893,1.8996742671009772e-05
full,1,175,1.122159,1.898371335504886e-05
full,1,176,1.465698,1.897068403908795e-05
full,1,177,1.120609,1.8957654723127037e-05
full,1,178,2.692159,1.8944625407166125e-05
full,1,179,2.455935,1.8931596091205214e-05
full,1,180,1.500784,1.8918566775244302e-05
full,1,181,2.129825,1.890553745928339e-05
full,1,182,2.330855,1.8892508143322475e-05
full,1,183,2.32402,1.8879478827361567e-05
full,1,184,1.15011,1.8866449511400652e-05
full,1,185,1.473934,1.885342019543974e-05
full,1,186,3.201584,1.8840390879478828e-05
full,1,187,3.56362,1.8827361563517917e-05
full,1,188,2.276591,1.8814332247557005e-05
full,1,189,2.259858,1.8801302931596093e-05
full,1,190,1.061354,1.878827361563518e-05
full,1,191,1.598726,1.877524429967427e-05
full,1,192,1.699769,1.8762214983713355e-05
full,1,193,1.070655,1.8749185667752446e-05
full,1,194,1.162131,1.873615635179153e-05
full,1,195,2.295002,1.872312703583062e-05
full,1,196,2.9193,1.8710097719869708e-05
full,1,197,2.177895,1.8697068403908796e-05
full,1,198,2.890796,1.8684039087947884e-05
full,1,199,3.118801,1.8671009771986973e-05
full,1,200,2.650562,1.8657980456026057e-05
full,1,201,1.686752,1.864495114006515e-05
full,1,202,1.854169,1.8631921824104234e-05
full,1,203,2.257113,1.8618892508143326e-05
full,1,204,2.223505,1.860586319218241e-05
full,1,205,1.409725,1.85928338762215e-05
full,1,206,4.649589,1.8579804560260587e-05
full,1,207,2.014467,1.8566775244299675e-05
full,1,208,2.073166,1.8553745928338764e-05
full,1,209,1.982501,1.8540716612377852e-05
full,1,210,1.556728,1.8527687296416937e-05
full,1,211,1.933419,1.851465798045603e-05
full,1,212,2.70138,1.8501628664495113e-05
full,1,213,1.137777,1.8488599348534205e-05
full,1,214,2.286211,1.847557003257329e-05
full,1,215,1.325686,1.846254071661238e-05
full,1,216,1.316532,1.8449511400651467e-05
full,1,217,2.922754,1.8436482084690555e-05
full,1,218,2.046484,1.8423452768729643e-05
full,1,219,2.132143,1.841042345276873e-05
full,1,220,2.125581,1.839739413680782e-05
full,1,221,2.029198,1.8384364820846908e-05
full,1,222,2.679905,1.8371335504885993e-05
full,1,223,1.848327,1.8358306188925085e-05
full,1,224,2.105441,1.834527687296417e-05
full,1,225,1.415692,1.833224755700326e-05
full,1,226,2.989468,1.8319218241042346e-05
full,1,227,3.7581,1.8306188925081434e-05
full,1,228,2.36901,1.8293159609120523e-05
full,1,229,2.262375,1.828013029315961e-05
full,1,230,2.059723,1.82671009771987e-05
full,1,231,1.289091,1.8254071661237787e-05
full,1,232,2.068034,1.8241042345276872e-05
full,1,233,1.59487,1.8228013029315964e-05
full,1,234,1.487323,1.821498371335505e-05
full,1,235,2.888314,1.820195439739414e-05
full,1,236,1.619237,1.8188925081433225e-05
full,1,237,1.997512,1.8175895765472314e-05
full,1,238,1.787478,1.8162866449511402e-05
full,1,239,1.986263,1.814983713355049e-05
full,1,240,2.694164,1.813680781758958e-05
full,1,241,4.342266,1.8123778501628667e-05
full,1,242,1.92093,1.8110749185667752e-05
full,1,243,1.259001,1.8097719869706843e-05
full,1,244,1.104305,1.808469055374593e-05
full,1,245,1.443736,1.807166123778502e-05
