phase,epoch,step,loss,lr
full,1,1,1.170164,2.061855670103093e-07
full,1,2,1.495187,4.123711340206186e-07
full,1,3,1.269498,6.185567010309279e-07
full,1,4,3.036225,8.247422680412372e-07
full,1,5,1.990824,1.0309278350515464e-06
full,1,6,2.987005,1.2371134020618557e-06
full,1,7,1.26887,1.4432989690721649e-06
full,1,8,1.18857,1.6494845360824744e-06
full,1,9,1.749308,1.8556701030927837e-06
full,1,10,1.830925,2.061855670103093e-06
full,1,11,3.025749,2.268041237113402e-06
full,1,12,1.860979,2.4742268041237115e-06
full,1,13,2.12359,2.680412371134021e-06
full,1,14,1.530405,2.8865979381443297e-06
full,1,15,2.939846,3.0927835051546395e-06
full,1,16,1.415554,3.298969072164949e-06
full,1,17,3.067394,3.5051546391752577e-06
full,1,18,1.251756,3.7113402061855674e-06
full,1,19,2.259974,3.917525773195877e-06
full,1,20,1.1421,4.123711340206186e-06
full,1,21,1.674215,4.329896907216495e-06
full,1,22,1.938978,4.536082474226804e-06
full,1,23,2.157392,4.742268041237113e-06
full,1,24,2.682856,4.948453608247423e-06
full,1,25,2.043949,5.154639175257732e-06
full,1,26,1.862629,5.360824742268042e-06
full,1,27,1.362076,5.567010309278351e-06
full,1,28,1.836679,5.7731958762886594e-06
full,1,29,3.032082,5.979381443298969e-06
full,1,30,3.486701,6.185567010309279e-06
full,1,31,2.01155,6.391752577319588e-06
full,1,32,2.357561,6.597938144329898e-06
full,1,33,2.623861,6.804123711340207e-06
full,1,34,2.535478,7.010309278350515e-06
full,1,35,2.140584,7.216494845360825e-06
full,1,36,1.287656,7.422680412371135e-06
full,1,37,4.023843,7.628865979381444e-06
full,1,38,3.214056,7.835051546391754e-06
full,1,39,1.479957,8.041237113402063e-06
full,1,40,3.026423,8.247422680412371e-06
full,1,41,2.016171,8.453608247422681e-06
full,1,42,2.45007,8.65979381443299e-06
full,1,43,1.13697,8.865979381443299e-06
full,1,44,1.261756,9.072164948453609e-06
full,1,45,2.185748,9.278350515463918e-06
full,1,46,1.933627,9.484536082474226e-06
full,1,47,2.278952,9.690721649484536e-06
full,1,48,1.2417,9.896907216494846e-06
full,1,49,2.076414,1.0103092783505156e-05
full,1,50,1.966314,1.0309278350515464e-05
full,1,51,1.553516,1.0515463917525775e-05
full,1,52,2.082524,1.0721649484536083e-05
full,1,53,2.003735,1.0927835051546391e-05
full,1,54,1.467624,1.1134020618556703e-05
full,1,55,1.893852,1.134020618556701e-05
full,1,56,1.175457,1.1546391752577319e-05
full,1,57,1.519706,1.175257731958763e-05
full,1,58,3.68546,1.1958762886597938e-05
full,1,59,3.077378,1.2164948453608248e-05
full,1,60,2.339086,1.2371134020618558e-05
full,1,61,1.346061,1.2577319587628866e-05
full,1,62,1.440102,1.2783505154639176e-05
full,1,63,2.925339,1.2989690721649485e-05
full,1,64,1.714727,1.3195876288659795e-05
full,1,65,1.71643,1.3402061855670103e-05
full,1,66,2.140996,1.3608247422680415e-05
full,1,67,2.496367,1.3814432989690723e-05
full,1,68,2.763322,1.402061855670103e-05
full,1,69,3.380826,1.4226804123711342e-05
full,1,70,2.31517,1.443298969072165e-05
full,1,71,2.511092,1.4639175257731958e-05
full,1,72,1.522166,1.484536082474227e-05
full,1,73,1.886351,1.5051546391752578e-05
full,1,74,2.188255,1.5257731958762888e-05
full,1,75,1.916739,1.5463917525773197e-05
full,1,76,1.432151,1.5670103092783507e-05
full,1,77,2.801128,1.5876288659793813e-05
full,1,78,2.648332,1.6082474226804127e-05
full,1,79,2.569014,1.6288659793814433e-05
full,1,80,1.658873,1.6494845360824743e-05
full,1,81,1.417174,1.6701030927835052e-05
full,1,82,1.979465,1.6907216494845362e-05
full,1,83,1.326828,1.7113402061855672e-05
full,1,84,1.268023,1.731958762886598e-05
full,1,85,2.752734,1.752577319587629e-05
full,1,86,2.290068,1.7731958762886598e-05
full,1,87,2.95861,1.793814432989691e-05
full,1,88,1.49064,1.8144329896907217e-05
full,1,89,2.019098,1.8350515463917527e-05
full,1,90,1.198501,1.8556701030927837e-05
full,1,91,1.221481,1.8762886597938147e-05
