phase,epoch,step,loss,lr
full,1,1,0.807763,1.0362694300518136e-07
full,1,2,0.924471,2.0725388601036273e-07
full,1,3,0.98673,3.1088082901554404e-07
full,1,4,0.666911,4.1450777202072546e-07
full,1,5,0.417387,5.181347150259067e-07
full,1,6,0.69284,6.217616580310881e-07
full,1,7,0.608761,7.253886010362694e-07
full,1,8,0.800707,8.290155440414509e-07
full,1,9,0.661042,9.326424870466322e-07
full,1,10,0.646284,1.0362694300518134e-06
full,1,11,0.525037,1.139896373056995e-06
full,1,12,0.715573,1.2435233160621762e-06
full,1,13,0.420284,1.3471502590673576e-06
full,1,14,0.653282,1.4507772020725389e-06
full,1,15,0.73403,1.5544041450777204e-06
full,1,16,0.755508,1.6580310880829018e-06
full,1,17,0.650451,1.7616580310880829e-06
full,1,18,0.898468,1.8652849740932643e-06
full,1,19,0.682957,1.968911917098446e-06
full,1,20,0.644995,2.072538860103627e-06
full,1,21,0.850241,2.1761658031088083e-06
full,1,22,0.921642,2.27979274611399e-06
full,1,23,0.710791,2.383419689119171e-06
full,1,24,0.661366,2.4870466321243523e-06
full,1,25,0.823927,2.5906735751295338e-06
full,1,26,0.673904,2.6943005181347152e-06
full,1,27,0.763265,2.7979274611398967e-06
full,1,28,0.671376,2.9015544041450778e-06
full,1,29,0.746237,3.0051813471502592e-06
full,1,30,0.782819,3.1088082901554407e-06
full,1,31,0.780619,3.2124352331606218e-06
full,1,32,0.543539,3.3160621761658036e-06
full,1,33,0.795853,3.4196891191709847e-06
full,1,34,0.59992,3.5233160621761657e-06
full,1,35,0.694569,3.6269430051813476e-06
full,1,36,0.546333,3.7305699481865287e-06
full,1,37,0.685692,3.83419689119171e-06
full,1,38,0.823365,3.937823834196892e-06
full,1,39,0.636286,4.041450777202073e-06
full,1,40,0.783214,4.145077720207254e-06
full,1,41,0.796356,4.248704663212436e-06
full,1,42,0.694001,4.352331606217617e-06
full,1,43,0.820976,4.455958549222798e-06
full,1,44,0.85033,4.55958549222798e-06
full,1,45,0.768081,4.663212435233161e-06
full,1,46,0.719415,4.766839378238342e-06
full,1,47,0.682832,4.870466321243524e-06
full,1,48,0.65451,4.974093264248705e-06
full,1,49,0.711856,5.077720207253887e-06
full,1,50,0.73734,5.1813471502590676e-06
full,1,51,0.727382,5.284974093264249e-06
full,1,52,0.730907,5.3886010362694305e-06
full,1,53,0.635302,5.492227979274611e-06
full,1,54,0.633712,5.5958549222797934e-06
full,1,55,0.630156,5.699481865284975e-06
full,1,56,0.744948,5.8031088082901555e-06
full,1,57,0.781382,5.906735751295337e-06
full,1,58,0.670011,6.0103626943005185e-06
full,1,59,0.725116,6.113989637305699e-06
full,1,60,0.796428,6.217616580310881e-06
full,1,61,0.678458,6.321243523316063e-06
full,1,62,0.66601,6.4248704663212435e-06
full,1,63,0.686723,6.528497409326425e-06
full,1,64,0.617899,6.632124352331607e-06
full,1,65,0.864099,6.735751295336788e-06
full,1,66,0.70567,6.839378238341969e-06
full,1,67,0.68083,6.943005181347151e-06
full,1,68,0.788106,7.0466321243523315e-06
full,1,69,0.646899,7.150259067357514e-06
full,1,70,0.722335,7.253886010362695e-06
full,1,71,0.683572,7.357512953367876e-06
full,1,72,0.698851,7.461139896373057e-06
full,1,73,0.691506,7.564766839378239e-06
full,1,74,0.747156,7.66839378238342e-06
full,1,75,0.629125,7.772020725388602e-06
full,1,76,0.702606,7.875647668393783e-06
full,1,77,0.719824,7.979274611398965e-06
full,1,78,0.782135,8.082901554404146e-06
full,1,79,0.615861,8.186528497409328e-06
full,1,80,0.786029,8.290155440414507e-06
full,1,81,0.652062,8.393782383419689e-06
full,1,82,0.624279,8.497409326424872e-06
full,1,83,0.659993,8.601036269430052e-06
full,1,84,0.725836,8.704663212435233e-06
full,1,85,0.641462,8.808290155440415e-06
full,1,86,0.67581,8.911917098445596e-06
full,1,87,0.6643,9.015544041450778e-06
full,1,88,0.684813,9.11917098445596e-06
full,1,89,0.665771,9.22279792746114e-06
full,1,90,0.590373,9.326424870466322e-06
full,1,91,0.636335,9.430051813471504e-06
full,1,92,0.690173,9.533678756476683e-06
full,1,93,0.694434,9.637305699481867e-06
full,1,94,0.585425,9.740932642487048e-06
full,1,95,0.740603,9.844559585492228e-06
full,1,96,0.749045,9.94818652849741e-06
full,1,97,0.642204,1.0051813471502592e-05
full,1,98,0.564896,1.0155440414507774e-05
full,1,99,0.617969,1.0259067357512955e-05
full,1,100,0.68938,1.0362694300518135e-05
full,1,101,0.598095,1.0466321243523317e-05
full,1,102,0.620281,1.0569948186528498e-05
full,1,103,0.717619,1.067357512953368e-05
