phase,epoch,step,loss,lr
clean,1,1,0.718735,2e-05
clean,1,2,0.709776,1.8461538461538465e-05
clean,1,3,0.554585,1.6923076923076924e-05
clean,1,4,0.68047,1.5384615384615387e-05
clean,1,5,0.713299,1.3846153846153847e-05
clean,1,6,0.674599,1.230769230769231e-05
clean,1,7,1.061409,1.076923076923077e-05
clean,2,8,0.643016,9.230769230769232e-06
clean,2,9,0.910338,7.692307692307694e-06
clean,2,10,0.688935,6.153846153846155e-06
clean,2,11,0.548098,4.615384615384616e-06
clean,2,12,0.70146,3.0769230769230774e-06
clean,2,13,0.942591,1.5384615384615387e-06
clean,2,14,0.408468,0.0
diverse,1,15,0.829238,1.0000000000000002e-06
diverse,1,16,0.866324,2.0000000000000003e-06
diverse,1,17,0.887766,3e-06
diverse,1,18,0.691342,4.000000000000001e-06
diverse,1,19,0.750434,5e-06
diverse,1,20,0.596675,6e-06
diverse,1,21,0.881772,7e-06
diverse,1,22,0.723141,8.000000000000001e-06
diverse,1,23,0.791668,9e-06
diverse,1,24,0.863136,1e-05
diverse,1,25,0.649621,1.1000000000000001e-05
diverse,1,26,0.629966,1.2e-05
diverse,1,27,0.747591,1.3000000000000001e-05
diverse,1,28,0.718302,1.4e-05
diverse,1,29,0.675887,1.5000000000000002e-05
diverse,1,30,0.623379,1.6000000000000003e-05
diverse,1,31,0.678353,1.7e-05
diverse,1,32,0.702979,1.8e-05
diverse,1,33,0.868542,1.9e-05
diverse,1,34,0.685479,2e-05
diverse,1,35,0.612273,1.9938650306748468e-05
diverse,1,36,0.713592,1.9877300613496935e-05
diverse,1,37,0.648734,1.98159509202454e-05
diverse,1,38,0.742798,1.9754601226993868e-05
diverse,1,39,0.723273,1.9693251533742334e-05
diverse,1,40,0.837416,1.96319018404908e-05
diverse,1,41,0.558254,1.9570552147239267e-05
diverse,1,42,0.877943,1.9509202453987733e-05
diverse,1,43,0.736072,1.94478527607362e-05
diverse,1,44,0.682383,1.9386503067484663e-05
diverse,1,45,0.721035,1.932515337423313e-05
diverse,1,46,0.707566,1.9263803680981596e-05
diverse,1,47,0.602182,1.9202453987730062e-05
diverse,1,48,0.64023,1.914110429447853e-05
diverse,1,49,0.610885,1.9079754601226995e-05
diverse,1,50,0.658695,1.9018404907975462e-05
diverse,1,51,0.689423,1.8957055214723928e-05
diverse,1,52,0.691413,1.8895705521472395e-05
diverse,1,53,0.681758,1.883435582822086e-05
diverse,1,54,0.615179,1.8773006134969328e-05
diverse,1,55,0.563127,1.8711656441717794e-05
diverse,1,56,0.664448,1.8650306748466257e-05
diverse,1,57,0.682292,1.8588957055214724e-05
diverse,1,58,0.689489,1.852760736196319e-05
diverse,1,59,0.752941,1.8466257668711657e-05
diverse,1,60,0.676648,1.8404907975460123e-05
diverse,1,61,0.787027,1.834355828220859e-05
diverse,1,62,0.711528,1.828220858895706e-05
diverse,1,63,0.540755,1.8220858895705523e-05
diverse,1,64,0.602503,1.815950920245399e-05
diverse,1,65,0.769494,1.8098159509202455e-05
diverse,1,66,0.632068,1.8036809815950922e-05
diverse,1,67,0.5196,1.797546012269939e-05
diverse,1,68,0.576476,1.7914110429447855e-05
diverse,1,69,0.631427,1.7852760736196318e-05
diverse,1,70,0.555653,1.7791411042944788e-05
diverse,1,71,0.63778,1.7730061349693254e-05
diverse,1,72,0.54695,1.766871165644172e-05
diverse,1,73,0.497246,1.7607361963190187e-05
diverse,1,74,0.578859,1.7546012269938654e-05
diverse,1,75,0.685714,1.7484662576687117e-05
diverse,1,76,0.457953,1.7423312883435583e-05
diverse,1,77,0.579877,1.736196319018405e-05
