phase,epoch,step,loss,lr
clean,1,1,0.640459,2e-05
clean,1,2,1.057722,1.7142857142857142e-05
clean,1,3,0.46262,1.4285714285714287e-05
clean,1,4,0.487085,1.1428571428571429e-05
clean,2,5,0.612467,8.571428571428571e-06
clean,2,6,0.816316,5.7142857142857145e-06
clean,2,7,0.600226,2.8571428571428573e-06
clean,2,8,1.375575,0.0
diverse,1,9,0.653845,1.5384615384615387e-06
diverse,1,10,0.606506,3.0769230769230774e-06
diverse,1,11,0.736867,4.615384615384616e-06
diverse,1,12,0.607359,6.153846153846155e-06
diverse,1,13,0.649043,7.692307692307694e-06
diverse,1,14,0.831055,9.230769230769232e-06
diverse,1,15,0.487516,1.076923076923077e-05
diverse,1,16,0.752677,1.230769230769231e-05
diverse,1,17,0.753381,1.3846153846153847e-05
diverse,1,18,0.55745,1.5384615384615387e-05
diverse,1,19,0.933315,1.6923076923076924e-05
diverse,1,20,0.688136,1.8461538461538465e-05
diverse,1,21,0.677122,2e-05
diverse,1,22,0.849511,1.990867579908676e-05
diverse,1,23,0.84423,1.981735159817352e-05
diverse,1,24,0.637054,1.9726027397260276e-05
diverse,1,25,0.561419,1.9634703196347033e-05
diverse,1,26,0.748359,1.954337899543379e-05
diverse,1,27,0.784153,1.945205479452055e-05
diverse,1,28,0.688229,1.9360730593607308e-05
diverse,1,29,0.614523,1.9269406392694065e-05
diverse,1,30,0.798652,1.9178082191780822e-05
diverse,1,31,0.571027,1.9086757990867582e-05
diverse,1,32,0.518724,1.899543378995434e-05
diverse,1,33,0.683851,1.8904109589041096e-05
diverse,1,34,0.965707,1.8812785388127853e-05
diverse,1,35,0.662336,1.8721461187214614e-05
diverse,1,36,0.703384,1.863013698630137e-05
diverse,1,37,0.802353,1.8538812785388128e-05
diverse,1,38,0.557253,1.8447488584474885e-05
diverse,1,39,0.741428,1.8356164383561645e-05
diverse,1,40,0.615867,1.8264840182648402e-05
diverse,1,41,0.753997,1.8173515981735163e-05
diverse,1,42,0.728747,1.808219178082192e-05
diverse,1,43,0.809187,1.7990867579908677e-05
diverse,1,44,0.722808,1.7899543378995434e-05
diverse,1,45,0.683429,1.7808219178082194e-05
diverse,1,46,0.609122,1.771689497716895e-05
diverse,1,47,0.775649,1.762557077625571e-05
diverse,1,48,0.53759,1.7534246575342465e-05
diverse,1,49,0.845312,1.7442922374429226e-05
diverse,1,50,0.557472,1.7351598173515983e-05
diverse,1,51,0.908431,1.726027397260274e-05
diverse,1,52,0.7269,1.7168949771689497e-05
diverse,1,53,0.599757,1.7077625570776257e-05
diverse,1,54,0.818121,1.6986301369863014e-05
diverse,1,55,0.648429,1.6894977168949775e-05
diverse,1,56,0.608174,1.680365296803653e-05
diverse,1,57,0.62183,1.671232876712329e-05
diverse,1,58,0.697814,1.6621004566210046e-05
diverse,1,59,0.753206,1.6529680365296806e-05
diverse,1,60,0.505255,1.6438356164383563e-05
diverse,1,61,0.668631,1.634703196347032e-05
diverse,1,62,0.735763,1.6255707762557078e-05
diverse,1,63,0.547583,1.6164383561643838e-05
diverse,1,64,0.423954,1.6073059360730595e-05
diverse,1,65,0.576465,1.5981735159817352e-05
diverse,1,66,0.585914,1.589041095890411e-05
diverse,1,67,0.458681,1.579908675799087e-05
diverse,1,68,0.572816,1.5707762557077627e-05
diverse,1,69,0.383422,1.5616438356164384e-05
diverse,1,70,0.580308,1.552511415525114e-05
diverse,1,71,0.450299,1.54337899543379e-05
diverse,1,72,0.488951,1.5342465753424658e-05
diverse,1,73,0.830454,1.5251141552511417e-05
diverse,1,74,0.393227,1.5159817351598174e-05
diverse,1,75,0.477068,1.5068493150684933e-05
diverse,1,76,0.480237,1.497716894977169e-05
diverse,1,77,0.381473,1.4885844748858448e-05
diverse,1,78,0.450473,1.4794520547945205e-05
diverse,1,79,0.39844,1.4703196347031964e-05
diverse,1,80,0.585689,1.4611872146118721e-05
diverse,1,81,0.387554,1.4520547945205482e-05
diverse,1,82,0.839318,1.4429223744292239e-05
diverse,1,83,0.602436,1.4337899543378997e-05
diverse,1,84,0.543169,1.4246575342465754e-05
diverse,1,85,0.532954,1.4155251141552513e-05
diverse,1,86,0.233083,1.406392694063927e-05
diverse,1,87,0.994644,1.3972602739726029e-05
diverse,1,88,0.360483,1.3881278538812786e-05
diverse,1,89,0.609657,1.3789954337899545e-05
diverse,1,90,0.438044,1.3698630136986302e-05
diverse,1,91,0.288883,1.360730593607306e-05
diverse,1,92,0.68002,1.3515981735159818e-05
diverse,1,93,0.162381,1.3424657534246576e-05
diverse,1,94,0.489891,1.3333333333333333e-05
diverse,1,95,0.6618,1.3242009132420092e-05
diverse,1,96,0.498946,1.3150684931506849e-05
diverse,1,97,0.408052,1.305936073059361e-05
diverse,1,98,0.353832,1.2968036529680365e-05
diverse,1,99,0.367777,1.2876712328767125e-05
diverse,1,100,0.66925,1.2785388127853882e-05
diverse,1,101,0.396015,1.2694063926940641e-05
diverse,1,102,0.349297,1.2602739726027398e-05
diverse,1,103,0.678719,1.2511415525114157e-05
diverse,1,104,0.741075,1.2420091324200914e-05
diverse,1,105,0.626853,1.2328767123287673e-05
diverse,1,106,0.285894,1.223744292237443e-05
diverse,1,107,0.558055,1.2146118721461188e-05
diverse,1,108,0.549642,1.2054794520547945e-05
diverse,1,109,0.283042,1.1963470319634704e-05
diverse,1,110,0.964156,1.1872146118721461e-05
diverse,1,111,0.209525,1.178082191780822e-05
diverse,1,112,0.378698,1.1689497716894977e-05
diverse,1,113,0.287178,1.1598173515981737e-05
diverse,1,114,0.852693,1.1506849315068493e-05
diverse,1,115,0.420766,1.1415525114155253e-05
diverse,1,116,1.124146,1.132420091324201e-05
diverse,1,117,0.383201,1.1232876712328769e-05
diverse,1,118,0.283002,1.1141552511415526e-05
diverse,1,119,0.622789,1.1050228310502285e-05
diverse,1,120,0.3223,1.0958904109589042e-05
diverse,1,121,0.269819,1.08675799086758e-05
diverse,1,122,0.347465,1.0776255707762558e-05
diverse,1,123,0.381674,1.0684931506849316e-05
diverse,1,124,0.109518,1.0593607305936073e-05
diverse,2,125,0.329002,1.0502283105022832e-05
diverse,2,126,0.345467,1.0410958904109589e-05
diverse,2,127,0.25706,1.0319634703196348e-05
diverse,2,128,0.320818,1.0228310502283105e-05
diverse,2,129,0.446169,1.0136986301369864e-05
diverse,2,130,0.629364,1.004566210045662e-05
diverse,2,131,0.273464,9.95433789954338e-06
diverse,2,132,0.320211,9.863013698630138e-06
diverse,2,133,0.386322,9.771689497716895e-06
diverse,2,134,0.237662,9.680365296803654e-06
diverse,2,135,0.605133,9.589041095890411e-06
diverse,2,136,0.274526,9.49771689497717e-06
diverse,2,137,0.275147,9.406392694063927e-06
diverse,2,138,0.28996,9.315068493150685e-06
diverse,2,139,0.373879,9.223744292237442e-06
diverse,2,140,0.160901,9.132420091324201e-06
diverse,2,141,0.423297,9.04109589041096e-06
diverse,2,142,1.165707,8.949771689497717e-06
diverse,2,143,0.429208,8.858447488584476e-06
diverse,2,144,0.615011,8.767123287671233e-06
diverse,2,145,0.233082,8.675799086757991e-06
diverse,2,146,0.109182,8.584474885844748e-06
diverse,2,147,0.220125,8.493150684931507e-06
diverse,2,148,0.349034,8.401826484018264e-06
diverse,2,149,0.217912,8.310502283105023e-06
diverse,2,150,0.361324,8.219178082191782e-06
diverse,2,151,0.255791,8.127853881278539e-06
diverse,2,152,0.359727,8.036529680365297e-06
diverse,2,153,0.412218,7.945205479452055e-06
diverse,2,154,0.173852,7.853881278538813e-06
diverse,2,155,0.153077,7.76255707762557e-06
diverse,2,156,0.353571,7.671232876712329e-06
diverse,2,157,0.224365,7.579908675799087e-06
diverse,2,158,0.448823,7.488584474885845e-06
diverse,2,159,0.460212,7.397260273972603e-06
diverse,2,160,0.395206,7.305936073059361e-06
diverse,2,161,0.371779,7.214611872146119e-06
diverse,2,162,0.573137,7.123287671232877e-06
diverse,2,163,0.461385,7.031963470319635e-06
diverse,2,164,0.703463,6.940639269406393e-06
diverse,2,165,0.480431,6.849315068493151e-06
diverse,2,166,0.471877,6.757990867579909e-06
diverse,2,167,0.222255,6.666666666666667e-06
diverse,2,168,0.556038,6.5753424657534245e-06
diverse,2,169,0.267173,6.484018264840182e-06
diverse,2,170,0.212914,6.392694063926941e-06
diverse,2,171,0.163535,6.301369863013699e-06
diverse,2,172,0.677607,6.210045662100457e-06
diverse,2,173,0.319724,6.118721461187215e-06
diverse,2,174,0.38856,6.027397260273973e-06
diverse,2,175,0.451963,5.936073059360731e-06
diverse,2,176,0.411561,5.8447488584474885e-06
diverse,2,177,0.472646,5.753424657534246e-06
diverse,2,178,0.625915,5.662100456621005e-06
diverse,2,179,0.161898,5.570776255707763e-06
diverse,2,180,0.44024,5.479452054794521e-06
diverse,2,181,0.283702,5.388127853881279e-06
diverse,2,182,0.126194,5.296803652968037e-06
diverse,2,183,0.306268,5.2054794520547945e-06
diverse,2,184,0.180487,5.114155251141552e-06
diverse,2,185,0.408672,5.02283105022831e-06
diverse,2,186,0.52247,4.931506849315069e-06
diverse,2,187,0.414816,4.840182648401827e-06
diverse,2,188,0.53061,4.748858447488585e-06
diverse,2,189,0.657439,4.657534246575343e-06
diverse,2,190,0.488598,4.566210045662101e-06
diverse,2,191,0.240505,4.4748858447488585e-06
diverse,2,192,0.448325,4.383561643835616e-06
diverse,2,193,0.621232,4.292237442922374e-06
diverse,2,194,0.512559,4.200913242009132e-06
diverse,2,195,0.673284,4.109589041095891e-06
diverse,2,196,0.332876,4.018264840182649e-06
diverse,2,197,0.123423,3.926940639269407e-06
diverse,2,198,0.199706,3.8356164383561645e-06
diverse,2,199,0.877637,3.7442922374429224e-06
diverse,2,200,0.388571,3.6529680365296803e-06
diverse,2,201,0.739631,3.5616438356164386e-06
diverse,2,202,0.274796,3.4703196347031965e-06
