phase,epoch,step,loss,lr
full,1,1,0.661883,1.5748031496062994e-07
full,1,2,0.689939,3.149606299212599e-07
full,1,3,0.711143,4.724409448818898e-07
full,1,4,0.694572,6.299212598425198e-07
full,1,5,0.787229,7.874015748031496e-07
full,1,6,0.766761,9.448818897637796e-07
full,1,7,0.701306,1.1023622047244096e-06
full,1,8,0.734032,1.2598425196850396e-06
full,1,9,0.670476,1.4173228346456693e-06
full,1,10,0.698675,1.5748031496062992e-06
full,1,11,0.617127,1.7322834645669292e-06
full,1,12,0.532586,1.8897637795275591e-06
full,1,13,0.782119,2.0472440944881893e-06
full,1,14,0.63151,2.2047244094488192e-06
full,1,15,0.612374,2.362204724409449e-06
full,1,16,0.668841,2.519685039370079e-06
full,1,17,0.503653,2.677165354330709e-06
full,1,18,0.618262,2.8346456692913386e-06
full,1,19,0.680571,2.992125984251969e-06
full,1,20,0.687472,3.1496062992125985e-06
full,1,21,0.545991,3.307086614173229e-06
full,1,22,0.679254,3.4645669291338583e-06
full,1,23,0.563186,3.6220472440944887e-06
full,1,24,0.770916,3.7795275590551182e-06
full,1,25,0.596435,3.937007874015748e-06
full,1,26,0.697088,4.0944881889763785e-06
full,1,27,0.541962,4.251968503937008e-06
full,1,28,0.676425,4.4094488188976384e-06
full,1,29,0.658893,4.566929133858268e-06
full,1,30,0.516458,4.724409448818898e-06
full,1,31,0.80724,4.881889763779528e-06
full,1,32,0.793238,5.039370078740158e-06
full,1,33,0.750077,5.196850393700788e-06
full,1,34,0.666251,5.354330708661418e-06
full,1,35,0.785815,5.511811023622048e-06
full,1,36,0.727764,5.669291338582677e-06
full,1,37,0.960217,5.8267716535433075e-06
full,1,38,0.914286,5.984251968503938e-06
full,1,39,0.687782,6.141732283464567e-06
full,1,40,0.719014,6.299212598425197e-06
full,1,41,0.639418,6.456692913385827e-06
full,1,42,0.664735,6.614173228346458e-06
full,1,43,0.759314,6.771653543307087e-06
full,1,44,0.605259,6.929133858267717e-06
full,1,45,0.706288,7.086614173228347e-06
full,1,46,0.875438,7.2440944881889774e-06
full,1,47,0.678916,7.401574803149607e-06
full,1,48,0.751173,7.5590551181102365e-06
full,1,49,0.627476,7.716535433070867e-06
full,1,50,0.717517,7.874015748031496e-06
full,1,51,0.83163,8.031496062992128e-06
full,1,52,0.636376,8.188976377952757e-06
full,1,53,0.755421,8.346456692913387e-06
full,1,54,0.810856,8.503937007874016e-06
