mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
baseline,micro_f1,0.911279,0.009112,0.904760,0.917797,10
baseline,macro_f1,0.897060,0.010587,0.889487,0.904634,10
baseline,accuracy,0.911279,0.009112,0.904760,0.917797,10
baseline,hard_slice_macro_f1,0.727998,0.020523,0.713317,0.742680,10
is,micro_f1,0.907600,0.007510,0.902227,0.912973,10
is,macro_f1,0.893152,0.008977,0.886731,0.899574,10
is,accuracy,0.907600,0.007510,0.902227,0.912973,10
is,hard_slice_macro_f1,0.712114,0.032135,0.689126,0.735102,10
cl,micro_f1,0.903452,0.007642,0.897985,0.908918,10
cl,macro_f1,0.889945,0.008818,0.883637,0.896253,10
cl,accuracy,0.903452,0.007642,0.897985,0.908918,10
cl,hard_slice_macro_f1,0.673314,0.025401,0.655143,0.691484,10
is_cl,micro_f1,0.894213,0.007874,0.888581,0.899846,10
is_cl,macro_f1,0.880225,0.009119,0.873702,0.886748,10
is_cl,accuracy,0.894213,0.007874,0.888581,0.899846,10
is_cl,hard_slice_macro_f1,0.658400,0.030200,0.636796,0.680004,10
