phase,epoch,step,loss,lr
clean,1,1,0.705347,2.222222222222222e-06
clean,1,2,0.84556,4.444444444444444e-06
clean,1,3,0.326683,6.666666666666667e-06
clean,1,4,0.419392,8.888888888888888e-06
clean,1,5,0.600603,1.1111111111111113e-05
clean,1,6,0.540172,1.3333333333333333e-05
clean,1,7,1.063256,1.555555555555556e-05
clean,1,8,0.804152,1.7777777777777777e-05
clean,1,9,0.516084,2e-05
clean,1,10,0.798753,1.9869281045751635e-05
clean,1,11,0.507334,1.973856209150327e-05
clean,1,12,1.022092,1.9607843137254903e-05
clean,1,13,0.654172,1.9477124183006536e-05
clean,1,14,0.703285,1.9346405228758173e-05
clean,1,15,0.829448,1.9215686274509807e-05
clean,1,16,0.716127,1.908496732026144e-05
clean,1,17,0.878162,1.8954248366013074e-05
clean,1,18,0.70879,1.8823529411764708e-05
clean,1,19,0.871306,1.869281045751634e-05
clean,1,20,0.809983,1.8562091503267975e-05
clean,1,21,0.86024,1.843137254901961e-05
clean,1,22,0.689196,1.8300653594771242e-05
clean,1,23,0.64984,1.8169934640522876e-05
clean,1,24,0.683135,1.8039215686274513e-05
clean,1,25,0.752871,1.7908496732026146e-05
clean,1,26,0.631416,1.7777777777777777e-05
clean,1,27,0.659657,1.7647058823529414e-05
clean,1,28,0.621764,1.7516339869281047e-05
clean,1,29,0.661297,1.738562091503268e-05
clean,1,30,0.551973,1.7254901960784314e-05
clean,1,31,0.731238,1.7124183006535948e-05
clean,1,32,0.698829,1.6993464052287582e-05
clean,1,33,0.600443,1.686274509803922e-05
clean,1,34,0.675098,1.6732026143790852e-05
clean,1,35,0.509317,1.6601307189542486e-05
clean,1,36,0.509826,1.647058823529412e-05
clean,1,37,0.350491,1.6339869281045753e-05
clean,1,38,0.571836,1.6209150326797387e-05
clean,1,39,0.554742,1.607843137254902e-05
clean,1,40,0.394516,1.5947712418300657e-05
clean,1,41,0.276676,1.5816993464052288e-05
clean,1,42,0.491808,1.568627450980392e-05
clean,1,43,0.387544,1.555555555555556e-05
clean,1,44,0.810425,1.5424836601307192e-05
clean,1,45,0.378237,1.5294117647058822e-05
clean,1,46,0.252634,1.5163398692810458e-05
clean,1,47,0.505575,1.5032679738562093e-05
clean,1,48,0.471597,1.4901960784313726e-05
clean,1,49,0.479717,1.4771241830065362e-05
clean,1,50,0.184897,1.4640522875816994e-05
clean,1,51,0.643572,1.4509803921568629e-05
clean,1,52,0.342416,1.4379084967320263e-05
clean,1,53,0.233083,1.4248366013071896e-05
clean,1,54,0.14928,1.4117647058823532e-05
clean,1,55,0.454441,1.3986928104575163e-05
clean,1,56,0.492956,1.3856209150326799e-05
clean,1,57,0.088044,1.3725490196078432e-05
clean,1,58,0.44485,1.3594771241830068e-05
clean,1,59,0.208214,1.3464052287581701e-05
