phase,epoch,step,loss,lr
clean,1,1,0.837142,3.3333333333333333e-06
clean,1,2,0.955107,6.666666666666667e-06
clean,1,3,0.609118,1e-05
clean,1,4,0.956293,1.3333333333333333e-05
clean,1,5,0.631376,1.6666666666666667e-05
clean,1,6,0.625263,2e-05
clean,1,7,0.437968,1.9803921568627454e-05
clean,1,8,0.607678,1.9607843137254903e-05
clean,1,9,1.031542,1.9411764705882355e-05
clean,1,10,0.78012,1.9215686274509807e-05
clean,1,11,0.507246,1.9019607843137255e-05
clean,1,12,0.750136,1.8823529411764708e-05
clean,1,13,0.642181,1.862745098039216e-05
clean,1,14,0.525644,1.843137254901961e-05
clean,1,15,0.609503,1.823529411764706e-05
clean,1,16,0.348337,1.8039215686274513e-05
clean,1,17,0.812621,1.7843137254901965e-05
clean,1,18,0.646749,1.7647058823529414e-05
clean,1,19,0.61278,1.7450980392156866e-05
clean,1,20,0.598214,1.7254901960784314e-05
clean,1,21,0.689354,1.7058823529411767e-05
clean,1,22,0.906275,1.686274509803922e-05
clean,1,23,0.771108,1.6666666666666667e-05
clean,1,24,0.66519,1.647058823529412e-05
clean,1,25,0.765299,1.627450980392157e-05
clean,1,26,0.6472,1.607843137254902e-05
clean,1,27,0.697706,1.5882352941176473e-05
clean,1,28,0.549548,1.568627450980392e-05
clean,1,29,0.781813,1.5490196078431373e-05
clean,1,30,0.462137,1.5294117647058822e-05
clean,1,31,0.505879,1.5098039215686276e-05
clean,1,32,0.659231,1.4901960784313726e-05
clean,1,33,0.432187,1.4705882352941179e-05
clean,1,34,0.348173,1.4509803921568629e-05
clean,1,35,0.575573,1.431372549019608e-05
clean,1,36,0.712403,1.4117647058823532e-05
clean,1,37,0.5217,1.392156862745098e-05
clean,1,38,0.381497,1.3725490196078432e-05
clean,1,39,0.533258,1.3529411764705885e-05
clean,1,40,0.312894,1.3333333333333333e-05
clean,1,41,0.323035,1.3137254901960785e-05
clean,1,42,0.241916,1.2941176470588238e-05
clean,1,43,0.453923,1.2745098039215686e-05
clean,1,44,0.515641,1.2549019607843138e-05
clean,1,45,0.972468,1.235294117647059e-05
clean,1,46,0.487836,1.215686274509804e-05
clean,1,47,0.533354,1.1960784313725491e-05
clean,1,48,0.159749,1.1764705882352942e-05
clean,1,49,0.247087,1.1568627450980394e-05
clean,1,50,0.237027,1.1372549019607844e-05
clean,1,51,0.322728,1.1176470588235295e-05
clean,1,52,0.189214,1.0980392156862747e-05
clean,1,53,0.210789,1.0784313725490196e-05
clean,1,54,0.195543,1.0588235294117648e-05
clean,2,55,0.228031,1.03921568627451e-05
clean,2,56,0.143953,1.0196078431372549e-05
clean,2,57,0.391511,1e-05
clean,2,58,0.311998,9.803921568627451e-06
clean,2,59,0.390456,9.607843137254903e-06
clean,2,60,0.423203,9.411764705882354e-06
clean,2,61,0.31171,9.215686274509804e-06
clean,2,62,0.212528,9.019607843137256e-06
clean,2,63,0.209908,8.823529411764707e-06
clean,2,64,0.416996,8.627450980392157e-06
clean,2,65,0.104556,8.43137254901961e-06
clean,2,66,0.498988,8.23529411764706e-06
clean,2,67,0.060407,8.03921568627451e-06
clean,2,68,0.382955,7.84313725490196e-06
clean,2,69,0.272196,7.647058823529411e-06
clean,2,70,0.333499,7.450980392156863e-06
clean,2,71,0.112471,7.2549019607843145e-06
clean,2,72,0.130567,7.058823529411766e-06
clean,2,73,0.090424,6.862745098039216e-06
clean,2,74,0.088351,6.666666666666667e-06
clean,2,75,0.344043,6.470588235294119e-06
clean,2,76,0.449881,6.274509803921569e-06
clean,2,77,0.299508,6.07843137254902e-06
clean,2,78,0.062752,5.882352941176471e-06
clean,2,79,0.164199,5.686274509803922e-06
clean,2,80,0.596444,5.4901960784313735e-06
clean,2,81,0.123192,5.294117647058824e-06
clean,2,82,0.497987,5.098039215686274e-06
clean,2,83,0.29175,4.901960784313726e-06
clean,2,84,0.070034,4.705882352941177e-06
clean,2,85,0.06174,4.509803921568628e-06
clean,2,86,0.085991,4.313725490196079e-06
clean,2,87,0.364832,4.11764705882353e-06
clean,2,88,0.176369,3.92156862745098e-06
clean,2,89,0.058798,3.7254901960784316e-06
clean,2,90,0.110287,3.529411764705883e-06
clean,2,91,0.140266,3.3333333333333333e-06
clean,2,92,0.108386,3.1372549019607846e-06
clean,2,93,0.099435,2.9411764705882355e-06
clean,2,94,0.07227,2.7450980392156867e-06
clean,2,95,0.098047,2.549019607843137e-06
clean,2,96,0.07557,2.3529411764705885e-06
clean,2,97,0.043992,2.1568627450980393e-06
clean,2,98,0.284696,1.96078431372549e-06
clean,2,99,0.147124,1.7647058823529414e-06
clean,2,100,0.36271,1.5686274509803923e-06
clean,2,101,0.104157,1.3725490196078434e-06
clean,2,102,0.055374,1.1764705882352942e-06
clean,2,103,0.134565,9.80392156862745e-07
clean,2,104,0.055879,7.843137254901962e-07
clean,2,105,0.473524,5.882352941176471e-07
clean,2,106,0.458797,3.921568627450981e-07
clean,2,107,0.425959,1.9607843137254904e-07
clean,2,108,0.029989,0.0
diverse,1,109,0.719997,1.5384615384615387e-06
diverse,1,110,0.396066,3.0769230769230774e-06
diverse,1,111,0.566038,4.615384615384616e-06
