phase,epoch,step,loss,lr
full,1,1,0.635098,3.125e-07
full,1,2,0.699593,6.25e-07
full,1,3,0.573873,9.375000000000001e-07
full,1,4,0.630539,1.25e-06
full,1,5,0.731104,1.5625e-06
full,1,6,0.789576,1.8750000000000003e-06
full,1,7,0.680224,2.1875000000000002e-06
full,1,8,0.755241,2.5e-06
full,1,9,0.742375,2.8125e-06
full,1,10,0.706851,3.125e-06
full,1,11,0.668008,3.4375e-06
full,1,12,0.79948,3.7500000000000005e-06
full,1,13,0.638947,4.0625000000000005e-06
full,1,14,0.721936,4.3750000000000005e-06
full,1,15,0.716304,4.6875000000000004e-06
full,1,16,0.681289,5e-06
full,1,17,0.770093,5.3125e-06
full,1,18,0.716385,5.625e-06
full,1,19,0.648252,5.9375e-06
full,1,20,0.711378,6.25e-06
full,1,21,0.673674,6.5625e-06
full,1,22,0.718826,6.875e-06
full,1,23,0.555427,7.1875e-06
full,1,24,0.672686,7.500000000000001e-06
full,1,25,0.653917,7.8125e-06
full,1,26,0.598019,8.125000000000001e-06
full,1,27,0.669207,8.4375e-06
full,1,28,0.726363,8.750000000000001e-06
full,1,29,0.731582,9.0625e-06
full,1,30,0.627143,9.375000000000001e-06
full,1,31,0.643794,9.6875e-06
full,1,32,0.717954,1e-05
full,1,33,0.609141,1.0312500000000002e-05
full,1,34,0.633228,1.0625e-05
full,1,35,0.616658,1.0937500000000002e-05
full,1,36,0.68925,1.125e-05
full,1,37,0.557517,1.1562500000000002e-05
full,1,38,0.773851,1.1875e-05
full,1,39,0.706016,1.2187500000000001e-05
full,1,40,0.675481,1.25e-05
full,1,41,0.683694,1.2812500000000001e-05
full,1,42,0.762708,1.3125e-05
full,1,43,0.631211,1.3437500000000001e-05
full,1,44,0.650123,1.375e-05
full,1,45,0.747876,1.4062500000000001e-05
full,1,46,0.679852,1.4375e-05
full,1,47,0.700807,1.4687500000000001e-05
full,1,48,0.66547,1.5000000000000002e-05
full,1,49,0.59866,1.5312500000000003e-05
full,1,50,0.672741,1.5625e-05
full,1,51,0.724953,1.59375e-05
full,1,52,0.65862,1.6250000000000002e-05
full,1,53,0.656496,1.6562500000000003e-05
full,1,54,0.63783,1.6875e-05
full,1,55,0.642937,1.71875e-05
full,1,56,0.694253,1.7500000000000002e-05
full,1,57,0.64907,1.7812500000000003e-05
full,1,58,0.60369,1.8125e-05
full,1,59,0.62572,1.84375e-05
full,1,60,0.59432,1.8750000000000002e-05
full,1,61,0.536944,1.9062500000000003e-05
full,1,62,0.534727,1.9375e-05
full,1,63,0.577298,1.96875e-05
full,1,64,0.369027,2e-05
full,1,65,0.364119,1.9980079681274903e-05
full,1,66,0.335643,1.9960159362549804e-05
full,1,67,0.332804,1.99402390438247e-05
full,1,68,0.45235,1.9920318725099602e-05
full,1,69,0.387769,1.9900398406374503e-05
full,1,70,0.437876,1.9880478087649404e-05
full,1,71,0.238793,1.9860557768924305e-05
full,1,72,0.300025,1.9840637450199206e-05
full,1,73,0.35106,1.9820717131474104e-05
full,1,74,0.370358,1.9800796812749005e-05
full,1,75,0.439748,1.9780876494023906e-05
full,1,76,0.34908,1.9760956175298807e-05
full,1,77,0.612308,1.9741035856573708e-05
full,1,78,0.24241,1.9721115537848606e-05
full,1,79,0.451748,1.9701195219123507e-05
full,1,80,0.226243,1.9681274900398408e-05
full,1,81,0.392628,1.966135458167331e-05
full,1,82,0.36572,1.964143426294821e-05
full,1,83,0.397945,1.962151394422311e-05
full,1,84,0.193505,1.960159362549801e-05
full,1,85,0.382571,1.958167330677291e-05
full,1,86,0.585007,1.956175298804781e-05
full,1,87,0.338183,1.954183266932271e-05
full,1,88,0.387301,1.9521912350597613e-05
