mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
is,micro_f1,0.906280,0.007073,0.901221,0.911340,10
is,macro_f1,0.892044,0.008544,0.885932,0.898156,10
is,accuracy,0.906280,0.007073,0.901221,0.911340,10
is,hard_slice_macro_f1,0.694162,0.026944,0.674888,0.713437,10
cl,micro_f1,0.902887,0.011245,0.894843,0.910931,10
cl,macro_f1,0.889551,0.012753,0.880428,0.898674,10
cl,accuracy,0.902887,0.011245,0.894843,0.910931,10
cl,hard_slice_macro_f1,0.660846,0.036040,0.635064,0.686628,10
is_cl,micro_f1,0.903169,0.009366,0.896469,0.909869,10
is_cl,macro_f1,0.889895,0.010441,0.882426,0.897365,10
is_cl,accuracy,0.903169,0.009366,0.896469,0.909869,10
is_cl,hard_slice_macro_f1,0.678169,0.040718,0.649041,0.707297,10
