phase,epoch,step,loss,lr
full,1,1,0.615493,2.0833333333333333e-07
full,1,2,0.671708,4.1666666666666667e-07
full,1,3,0.708339,6.25e-07
full,1,4,0.7275,8.333333333333333e-07
full,1,5,0.85308,1.0416666666666667e-06
full,1,6,0.622524,1.25e-06
full,1,7,0.712644,1.4583333333333335e-06
full,1,8,0.781402,1.6666666666666667e-06
full,1,9,0.710995,1.8750000000000003e-06
full,1,10,0.690445,2.0833333333333334e-06
full,1,11,0.659296,2.2916666666666666e-06
full,1,12,0.694806,2.5e-06
full,1,13,0.689087,2.7083333333333334e-06
full,1,14,0.621946,2.916666666666667e-06
full,1,15,0.662883,3.125e-06
full,1,16,0.772336,3.3333333333333333e-06
full,1,17,0.719018,3.5416666666666673e-06
full,1,18,0.640604,3.7500000000000005e-06
full,1,19,0.725906,3.958333333333333e-06
full,1,20,0.761095,4.166666666666667e-06
full,1,21,0.806829,4.3750000000000005e-06
full,1,22,0.735377,4.583333333333333e-06
full,1,23,0.67576,4.791666666666668e-06
full,1,24,0.688767,5e-06
full,1,25,0.614301,5.208333333333334e-06
full,1,26,0.71964,5.416666666666667e-06
full,1,27,0.588656,5.625e-06
full,1,28,0.797968,5.833333333333334e-06
full,1,29,0.679997,6.041666666666667e-06
full,1,30,0.6716,6.25e-06
full,1,31,0.767252,6.458333333333334e-06
full,1,32,0.731655,6.666666666666667e-06
full,1,33,0.787444,6.875e-06
full,1,34,0.757249,7.083333333333335e-06
full,1,35,0.709911,7.291666666666667e-06
full,1,36,0.778359,7.500000000000001e-06
full,1,37,0.739137,7.708333333333334e-06
full,1,38,0.734355,7.916666666666667e-06
full,1,39,0.687165,8.125000000000001e-06
full,1,40,0.771793,8.333333333333334e-06
full,1,41,0.68693,8.541666666666666e-06
full,1,42,0.684861,8.750000000000001e-06
full,1,43,0.73859,8.958333333333334e-06
full,1,44,0.723317,9.166666666666666e-06
full,1,45,0.769474,9.375000000000001e-06
full,1,46,0.693139,9.583333333333335e-06
full,1,47,0.719599,9.791666666666666e-06
full,1,48,0.747433,1e-05
full,1,49,0.682397,1.0208333333333334e-05
full,1,50,0.723254,1.0416666666666668e-05
full,1,51,0.697634,1.0625e-05
full,1,52,0.699255,1.0833333333333334e-05
full,1,53,0.705885,1.1041666666666668e-05
full,1,54,0.664476,1.125e-05
full,1,55,0.66029,1.1458333333333333e-05
full,1,56,0.65787,1.1666666666666668e-05
full,1,57,0.69461,1.1875e-05
full,1,58,0.720966,1.2083333333333333e-05
full,1,59,0.649545,1.2291666666666668e-05
full,1,60,0.659963,1.25e-05
full,1,61,0.635072,1.2708333333333333e-05
full,1,62,0.628367,1.2916666666666668e-05
full,1,63,0.53199,1.3125e-05
full,1,64,0.620125,1.3333333333333333e-05
full,1,65,0.562133,1.3541666666666668e-05
full,1,66,0.595609,1.375e-05
full,1,67,0.726965,1.3958333333333333e-05
full,1,68,0.586435,1.416666666666667e-05
full,1,69,0.562057,1.4375e-05
full,1,70,0.470911,1.4583333333333333e-05
full,1,71,0.413693,1.479166666666667e-05
full,1,72,0.424115,1.5000000000000002e-05
full,1,73,0.412092,1.5208333333333333e-05
full,1,74,0.292955,1.5416666666666668e-05
full,1,75,0.321065,1.5625e-05
full,1,76,0.554622,1.5833333333333333e-05
full,1,77,0.617881,1.604166666666667e-05
full,1,78,0.495163,1.6250000000000002e-05
