mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
raw,micro_f1,0.907507,0.007712,0.901990,0.913024,10
raw,macro_f1,0.891850,0.009162,0.885296,0.898404,10
raw,f1_weighted,0.907297,0.007781,0.901730,0.912863,10
raw,accuracy,0.907507,0.007712,0.901990,0.913024,10
raw,hard_slice_macro_f1,0.727697,0.037151,0.701121,0.754272,10
raw,avg_seq_len,5.830671,0.009910,5.823582,5.837760,10
raw,compute_proxy,9410.703602,15.994542,9399.261797,9422.145408,10
raw,best_val_macro_f1,0.896914,0.010119,0.889675,0.904152,10
raw,steps_to_best_val,968.400000,363.122324,708.637938,1228.162062,10
is,micro_f1,0.905904,0.010196,0.898610,0.913197,10
is,macro_f1,0.890376,0.012366,0.881529,0.899222,10
is,f1_weighted,0.905862,0.010402,0.898421,0.913303,10
is,accuracy,0.905904,0.010196,0.898610,0.913197,10
is,hard_slice_macro_f1,0.721896,0.036414,0.695847,0.747944,10
is,avg_seq_len,5.831604,0.022458,5.815538,5.847670,10
is,compute_proxy,6228.153033,23.985259,6210.995012,6245.311054,10
is,best_val_macro_f1,0.893875,0.008341,0.887908,0.899841,10
is,steps_to_best_val,605.200000,337.731254,363.601615,846.798385,10
cl,micro_f1,0.902793,0.011138,0.894826,0.910761,10
cl,macro_f1,0.888012,0.013169,0.878591,0.897432,10
cl,f1_weighted,0.903280,0.011222,0.895252,0.911308,10
cl,accuracy,0.902793,0.011138,0.894826,0.910761,10
cl,hard_slice_macro_f1,0.682688,0.031929,0.659847,0.705528,10
cl,avg_seq_len,5.820986,0.011058,5.813075,5.828896,10
cl,compute_proxy,5825.634054,14.068108,5815.570336,5835.697773,10
cl,best_val_macro_f1,0.890368,0.007380,0.885089,0.895647,10
cl,steps_to_best_val,882.300000,223.117333,722.691475,1041.908525,10
is_cl,micro_f1,0.905714,0.009332,0.899039,0.912389,10
is_cl,macro_f1,0.891429,0.011133,0.883465,0.899394,10
is_cl,f1_weighted,0.906206,0.009440,0.899453,0.912959,10
is_cl,accuracy,0.905714,0.009332,0.899039,0.912389,10
is_cl,hard_slice_macro_f1,0.703108,0.043228,0.672184,0.734032,10
is_cl,avg_seq_len,5.805187,0.026957,5.785903,5.824471,10
is_cl,compute_proxy,3865.077897,17.968569,3852.223957,3877.931837,10
is_cl,best_val_macro_f1,0.890693,0.010856,0.882927,0.898459,10
is_cl,steps_to_best_val,632.000000,71.704641,580.705590,683.294410,10
b1,micro_f1,0.911560,0.007397,0.906269,0.916852,10
b1,macro_f1,0.898457,0.008182,0.892604,0.904310,10
b1,f1_weighted,0.912150,0.007214,0.906989,0.917310,10
b1,accuracy,0.911560,0.007397,0.906269,0.916852,10
b1,hard_slice_macro_f1,0.705249,0.030734,0.683264,0.727235,10
b1,avg_seq_len,5.806689,0.009729,5.799730,5.813649,10
b1,compute_proxy,5946.049935,9.962651,5938.923084,5953.176785,10
b1,best_val_macro_f1,0.891812,0.009335,0.885134,0.898490,10
b1,steps_to_best_val,943.300000,129.939345,850.346992,1036.253008,10
