mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.902793,0.011138,0.894826,0.910761,10
cl,macro_f1,0.888012,0.013169,0.878591,0.897432,10
cl,f1_weighted,0.903280,0.011222,0.895252,0.911308,10
cl,accuracy,0.902793,0.011138,0.894826,0.910761,10
cl,hard_slice_macro_f1,0.682688,0.031929,0.659847,0.705528,10
cl,avg_seq_len,5.820986,0.011058,5.813075,5.828896,10
cl,compute_proxy,5825.634054,14.068108,5815.570336,5835.697773,10
cl,best_val_macro_f1,0.890368,0.007380,0.885089,0.895647,10
cl,steps_to_best_val,882.300000,223.117333,722.691475,1041.908525,10
is_cl,micro_f1,0.905714,0.009332,0.899039,0.912389,10
is_cl,macro_f1,0.891429,0.011133,0.883465,0.899394,10
is_cl,f1_weighted,0.906206,0.009440,0.899453,0.912959,10
is_cl,accuracy,0.905714,0.009332,0.899039,0.912389,10
is_cl,hard_slice_macro_f1,0.703108,0.043228,0.672184,0.734032,10
is_cl,avg_seq_len,5.805187,0.026957,5.785903,5.824471,10
is_cl,compute_proxy,3865.077897,17.968569,3852.223957,3877.931837,10
is_cl,best_val_macro_f1,0.890693,0.010856,0.882927,0.898459,10
is_cl,steps_to_best_val,632.000000,71.704641,580.705590,683.294410,10
