phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,1060,256,18.09305975958705,0.27457313891500235,0.9018867924528302,0.8867074454091028,0.9022780127374623,0.9018867924528302,0.8,0.6874692874692875,5.875307427447122,1504.0787014264633,0.8373648014484347,2.0,256.0
step_02,1060,656,14.926401455886662,0.2736491272225976,0.9160377358490566,0.9047431528461441,0.9170588899287719,0.9160377358490566,0.8,0.7211956400597375,5.8154037743078835,3814.9048759459715,0.8692971717361961,2.0,656.0
step_03,1060,1132,17.252965928055346,0.2728119483217597,0.9198113207547169,0.9081990196348134,0.9204581598091413,0.9198113207547169,0.8,0.7684506163207989,5.818327974276527,6586.347266881028,0.8817734861346915,2.0,1132.0
step_04,1060,1670,19.390371330082417,0.26953308656811714,0.9169811320754717,0.9038287062239159,0.9171824447160567,0.9169811320754717,0.8,0.7301214257735997,5.821360171241879,9721.671485973937,0.8817734861346915,2.0,1132.0
step_05,1060,2208,19.37921141460538,0.26999341044574976,0.9141509433962264,0.8998129412265696,0.9140436765470769,0.9141509433962264,0.8,0.7272259392691713,5.8229131175468485,12856.992163543442,0.8817734861346915,2.0,1132.0
step_06,1060,2746,19.747260210104287,0.27124099154025316,0.9150943396226415,0.9014833265177145,0.9152325224968032,0.9150943396226415,0.8,0.7388390657337144,5.823857022209034,15992.311382986007,0.8817734861346915,2.0,1132.0
step_07,1060,3284,19.571866909973323,0.27397176902741194,0.910377358490566,0.8959253804614629,0.910487120349015,0.910377358490566,0.8,0.7304856343757946,5.824491431624748,19127.629861455673,0.8836271713767176,1.0,3015.0
step_08,1060,3822,19.58446092531085,0.2729046242311597,0.9037735849056604,0.8850296039199673,0.902459754462738,0.9037735849056604,0.8,0.6718027734976888,5.824947125079928,22262.947912055482,0.8840463942230885,1.0,3553.0
step_09,1060,4360,19.55253196042031,0.27076477091759443,0.9141509433962264,0.8998129412265696,0.9140436765470769,0.9141509433962264,0.8,0.7402861567621293,5.8252902966199125,25398.26569326282,0.8840463942230885,1.0,3553.0
step_10,1060,4898,19.827968638390303,0.27035980205982924,0.9179245283018868,0.9042167679858413,0.9178219764790736,0.9179245283018868,0.8,0.7806567701304543,5.825558042852574,28533.58329389191,0.8840463942230885,1.0,3553.0
