mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.906377,0.010377,0.898954,0.913800,10
cl,macro_f1,0.890868,0.011962,0.882311,0.899425,10
cl,f1_weighted,0.906312,0.010326,0.898925,0.913699,10
cl,accuracy,0.906377,0.010377,0.898954,0.913800,10
cl,hard_slice_macro_f1,0.734829,0.030848,0.712762,0.756896,10
cl,avg_seq_len,5.827078,0.010162,5.819809,5.834348,10
cl,compute_proxy,28500.214892,43.222990,28469.295028,28531.134757,10
cl,best_val_macro_f1,0.897319,0.009556,0.890483,0.904156,10
cl,steps_to_best_val,3115.600000,1144.102967,2297.158041,3934.041959,10
is_cl,micro_f1,0.903076,0.009371,0.896372,0.909779,10
is_cl,macro_f1,0.887102,0.010780,0.879390,0.894813,10
is_cl,f1_weighted,0.903037,0.009309,0.896378,0.909697,10
is_cl,accuracy,0.903076,0.009371,0.896372,0.909779,10
is_cl,hard_slice_macro_f1,0.713528,0.027292,0.694005,0.733052,10
is_cl,avg_seq_len,5.828580,0.024149,5.811305,5.845855,10
is_cl,compute_proxy,18602.491781,79.993124,18545.268147,18659.715415,10
is_cl,best_val_macro_f1,0.894560,0.008088,0.888774,0.900345,10
is_cl,steps_to_best_val,1752.500000,828.917266,1159.528310,2345.471690,10
