event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,full,1,1,3.131024,1.886792452830189e-07,,,,,219.8125,219.8125
train_step,full,1,2,2.722189,3.773584905660378e-07,,,,,220.59375,441.1875
train_step,full,1,3,4.645486,5.660377358490567e-07,,,,,219.16666666666666,657.5
train_step,full,1,4,2.646327,7.547169811320755e-07,,,,,218.84375,875.375
train_step,full,1,5,3.712397,9.433962264150944e-07,,,,,218.41875,1092.09375
train_step,full,1,6,4.231215,1.1320754716981133e-06,,,,,217.90104166666666,1307.40625
train_step,full,1,7,2.797959,1.3207547169811322e-06,,,,,219.05803571428572,1533.40625
train_step,full,1,8,2.84728,1.509433962264151e-06,,,,,219.26171875,1754.09375
train_step,full,1,9,3.508967,1.6981132075471698e-06,,,,,216.38541666666666,1947.46875
train_step,full,1,10,2.721313,1.8867924528301889e-06,,,,,217.153125,2171.53125
train_step,full,1,11,3.14834,2.075471698113208e-06,,,,,217.3125,2390.4375
train_step,full,1,12,2.536896,2.2641509433962266e-06,,,,,218.45572916666666,2621.46875
train_step,full,1,13,2.850213,2.4528301886792453e-06,,,,,218.56009615384616,2841.28125
train_step,full,1,14,3.05092,2.6415094339622644e-06,,,,,218.46875,3058.5625
train_step,full,1,15,2.807001,2.830188679245283e-06,,,,,218.33125,3274.96875
train_step,full,1,16,2.69389,3.018867924528302e-06,,,,,218.86328125,3501.8125
train_step,full,1,17,3.576348,3.207547169811321e-06,,,,,219.34742647058823,3728.90625
train_step,full,1,18,2.436616,3.3962264150943395e-06,,,,,218.63541666666666,3935.4375
train_step,full,1,19,4.087056,3.5849056603773586e-06,,,,,218.55263157894737,4152.5
train_step,full,1,20,2.739565,3.7735849056603777e-06,,,,,219.471875,4389.4375
train_step,full,1,21,3.047532,3.962264150943396e-06,,,,,219.02380952380952,4599.5
train_step,full,1,22,2.976385,4.150943396226416e-06,,,,,218.3963068181818,4804.71875
train_step,full,1,23,2.979757,4.339622641509435e-06,,,,,218.03396739130434,5014.78125
train_step,full,1,24,3.022211,4.528301886792453e-06,,,,,217.75,5226.0
train_step,full,1,25,2.847814,4.716981132075472e-06,,,,,218.11875,5452.96875
train_step,full,1,26,3.521371,4.905660377358491e-06,,,,,217.59615384615384,5657.5
train_step,full,1,27,2.869327,5.09433962264151e-06,,,,,217.73032407407408,5878.71875
train_step,full,1,28,3.257136,5.283018867924529e-06,,,,,216.97879464285714,6075.40625
train_step,full,1,29,2.789657,5.4716981132075475e-06,,,,,217.27155172413794,6300.875
train_step,full,1,30,2.459958,5.660377358490566e-06,,,,,217.73958333333334,6532.1875
train_step,full,1,31,3.733305,5.849056603773585e-06,,,,,217.81854838709677,6752.375
train_step,full,1,32,3.454139,6.037735849056604e-06,,,,,217.6123046875,6963.59375
train_step,full,1,33,3.201616,6.226415094339623e-06,,,,,217.1969696969697,7167.5
train_step,full,1,34,4.983119,6.415094339622642e-06,,,,,217.80514705882354,7405.375
train_step,full,1,35,2.864957,6.60377358490566e-06,,,,,217.99107142857142,7629.6875
train_step,full,1,36,3.194699,6.792452830188679e-06,,,,,218.13368055555554,7852.8125
train_step,full,1,37,3.351502,6.981132075471699e-06,,,,,218.4535472972973,8082.78125
train_step,full,1,38,2.559802,7.169811320754717e-06,,,,,218.39802631578948,8299.125
train_step,full,1,39,3.043809,7.358490566037736e-06,,,,,218.14102564102564,8507.5
train_step,full,1,40,2.822106,7.5471698113207555e-06,,,,,217.875,8715.0
train_step,full,1,41,3.272763,7.735849056603775e-06,,,,,217.9420731707317,8935.625
train_step,full,1,42,2.977206,7.924528301886793e-06,,,,,217.5297619047619,9136.25
train_step,full,1,43,3.179597,8.113207547169812e-06,,,,,217.26598837209303,9342.4375
train_step,full,1,44,3.333859,8.301886792452832e-06,,,,,217.30539772727272,9561.4375
train_step,full,1,45,2.359762,8.49056603773585e-06,,,,,217.42430555555555,9784.09375
train_step,full,1,46,2.886955,8.67924528301887e-06,,,,,217.86209239130434,10021.65625
train_step,full,1,47,3.802587,8.867924528301887e-06,,,,,217.70545212765958,10232.15625
train_step,full,1,48,3.335807,9.056603773584907e-06,,,,,217.541015625,10441.96875
train_step,full,1,49,2.966735,9.245283018867926e-06,,,,,217.26466836734693,10645.96875
train_step,full,1,50,2.780032,9.433962264150944e-06,,,,,217.32875,10866.4375
train_step,full,1,51,2.881371,9.622641509433963e-06,,,,,217.1746323529412,11075.90625
train_step,full,1,52,3.280891,9.811320754716981e-06,,,,,217.27644230769232,11298.375
train_step,full,1,53,3.202744,1e-05,,,,,217.10790094339623,11506.71875
train_step,full,1,54,3.708524,1.018867924528302e-05,,,,,217.18923611111111,11728.21875
train_step,full,1,55,2.781105,1.0377358490566038e-05,,,,,217.10340909090908,11940.6875
train_step,full,1,56,3.440231,1.0566037735849058e-05,,,,,217.19810267857142,12163.09375
train_step,full,1,57,3.191636,1.0754716981132076e-05,,,,,217.15844298245614,12378.03125
train_step,full,1,58,3.003717,1.0943396226415095e-05,,,,,217.09644396551724,12591.59375
train_step,full,1,59,3.295859,1.1132075471698115e-05,,,,,217.02648305084745,12804.5625
train_step,full,1,60,3.062045,1.1320754716981132e-05,,,,,217.02864583333334,13021.71875
train_step,full,1,61,3.758266,1.1509433962264152e-05,,,,,216.88985655737704,13230.28125
train_step,full,1,62,3.135142,1.169811320754717e-05,,,,,216.9289314516129,13449.59375
train_step,full,1,63,3.338172,1.188679245283019e-05,,,,,216.95882936507937,13668.40625
train_step,full,1,64,3.004409,1.2075471698113209e-05,,,,,216.68212890625,13867.65625
train_step,full,1,65,3.602443,1.2264150943396227e-05,,,,,216.7735576923077,14090.28125
train_step,full,1,66,3.7823,1.2452830188679246e-05,,,,,216.65625,14299.3125
train_step,full,1,67,2.834663,1.2641509433962264e-05,,,,,216.91044776119404,14533.0
train_step,full,1,68,2.935226,1.2830188679245283e-05,,,,,217.03033088235293,14758.0625
train_step,full,1,69,5.256127,1.3018867924528303e-05,,,,,217.0058876811594,14973.40625
train_step,full,1,70,3.069951,1.320754716981132e-05,,,,,216.88348214285713,15181.84375
train_step,full,1,71,2.711942,1.339622641509434e-05,,,,,216.8956866197183,15399.59375
train_step,full,1,72,2.529126,1.3584905660377358e-05,,,,,216.88671875,15615.84375
