event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,full,1,1,2.653573,1.197604790419162e-07,,,,,227.65625,227.65625
train_step,full,1,2,3.27108,2.395209580838324e-07,,,,,228.25,456.5
train_step,full,1,3,2.564318,3.592814371257485e-07,,,,,231.16666666666666,693.5
train_step,full,1,4,2.844777,4.790419161676648e-07,,,,,225.140625,900.5625
train_step,full,1,5,3.714354,5.988023952095809e-07,,,,,223.18125,1115.90625
train_step,full,1,6,2.719445,7.18562874251497e-07,,,,,225.16145833333334,1350.96875
train_step,full,1,7,3.111452,8.383233532934132e-07,,,,,225.0625,1575.4375
train_step,full,1,8,2.551744,9.580838323353295e-07,,,,,225.859375,1806.875
train_step,full,1,9,3.376609,1.0778443113772456e-06,,,,,225.20833333333334,2026.875
train_step,full,1,10,2.898886,1.1976047904191619e-06,,,,,224.928125,2249.28125
train_step,full,1,11,2.743378,1.3173652694610781e-06,,,,,224.6221590909091,2470.84375
train_step,full,1,12,2.628108,1.437125748502994e-06,,,,,224.19791666666666,2690.375
train_step,full,1,13,3.787917,1.5568862275449105e-06,,,,,223.53605769230768,2905.96875
train_step,full,1,14,3.209282,1.6766467065868263e-06,,,,,223.42410714285714,3127.9375
train_step,full,1,15,4.417854,1.7964071856287426e-06,,,,,222.625,3339.375
train_step,full,1,16,3.924315,1.916167664670659e-06,,,,,222.447265625,3559.15625
train_step,full,1,17,3.765738,2.035928143712575e-06,,,,,222.3952205882353,3780.71875
train_step,full,1,18,3.138721,2.155688622754491e-06,,,,,222.90277777777777,4012.25
train_step,full,1,19,2.723454,2.2754491017964075e-06,,,,,222.66118421052633,4230.5625
train_step,full,1,20,2.999571,2.3952095808383237e-06,,,,,222.5625,4451.25
train_step,full,1,21,4.671807,2.5149700598802396e-06,,,,,222.59970238095238,4674.59375
train_step,full,1,22,2.426351,2.6347305389221563e-06,,,,,223.1690340909091,4909.71875
train_step,full,1,23,2.161103,2.754491017964072e-06,,,,,222.3138586956522,5113.21875
train_step,full,1,24,4.051131,2.874251497005988e-06,,,,,221.88541666666666,5325.25
train_step,full,1,25,2.917789,2.9940119760479042e-06,,,,,222.06125,5551.53125
train_step,full,1,26,3.484553,3.113772455089821e-06,,,,,221.5060096153846,5759.15625
train_step,full,1,27,2.60715,3.2335329341317368e-06,,,,,221.09259259259258,5969.5
train_step,full,1,28,3.198928,3.3532934131736526e-06,,,,,220.93191964285714,6186.09375
train_step,full,1,29,3.098537,3.4730538922155693e-06,,,,,220.42133620689654,6392.21875
train_step,full,1,30,2.401692,3.592814371257485e-06,,,,,220.31875,6609.5625
train_step,full,1,31,2.755175,3.7125748502994014e-06,,,,,220.38810483870967,6832.03125
train_step,full,1,32,2.609946,3.832335329341318e-06,,,,,220.2001953125,7046.40625
train_step,full,1,33,2.704029,3.952095808383234e-06,,,,,220.5748106060606,7278.96875
train_step,full,1,34,3.311074,4.07185628742515e-06,,,,,220.56985294117646,7499.375
train_step,full,1,35,2.604443,4.191616766467066e-06,,,,,220.81428571428572,7728.5
train_step,full,1,36,4.037669,4.311377245508982e-06,,,,,220.69010416666666,7944.84375
train_step,full,1,37,4.15618,4.431137724550898e-06,,,,,220.2964527027027,8150.96875
train_step,full,1,38,2.428311,4.550898203592815e-06,,,,,220.36266447368422,8373.78125
train_step,full,1,39,3.613714,4.670658682634731e-06,,,,,220.68509615384616,8606.71875
train_step,full,1,40,2.964938,4.7904191616766475e-06,,,,,220.51328125,8820.53125
train_step,full,1,41,4.714746,4.910179640718563e-06,,,,,220.52896341463415,9041.6875
train_step,full,1,42,4.400511,5.029940119760479e-06,,,,,220.68303571428572,9268.6875
train_step,full,1,43,3.107444,5.149700598802395e-06,,,,,220.56758720930233,9484.40625
train_step,full,1,44,4.139906,5.2694610778443125e-06,,,,,220.7265625,9711.96875
train_step,full,1,45,3.290829,5.389221556886228e-06,,,,,221.1784722222222,9953.03125
train_step,full,1,46,3.075174,5.508982035928144e-06,,,,,220.78396739130434,10156.0625
train_step,full,1,47,4.924181,5.62874251497006e-06,,,,,220.72938829787233,10374.28125
train_step,full,1,48,3.337671,5.748502994011976e-06,,,,,220.87630208333334,10602.0625
train_step,full,1,49,2.436127,5.868263473053893e-06,,,,,220.76020408163265,10817.25
train_step,full,1,50,3.608187,5.9880239520958085e-06,,,,,220.49375,11024.6875
train_step,full,1,51,3.545933,6.107784431137725e-06,,,,,220.37071078431373,11238.90625
train_step,full,1,52,2.819161,6.227544910179642e-06,,,,,220.49519230769232,11465.75
train_step,full,1,53,2.669192,6.347305389221558e-06,,,,,220.47051886792454,11684.9375
train_step,full,1,54,2.836379,6.4670658682634736e-06,,,,,220.24189814814815,11893.0625
train_step,full,1,55,3.243983,6.586826347305389e-06,,,,,220.14261363636365,12107.84375
train_step,full,1,56,3.184162,6.706586826347305e-06,,,,,220.171875,12329.625
train_step,full,1,57,2.228329,6.826347305389223e-06,,,,,220.36184210526315,12560.625
train_step,full,1,58,2.907799,6.946107784431139e-06,,,,,220.4488146551724,12786.03125
train_step,full,1,59,3.460826,7.0658682634730545e-06,,,,,220.60063559322035,13015.4375
train_step,full,1,60,2.881105,7.18562874251497e-06,,,,,220.79166666666666,13247.5
train_step,full,1,61,3.707285,7.305389221556887e-06,,,,,220.70696721311475,13463.125
train_step,full,1,62,3.485379,7.425149700598803e-06,,,,,220.72530241935485,13684.96875
train_step,full,1,63,3.166404,7.544910179640719e-06,,,,,220.48958333333334,13890.84375
train_step,full,1,64,3.368012,7.664670658682636e-06,,,,,220.67578125,14123.25
train_step,full,1,65,4.273579,7.784431137724551e-06,,,,,220.52980769230768,14334.4375
train_step,full,1,66,2.710073,7.904191616766468e-06,,,,,220.40767045454547,14546.90625
train_step,full,1,67,2.725527,8.023952095808385e-06,,,,,220.4715485074627,14771.59375
train_step,full,1,68,3.550629,8.1437125748503e-06,,,,,220.40441176470588,14987.5
train_step,full,1,69,2.684752,8.263473053892216e-06,,,,,220.15625,15190.78125
train_step,full,1,70,3.256414,8.383233532934131e-06,,,,,220.30669642857143,15421.46875
train_step,full,1,71,3.111275,8.50299401197605e-06,,,,,220.40977112676057,15649.09375
train_step,full,1,72,3.499911,8.622754491017965e-06,,,,,220.26692708333334,15859.21875
train_step,full,1,73,4.57302,8.742514970059881e-06,,,,,220.1339897260274,16069.78125
train_step,full,1,74,4.112582,8.862275449101796e-06,,,,,220.2174831081081,16296.09375
train_step,full,1,75,3.325931,8.982035928143713e-06,,,,,220.12833333333333,16509.625
train_step,full,1,76,2.697231,9.10179640718563e-06,,,,,219.8268914473684,16706.84375
train_step,full,1,77,6.269376,9.221556886227547e-06,,,,,219.4383116883117,16896.75
train_step,full,1,78,3.736175,9.341317365269462e-06,,,,,219.50560897435898,17121.4375
train_step,full,1,79,3.393426,9.461077844311378e-06,,,,,219.29707278481013,17324.46875
train_step,full,1,80,2.28497,9.580838323353295e-06,,,,,219.299609375,17543.96875
train_step,full,1,81,4.159357,9.70059880239521e-06,,,,,219.30902777777777,17764.03125
train_step,full,1,82,4.162335,9.820359281437127e-06,,,,,219.1497713414634,17970.28125
train_step,full,1,83,3.105456,9.940119760479042e-06,,,,,219.13968373493975,18188.59375
train_step,full,1,84,2.374879,1.0059880239520958e-05,,,,,219.20833333333334,18413.5
train_step,full,1,85,2.352179,1.0179640718562875e-05,,,,,219.2547794117647,18636.65625
train_step,full,1,86,3.467987,1.029940119760479e-05,,,,,219.296875,18859.53125
train_step,full,1,87,3.403722,1.0419161676646707e-05,,,,,219.17349137931035,19068.09375
train_step,full,1,88,4.799419,1.0538922155688625e-05,,,,,219.296875,19298.125
train_step,full,1,89,3.314575,1.065868263473054e-05,,,,,219.32654494382024,19520.0625
train_step,full,1,90,2.865071,1.0778443113772457e-05,,,,,219.35,19741.5
train_step,full,1,91,4.680947,1.0898203592814372e-05,,,,,219.43543956043956,19968.625
train_step,full,1,92,3.314512,1.1017964071856288e-05,,,,,219.6002038043478,20203.21875
train_step,full,1,93,2.951503,1.1137724550898203e-05,,,,,219.51780913978496,20415.15625
train_step,full,1,94,2.269154,1.125748502994012e-05,,,,,219.60272606382978,20642.65625
train_step,full,1,95,2.999344,1.1377245508982037e-05,,,,,219.69440789473686,20870.96875
train_step,full,1,96,2.23634,1.1497005988023952e-05,,,,,219.71256510416666,21092.40625
train_step,full,1,97,3.051497,1.161676646706587e-05,,,,,219.67525773195877,21308.5
train_step,full,1,98,2.86101,1.1736526946107785e-05,,,,,219.7295918367347,21533.5
train_step,full,1,99,3.325301,1.1856287425149702e-05,,,,,219.6622474747475,21746.5625
train_step,full,1,100,3.299182,1.1976047904191617e-05,,,,,219.5121875,21951.21875
train_step,full,1,101,2.365071,1.2095808383233534e-05,,,,,219.53929455445544,22173.46875
train_step,full,1,102,2.575428,1.221556886227545e-05,,,,,219.65287990196077,22404.59375
train_step,full,1,103,3.41186,1.2335329341317365e-05,,,,,219.6659587378641,22625.59375
train_step,full,1,104,3.471312,1.2455089820359284e-05,,,,,219.64182692307693,22842.75
train_step,full,1,105,2.081114,1.2574850299401197e-05,,,,,219.69880952380953,23068.375
train_step,full,1,106,3.149447,1.2694610778443115e-05,,,,,219.76179245283018,23294.75
train_step,full,1,107,2.795136,1.2814371257485032e-05,,,,,219.75262850467288,23513.53125
train_step,full,1,108,3.364581,1.2934131736526947e-05,,,,,219.75752314814815,23733.8125
train_step,full,1,109,3.616248,1.3053892215568864e-05,,,,,219.7545871559633,23953.25
train_step,full,1,110,2.290869,1.3173652694610779e-05,,,,,219.90170454545455,24189.1875
train_step,full,1,111,2.616599,1.3293413173652696e-05,,,,,219.90146396396398,24409.0625
train_step,full,1,112,3.005464,1.341317365269461e-05,,,,,219.91852678571428,24630.875
train_step,full,1,113,2.584125,1.3532934131736529e-05,,,,,219.9170353982301,24850.625
train_step,full,1,114,3.749097,1.3652694610778446e-05,,,,,220.00411184210526,25080.46875
train_step,full,1,115,2.790598,1.377245508982036e-05,,,,,219.9320652173913,25292.1875
train_step,full,1,116,2.05931,1.3892215568862277e-05,,,,,219.8941271551724,25507.71875
train_step,full,1,117,3.036906,1.4011976047904192e-05,,,,,220.01923076923077,25742.25
train_step,full,1,118,2.614483,1.4131736526946109e-05,,,,,220.14433262711864,25977.03125
train_step,full,1,119,4.098463,1.4251497005988024e-05,,,,,220.06460084033614,26187.6875
train_step,full,1,120,3.939402,1.437125748502994e-05,,,,,219.94817708333332,26393.78125
train_step,full,1,121,3.424522,1.4491017964071859e-05,,,,,219.9083161157025,26608.90625
train_step,full,1,122,2.840574,1.4610778443113774e-05,,,,,219.828125,26819.03125
train_step,full,1,123,3.093275,1.473053892215569e-05,,,,,219.7540650406504,27029.75
train_step,full,1,124,5.38375,1.4850299401197606e-05,,,,,219.80897177419354,27256.3125
train_step,full,1,125,3.260676,1.4970059880239522e-05,,,,,219.77,27471.25
train_step,full,1,126,2.655499,1.5089820359281437e-05,,,,,219.71502976190476,27684.09375
train_step,full,1,127,2.332137,1.5209580838323354e-05,,,,,219.74852362204723,27908.0625
train_step,full,1,128,3.092627,1.5329341317365273e-05,,,,,219.723388671875,28124.59375
train_step,full,1,129,2.792588,1.5449101796407188e-05,,,,,219.74176356589146,28346.6875
