mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.750793,0.007459,0.745457,0.756130,10
cl,macro_f1,0.693580,0.008891,0.687220,0.699941,10
cl,f1_weighted,0.749715,0.008449,0.743670,0.755759,10
cl,accuracy,0.750793,0.007459,0.745457,0.756130,10
cl,hard_slice_macro_f1,0.362895,0.034533,0.338192,0.387598,10
cl,avg_seq_len,224.041036,0.179668,223.912509,224.169562,10
cl,compute_proxy,384454.417295,308.310194,384233.865468,384674.969121,10
cl,best_val_macro_f1,0.686056,0.018369,0.672916,0.699196,10
cl,steps_to_best_val,1716.000000,0.000000,1716.000000,1716.000000,10
is_cl,micro_f1,0.727572,0.008122,0.721762,0.733381,10
is_cl,macro_f1,0.667941,0.008008,0.662212,0.673669,10
is_cl,f1_weighted,0.719591,0.008138,0.713770,0.725413,10
is_cl,accuracy,0.727572,0.008122,0.721762,0.733381,10
is_cl,hard_slice_macro_f1,0.346675,0.036686,0.320431,0.372919,10
is_cl,avg_seq_len,221.384745,0.417491,221.086090,221.683400,10
is_cl,compute_proxy,242991.953904,525.414663,242616.094896,243367.812911,10
is_cl,best_val_macro_f1,0.663934,0.021028,0.648891,0.678977,10
is_cl,steps_to_best_val,1097.600000,0.843274,1096.996758,1098.203242,10
