phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,1830,446,145.33914473559707,5.425614396110177,0.6344262295081967,0.46058693334765366,0.6078124151540595,0.6344262295081967,0.8,0.16810070791089415,227.6428069188581,101528.69188581071,0.4363971237780114,2.0,446.0
step_02,1830,1092,196.98860653489828,5.429745560511947,0.6994535519125683,0.5992523011464321,0.7007826518112785,0.6994535519125683,0.8,0.2839205174679979,226.16604466900154,246973.32077854968,0.604699833206738,2.0,1092.0
step_03,1830,2010,276.2657901858911,5.441181968897581,0.7502732240437159,0.6814943718642437,0.7524339151556845,0.7502732240437159,0.8,0.32977829396234876,223.25297600498598,448738.48177002184,0.6722009807735446,2.0,2010.0
step_04,1830,2938,277.5645709205419,5.407475306652486,0.780327868852459,0.7172838251627686,0.7813726841770557,0.780327868852459,0.8,0.3729740436573446,222.07059726307713,652443.4147589207,0.7111844511973635,2.0,2938.0
step_05,1830,3866,278.5228723892942,5.421058385632932,0.8049180327868852,0.7615972305201729,0.804345263311068,0.8049180327868852,0.8,0.3589071144810833,221.4560238426901,856148.9881758399,0.7324383373600862,2.0,3866.0
step_06,1830,4794,278.3303072480485,5.419942373409867,0.8202185792349727,0.79899549803138,0.8200013607289566,0.8202185792349727,0.8,0.3801646240477571,221.0794388861315,1059854.8300201143,0.7533288506788705,2.0,4794.0
step_07,1830,5722,277.7195797627792,5.427578973583877,0.819672131147541,0.792342155264201,0.820130804495434,0.819672131147541,0.8,0.4068010513057862,220.8250279036176,1263560.8096645,0.7693483318178459,2.0,5722.0
step_08,1830,6650,277.5833647111431,5.424853641539812,0.8191256830601092,0.7930563703502268,0.8185394579770301,0.8191256830601092,0.8,0.43697631353313765,220.64163449769325,1467266.86940966,0.7693675237468262,2.0,6650.0
step_09,1830,7578,277.2300640242174,5.408673457801342,0.8202185792349727,0.8076698370540009,0.819699195296138,0.8202185792349727,0.8,0.4584671566836443,220.50316440008592,1670972.979823851,0.772573384381501,2.0,7578.0
step_10,1830,8506,277.8598593948409,5.42039437033236,0.8234972677595629,0.8000265946362781,0.8234208544108229,0.8234972677595629,0.8,0.45273089225683355,220.39491233493794,1874679.124320982,0.7805137176930425,2.0,8506.0
