phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,1830,214,77.09552965220064,5.398412862792611,0.5540983606557377,0.3261188902260002,0.5002125625615856,0.5540983606557377,0.8,0.1313798354287878,226.49720341477774,48470.401530762436,0.32068921748289564,2.0,214.0
step_02,1830,574,113.71680369134992,5.405926583334804,0.6628415300546449,0.5183575483238337,0.6488845531374346,0.6628415300546449,0.8,0.2336007994918454,224.64824120603015,128948.09045226131,0.5230581159109909,2.0,574.0
step_03,1830,1162,178.88797624129802,5.499195808544755,0.7300546448087432,0.6597000343257998,0.7272261195957591,0.7300546448087432,0.8,0.3580242155418313,220.69177638679042,256443.84416145048,0.6519336245396634,2.0,1162.0
step_04,1830,1754,181.09870994091034,5.434719703160226,0.759016393442623,0.6965644131944291,0.75768429328483,0.759016393442623,0.8,0.36612198027028403,219.3366432117727,384716.4721934493,0.6958559263184376,2.0,1754.0
step_05,1830,2346,181.2810104638338,5.434356070123613,0.773224043715847,0.7216426640406853,0.7704735060116343,0.773224043715847,0.8,0.41974027285188426,218.6662751588276,512991.0815226096,0.7126844250476779,2.0,2346.0
step_06,1830,2938,180.59639074467123,5.579035975039005,0.7841530054644809,0.7377954980991616,0.7817615597957722,0.7841530054644809,0.8,0.44372750682994067,218.2663285528587,641266.4732882989,0.7355291080588031,2.0,2938.0
step_07,1830,3530,180.68895784858614,5.420762145891786,0.7841530054644809,0.7376690898216182,0.7843214536711222,0.7841530054644809,0.8,0.4386446587101311,218.00063838842388,769542.2535111363,0.7444439563173989,2.0,3530.0
step_08,1830,4122,181.55524158570915,5.548144237138331,0.7907103825136612,0.7402377459761137,0.7903022872890808,0.7907103825136612,0.8,0.42439676201429427,217.81131846272984,897818.2547033724,0.7444439563173989,2.0,3530.0
step_09,1830,4714,181.03011364862323,5.461587035097182,0.7890710382513662,0.7404027405681319,0.7889351711338042,0.7890710382513662,0.8,0.34980444105683317,217.66957860917128,1026094.3935636334,0.7487768635548351,2.0,4714.0
step_10,1830,5306,181.44379307422787,5.47286588139832,0.7901639344262295,0.7434365018018741,0.7906375965977636,0.7901639344262295,0.8,0.4253528396604997,217.5594843549129,1154370.6239871678,0.7487768635548351,2.0,4714.0
