mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.814392,0.007888,0.808749,0.820035,10
cl,macro_f1,0.774149,0.016018,0.762690,0.785607,10
cl,f1_weighted,0.813946,0.007986,0.808233,0.819659,10
cl,accuracy,0.814392,0.007888,0.808749,0.820035,10
cl,hard_slice_macro_f1,0.460395,0.024366,0.442964,0.477826,10
cl,avg_seq_len,220.446134,0.116635,220.362698,220.529570,10
cl,compute_proxy,1877848.406672,2409.483390,1876124.766089,1879572.047254,10
cl,best_val_macro_f1,0.776690,0.020649,0.761919,0.791462,10
cl,steps_to_best_val,7497.600000,868.474934,6876.330458,8118.869542,10
is_cl,micro_f1,0.798055,0.009400,0.791331,0.804780,10
is_cl,macro_f1,0.755214,0.016554,0.743371,0.767056,10
is_cl,f1_weighted,0.797512,0.009176,0.790948,0.804076,10
is_cl,accuracy,0.798055,0.009400,0.791331,0.804780,10
is_cl,hard_slice_macro_f1,0.446010,0.023330,0.429320,0.462699,10
is_cl,avg_seq_len,217.771846,0.336626,217.531039,218.012654,10
is_cl,compute_proxy,1156238.613342,2989.687894,1154099.919460,1158377.307224,10
is_cl,best_val_macro_f1,0.755590,0.020227,0.741120,0.770059,10
is_cl,steps_to_best_val,4717.200000,284.812921,4513.457110,4920.942890,10
