phase,epoch,step,loss,lr
full,1,1,5.51844,8.264462809917357e-08
full,1,2,5.765894,1.6528925619834713e-07
full,1,3,2.654149,2.4793388429752067e-07
full,1,4,17.639647,3.3057851239669426e-07
full,1,5,9.182278,4.132231404958678e-07
full,1,6,3.242015,4.958677685950413e-07
full,1,7,2.329586,5.78512396694215e-07
full,1,8,2.872947,6.611570247933885e-07
full,1,9,5.742853,7.438016528925621e-07
full,1,10,1.61243,8.264462809917356e-07
full,1,11,1.789025,9.090909090909091e-07
full,1,12,0.829698,9.917355371900827e-07
full,1,13,1.491337,1.0743801652892562e-06
full,1,14,3.309091,1.15702479338843e-06
full,1,15,4.220365,1.2396694214876035e-06
full,1,16,3.206723,1.322314049586777e-06
full,1,17,5.092741,1.4049586776859506e-06
full,1,18,5.304471,1.4876033057851241e-06
full,1,19,3.389319,1.5702479338842977e-06
full,1,20,2.216431,1.6528925619834712e-06
full,1,21,1.044219,1.7355371900826448e-06
full,1,22,2.577946,1.8181818181818183e-06
full,1,23,4.849131,1.900826446280992e-06
full,1,24,1.954727,1.9834710743801654e-06
full,1,25,3.092258,2.066115702479339e-06
full,1,26,2.455988,2.1487603305785124e-06
full,1,27,2.799614,2.231404958677686e-06
full,1,28,3.489446,2.31404958677686e-06
full,1,29,1.80654,2.3966942148760335e-06
full,1,30,1.957355,2.479338842975207e-06
full,1,31,2.60117,2.56198347107438e-06
full,1,32,15.058368,2.644628099173554e-06
full,1,33,3.104242,2.7272727272727272e-06
full,1,34,19.611593,2.809917355371901e-06
full,1,35,2.175818,2.8925619834710743e-06
full,1,36,8.424828,2.9752066115702483e-06
full,1,37,1.613354,3.0578512396694214e-06
full,1,38,5.271852,3.1404958677685953e-06
full,1,39,4.970466,3.2231404958677685e-06
full,1,40,7.751582,3.3057851239669424e-06
full,1,41,4.736318,3.388429752066116e-06
full,1,42,4.024939,3.4710743801652895e-06
full,1,43,5.363489,3.553719008264463e-06
full,1,44,3.998858,3.6363636363636366e-06
full,1,45,5.233125,3.71900826446281e-06
full,1,46,12.988254,3.801652892561984e-06
full,1,47,21.534702,3.884297520661157e-06
full,1,48,12.570139,3.966942148760331e-06
full,1,49,4.032575,4.049586776859504e-06
full,1,50,4.047154,4.132231404958678e-06
full,1,51,3.68863,4.214876033057851e-06
full,1,52,3.444046,4.297520661157025e-06
full,1,53,18.006075,4.3801652892561984e-06
full,1,54,5.746526,4.462809917355372e-06
full,1,55,2.521824,4.5454545454545455e-06
full,1,56,3.860059,4.62809917355372e-06
full,1,57,4.043595,4.710743801652893e-06
full,1,58,1.877089,4.793388429752067e-06
full,1,59,5.671663,4.87603305785124e-06
full,1,60,7.190676,4.958677685950414e-06
full,1,61,9.510651,5.041322314049587e-06
full,1,62,2.972595,5.12396694214876e-06
full,1,63,1.719035,5.206611570247935e-06
full,1,64,5.694524,5.289256198347108e-06
full,1,65,2.190514,5.371900826446281e-06
full,1,66,1.931216,5.4545454545454545e-06
full,1,67,1.339386,5.537190082644629e-06
full,1,68,2.943657,5.619834710743802e-06
full,1,69,1.540294,5.702479338842976e-06
full,1,70,6.172048,5.785123966942149e-06
full,1,71,3.108762,5.867768595041323e-06
full,1,72,2.36625,5.9504132231404965e-06
full,1,73,1.706625,6.03305785123967e-06
full,1,74,4.977933,6.115702479338843e-06
full,1,75,8.994865,6.198347107438017e-06
full,1,76,1.43966,6.280991735537191e-06
full,1,77,1.894523,6.363636363636364e-06
full,1,78,2.816089,6.446280991735537e-06
full,1,79,17.351789,6.528925619834712e-06
full,1,80,1.311729,6.611570247933885e-06
full,1,81,2.239155,6.694214876033058e-06
full,1,82,3.957559,6.776859504132232e-06
full,1,83,3.120306,6.859504132231406e-06
full,1,84,3.087308,6.942148760330579e-06
full,1,85,2.104485,7.0247933884297525e-06
full,1,86,3.081789,7.107438016528926e-06
full,1,87,3.494522,7.1900826446281005e-06
full,1,88,8.046167,7.272727272727273e-06
full,1,89,5.145173,7.355371900826447e-06
full,1,90,3.835422,7.43801652892562e-06
full,1,91,2.542434,7.520661157024795e-06
full,1,92,2.497472,7.603305785123968e-06
full,1,93,2.21183,7.685950413223142e-06
full,1,94,9.639962,7.768595041322314e-06
full,1,95,1.617766,7.851239669421489e-06
full,1,96,8.164594,7.933884297520661e-06
full,1,97,11.930166,8.016528925619836e-06
full,1,98,4.225882,8.099173553719009e-06
full,1,99,19.579506,8.181818181818183e-06
full,1,100,8.859264,8.264462809917356e-06
full,1,101,8.939893,8.34710743801653e-06
full,1,102,5.508843,8.429752066115703e-06
full,1,103,1.61838,8.512396694214877e-06
full,1,104,4.312531,8.59504132231405e-06
full,1,105,1.117327,8.677685950413224e-06
full,1,106,2.083661,8.760330578512397e-06
full,1,107,2.181925,8.842975206611571e-06
full,1,108,9.160791,8.925619834710744e-06
full,1,109,4.337473,9.008264462809918e-06
full,1,110,4.046487,9.090909090909091e-06
full,1,111,0.846738,9.173553719008265e-06
full,1,112,3.07631,9.25619834710744e-06
full,1,113,5.158999,9.338842975206613e-06
full,1,114,3.048525,9.421487603305785e-06
full,1,115,4.664589,9.50413223140496e-06
full,1,116,3.185575,9.586776859504134e-06
full,1,117,2.902941,9.669421487603307e-06
full,1,118,8.266914,9.75206611570248e-06
full,1,119,4.670857,9.834710743801654e-06
full,1,120,4.696594,9.917355371900828e-06
full,1,121,5.015622,1e-05
full,1,122,5.031296,1.0082644628099174e-05
full,1,123,8.206201,1.0165289256198348e-05
full,1,124,5.448397,1.024793388429752e-05
full,1,125,4.502477,1.0330578512396693e-05
full,1,126,4.634365,1.041322314049587e-05
full,1,127,3.00253,1.0495867768595042e-05
full,1,128,3.919837,1.0578512396694216e-05
full,1,129,15.495279,1.0661157024793389e-05
full,1,130,2.457443,1.0743801652892562e-05
full,1,131,22.777447,1.0826446280991736e-05
full,1,132,23.960524,1.0909090909090909e-05
full,1,133,14.47229,1.0991735537190083e-05
full,1,134,4.861048,1.1074380165289258e-05
full,1,135,1.587789,1.1157024793388432e-05
full,1,136,3.853235,1.1239669421487605e-05
full,1,137,4.237795,1.1322314049586777e-05
full,1,138,4.713392,1.1404958677685952e-05
full,1,139,4.832573,1.1487603305785125e-05
full,1,140,2.447922,1.1570247933884297e-05
full,1,141,2.036433,1.1652892561983472e-05
full,1,142,3.929788,1.1735537190082646e-05
full,1,143,1.138969,1.181818181818182e-05
full,1,144,4.316098,1.1900826446280993e-05
full,1,145,7.749858,1.1983471074380166e-05
full,1,146,13.869805,1.206611570247934e-05
full,1,147,2.011208,1.2148760330578513e-05
full,1,148,2.835787,1.2231404958677686e-05
full,1,149,5.410254,1.231404958677686e-05
full,1,150,2.771424,1.2396694214876034e-05
full,1,151,4.863672,1.2479338842975209e-05
full,1,152,2.615669,1.2561983471074381e-05
full,1,153,4.883443,1.2644628099173554e-05
full,1,154,2.588789,1.2727272727272728e-05
full,1,155,0.633537,1.2809917355371901e-05
full,1,156,7.218386,1.2892561983471074e-05
full,1,157,7.113299,1.2975206611570248e-05
full,1,158,2.535824,1.3057851239669424e-05
full,1,159,7.681224,1.3140495867768597e-05
full,1,160,4.972045,1.322314049586777e-05
full,1,161,2.694424,1.3305785123966944e-05
full,1,162,2.234354,1.3388429752066117e-05
full,1,163,2.441442,1.347107438016529e-05
full,1,164,3.631541,1.3553719008264464e-05
full,1,165,2.353094,1.3636363636363637e-05
full,1,166,3.521438,1.3719008264462813e-05
full,1,167,3.494555,1.3801652892561985e-05
full,1,168,2.932196,1.3884297520661158e-05
full,1,169,3.720815,1.3966942148760332e-05
full,1,170,4.517848,1.4049586776859505e-05
full,1,171,14.15357,1.4132231404958678e-05
full,1,172,5.709156,1.4214876033057852e-05
full,1,173,11.135415,1.4297520661157025e-05
full,1,174,2.902453,1.4380165289256201e-05
full,1,175,12.347113,1.4462809917355374e-05
full,1,176,2.218557,1.4545454545454546e-05
full,1,177,2.280987,1.462809917355372e-05
full,1,178,3.156211,1.4710743801652893e-05
full,1,179,3.20492,1.4793388429752066e-05
full,1,180,2.477426,1.487603305785124e-05
full,1,181,1.22114,1.4958677685950413e-05
full,1,182,1.539189,1.504132231404959e-05
full,1,183,3.691374,1.5123966942148762e-05
full,1,184,2.09431,1.5206611570247936e-05
full,1,185,3.422283,1.528925619834711e-05
full,1,186,4.634666,1.5371900826446283e-05
full,1,187,1.95309,1.5454545454545454e-05
full,1,188,1.879893,1.553719008264463e-05
full,1,189,8.821472,1.5619834710743803e-05
full,1,190,2.529032,1.5702479338842978e-05
