phase,epoch,step,loss,lr
clean,1,1,0.440259,2e-05
clean,1,2,0.999581,1.7142857142857142e-05
clean,1,3,0.309652,1.4285714285714287e-05
clean,1,4,0.905977,1.1428571428571429e-05
clean,2,5,0.68519,8.571428571428571e-06
clean,2,6,0.42445,5.7142857142857145e-06
clean,2,7,0.964591,2.8571428571428573e-06
clean,2,8,0.430416,0.0
diverse,1,9,14.269171,1.3333333333333334e-06
diverse,1,10,1.982861,2.666666666666667e-06
diverse,1,11,1.309464,4.000000000000001e-06
diverse,1,12,4.365361,5.333333333333334e-06
diverse,1,13,7.765835,6.666666666666667e-06
diverse,1,14,1.573602,8.000000000000001e-06
diverse,1,15,0.938863,9.333333333333334e-06
diverse,1,16,3.249665,1.0666666666666667e-05
diverse,1,17,2.977369,1.2e-05
diverse,1,18,1.738665,1.3333333333333333e-05
diverse,1,19,2.471541,1.4666666666666666e-05
diverse,1,20,2.468428,1.6000000000000003e-05
diverse,1,21,0.962174,1.7333333333333336e-05
diverse,1,22,4.251163,1.866666666666667e-05
diverse,1,23,4.686986,2e-05
diverse,1,24,2.706223,1.9920318725099602e-05
diverse,1,25,1.002491,1.9840637450199206e-05
diverse,1,26,2.534081,1.9760956175298807e-05
diverse,1,27,2.290453,1.9681274900398408e-05
diverse,1,28,4.209882,1.960159362549801e-05
diverse,1,29,1.289354,1.9521912350597613e-05
diverse,1,30,1.299727,1.9442231075697213e-05
diverse,1,31,4.204187,1.9362549800796814e-05
diverse,1,32,7.827326,1.9282868525896418e-05
diverse,1,33,6.007445,1.920318725099602e-05
diverse,1,34,2.124344,1.912350597609562e-05
diverse,1,35,4.809385,1.904382470119522e-05
diverse,1,36,0.968673,1.8964143426294824e-05
diverse,1,37,11.925534,1.8884462151394425e-05
diverse,1,38,7.73457,1.8804780876494026e-05
diverse,1,39,0.750054,1.8725099601593626e-05
diverse,1,40,2.166201,1.8645418326693227e-05
diverse,1,41,2.297478,1.8565737051792828e-05
diverse,1,42,1.047575,1.8486055776892432e-05
diverse,1,43,8.652924,1.8406374501992033e-05
diverse,1,44,3.478117,1.8326693227091633e-05
diverse,1,45,2.730321,1.8247011952191237e-05
diverse,1,46,0.432245,1.8167330677290838e-05
diverse,1,47,1.318817,1.808764940239044e-05
diverse,1,48,5.393087,1.800796812749004e-05
diverse,1,49,1.036206,1.7928286852589643e-05
diverse,1,50,1.314423,1.7848605577689244e-05
diverse,1,51,0.971914,1.7768924302788845e-05
diverse,1,52,2.050069,1.768924302788845e-05
diverse,1,53,1.477279,1.760956175298805e-05
diverse,1,54,0.745884,1.752988047808765e-05
diverse,1,55,1.610804,1.745019920318725e-05
diverse,1,56,2.593781,1.7370517928286855e-05
diverse,1,57,0.972798,1.7290836653386456e-05
diverse,1,58,0.745901,1.7211155378486056e-05
diverse,1,59,1.343804,1.713147410358566e-05
diverse,1,60,3.950734,1.705179282868526e-05
diverse,1,61,1.349226,1.6972111553784862e-05
diverse,1,62,0.873666,1.6892430278884463e-05
diverse,1,63,1.269212,1.6812749003984067e-05
diverse,1,64,2.676779,1.6733067729083667e-05
diverse,1,65,0.603876,1.6653386454183268e-05
diverse,1,66,1.979708,1.6573705179282872e-05
diverse,1,67,1.624212,1.6494023904382473e-05
diverse,1,68,3.248921,1.6414342629482074e-05
diverse,1,69,0.963513,1.6334661354581674e-05
diverse,1,70,4.737509,1.625498007968128e-05
diverse,1,71,1.091994,1.6175298804780876e-05
diverse,1,72,1.113542,1.609561752988048e-05
diverse,1,73,9.424971,1.601593625498008e-05
diverse,1,74,2.799439,1.593625498007968e-05
diverse,1,75,0.76509,1.5856573705179282e-05
diverse,1,76,4.727947,1.5776892430278886e-05
