phase,epoch,step,loss,lr
full,1,1,3.725531,1.2903225806451614e-07
full,1,2,14.435608,2.580645161290323e-07
full,1,3,3.266872,3.870967741935484e-07
full,1,4,6.838063,5.161290322580646e-07
full,1,5,5.029687,6.451612903225807e-07
full,1,6,8.373154,7.741935483870968e-07
full,1,7,2.78868,9.032258064516129e-07
full,1,8,2.995222,1.0322580645161291e-06
full,1,9,5.824879,1.1612903225806454e-06
full,1,10,5.356483,1.2903225806451614e-06
full,1,11,3.130182,1.4193548387096776e-06
full,1,12,4.253127,1.5483870967741937e-06
full,1,13,6.76431,1.67741935483871e-06
full,1,14,3.617301,1.8064516129032258e-06
full,1,15,3.74859,1.935483870967742e-06
full,1,16,2.893884,2.0645161290322582e-06
full,1,17,2.694593,2.1935483870967745e-06
full,1,18,1.450908,2.3225806451612907e-06
full,1,19,8.229704,2.4516129032258066e-06
full,1,20,8.542459,2.580645161290323e-06
full,1,21,2.176005,2.709677419354839e-06
full,1,22,2.813884,2.8387096774193553e-06
full,1,23,3.821836,2.967741935483871e-06
full,1,24,3.053583,3.0967741935483874e-06
full,1,25,9.254658,3.225806451612903e-06
full,1,26,1.132114,3.35483870967742e-06
full,1,27,2.058576,3.4838709677419357e-06
full,1,28,3.819697,3.6129032258064515e-06
full,1,29,2.78516,3.741935483870968e-06
full,1,30,2.237471,3.870967741935484e-06
full,1,31,3.401019,4.000000000000001e-06
full,1,32,2.615534,4.1290322580645165e-06
full,1,33,3.765759,4.258064516129032e-06
full,1,34,3.616307,4.387096774193549e-06
full,1,35,5.658517,4.516129032258065e-06
full,1,36,3.0231,4.6451612903225815e-06
full,1,37,2.233025,4.774193548387097e-06
full,1,38,2.080906,4.903225806451613e-06
full,1,39,7.626095,5.032258064516129e-06
full,1,40,3.982528,5.161290322580646e-06
full,1,41,8.638815,5.290322580645162e-06
full,1,42,9.777781,5.419354838709678e-06
full,1,43,1.757818,5.548387096774194e-06
full,1,44,2.368632,5.677419354838711e-06
full,1,45,2.728392,5.806451612903226e-06
full,1,46,5.160214,5.935483870967742e-06
full,1,47,3.247398,6.064516129032259e-06
full,1,48,6.130646,6.193548387096775e-06
full,1,49,4.601973,6.3225806451612906e-06
full,1,50,10.834194,6.451612903225806e-06
full,1,51,12.490567,6.580645161290323e-06
full,1,52,1.384001,6.70967741935484e-06
full,1,53,2.579612,6.838709677419355e-06
full,1,54,15.711036,6.967741935483871e-06
full,1,55,11.347101,7.096774193548388e-06
full,1,56,3.082297,7.225806451612903e-06
full,1,57,8.456558,7.35483870967742e-06
full,1,58,3.483844,7.483870967741936e-06
full,1,59,4.388943,7.612903225806451e-06
full,1,60,1.907057,7.741935483870968e-06
full,1,61,3.368547,7.870967741935484e-06
full,1,62,2.895903,8.000000000000001e-06
full,1,63,2.326379,8.129032258064517e-06
full,1,64,2.826779,8.258064516129033e-06
full,1,65,4.414319,8.387096774193549e-06
full,1,66,3.897202,8.516129032258065e-06
full,1,67,3.678265,8.64516129032258e-06
full,1,68,3.641932,8.774193548387098e-06
full,1,69,2.649103,8.903225806451614e-06
full,1,70,2.63641,9.03225806451613e-06
full,1,71,3.812692,9.161290322580645e-06
full,1,72,2.445072,9.290322580645163e-06
full,1,73,2.91388,9.419354838709677e-06
full,1,74,3.177605,9.548387096774195e-06
full,1,75,2.66924,9.67741935483871e-06
full,1,76,2.733461,9.806451612903226e-06
full,1,77,4.895344,9.935483870967742e-06
full,1,78,1.886436,1.0064516129032258e-05
full,1,79,2.98971,1.0193548387096774e-05
full,1,80,3.079303,1.0322580645161291e-05
full,1,81,7.75301,1.0451612903225807e-05
full,1,82,4.39052,1.0580645161290325e-05
full,1,83,15.053423,1.070967741935484e-05
full,1,84,0.990619,1.0838709677419356e-05
full,1,85,7.139008,1.096774193548387e-05
full,1,86,5.741813,1.1096774193548388e-05
full,1,87,2.552605,1.1225806451612904e-05
full,1,88,3.670678,1.1354838709677421e-05
full,1,89,5.463376,1.1483870967741937e-05
full,1,90,3.302577,1.1612903225806453e-05
full,1,91,13.328911,1.1741935483870967e-05
full,1,92,1.205335,1.1870967741935484e-05
full,1,93,8.329798,1.2e-05
full,1,94,2.137128,1.2129032258064518e-05
full,1,95,3.726636,1.2258064516129034e-05
full,1,96,1.646432,1.238709677419355e-05
full,1,97,4.138767,1.2516129032258067e-05
full,1,98,8.391979,1.2645161290322581e-05
full,1,99,2.989101,1.2774193548387097e-05
full,1,100,1.580539,1.2903225806451613e-05
full,1,101,1.133191,1.303225806451613e-05
full,1,102,5.078491,1.3161290322580646e-05
full,1,103,3.043592,1.3290322580645164e-05
full,1,104,2.637668,1.341935483870968e-05
full,1,105,4.295417,1.3548387096774194e-05
full,1,106,12.86337,1.367741935483871e-05
full,1,107,4.193038,1.3806451612903227e-05
full,1,108,16.244385,1.3935483870967743e-05
full,1,109,2.835508,1.406451612903226e-05
full,1,110,2.833796,1.4193548387096776e-05
full,1,111,11.181846,1.4322580645161292e-05
full,1,112,4.695246,1.4451612903225806e-05
full,1,113,4.704447,1.4580645161290324e-05
full,1,114,4.669959,1.470967741935484e-05
full,1,115,2.16357,1.4838709677419357e-05
full,1,116,5.659376,1.4967741935483873e-05
full,1,117,2.649841,1.5096774193548389e-05
full,1,118,3.726946,1.5225806451612903e-05
full,1,119,2.542991,1.535483870967742e-05
full,1,120,3.928021,1.5483870967741936e-05
full,1,121,4.610719,1.5612903225806454e-05
full,1,122,2.981204,1.5741935483870968e-05
full,1,123,2.113934,1.5870967741935485e-05
