mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
baseline,micro_f1,0.747740,0.011400,0.738210,0.757270,8
baseline,macro_f1,0.473216,0.013369,0.462039,0.484394,8
baseline,accuracy,0.747740,0.011400,0.738210,0.757270,8
baseline,hard_slice_macro_f1,0.228145,0.046448,0.189313,0.266976,8
is,micro_f1,0.743445,0.012813,0.732733,0.754156,8
is,macro_f1,0.467750,0.022535,0.448910,0.486590,8
is,accuracy,0.743445,0.012813,0.732733,0.754156,8
is,hard_slice_macro_f1,0.253642,0.032752,0.226261,0.281023,8
cl,micro_f1,0.002169,0.000253,0.001957,0.002380,8
cl,macro_f1,0.000060,0.000009,0.000053,0.000067,8
cl,accuracy,0.002169,0.000253,0.001957,0.002380,8
cl,hard_slice_macro_f1,0.000145,0.000076,0.000081,0.000208,8
is_cl,micro_f1,0.712542,0.008380,0.705536,0.719548,8
is_cl,macro_f1,0.382298,0.037285,0.351126,0.413469,8
is_cl,accuracy,0.712542,0.008380,0.705536,0.719548,8
is_cl,hard_slice_macro_f1,0.271433,0.038628,0.239139,0.303727,8
