phase,epoch,step,loss,lr
clean,1,1,0.153512,2.8571428571428573e-06
clean,1,2,0.119013,5.7142857142857145e-06
clean,1,3,0.902115,8.571428571428571e-06
clean,1,4,0.114084,1.1428571428571429e-05
clean,1,5,0.234459,1.4285714285714287e-05
clean,1,6,1.211241,1.7142857142857142e-05
clean,1,7,3.501932,2e-05
clean,1,8,0.246668,1.983739837398374e-05
clean,1,9,0.20582,1.9674796747967483e-05
clean,1,10,3.889282,1.9512195121951222e-05
clean,1,11,0.241875,1.934959349593496e-05
clean,1,12,2.205185,1.91869918699187e-05
clean,1,13,1.189935,1.902439024390244e-05
clean,1,14,0.142349,1.886178861788618e-05
clean,1,15,0.243569,1.869918699186992e-05
clean,1,16,0.227016,1.8536585365853663e-05
clean,1,17,0.250666,1.83739837398374e-05
clean,1,18,0.145402,1.821138211382114e-05
clean,1,19,0.838433,1.804878048780488e-05
clean,1,20,0.322155,1.788617886178862e-05
clean,1,21,0.212354,1.772357723577236e-05
clean,1,22,7.205856,1.75609756097561e-05
clean,1,23,1.009627,1.739837398373984e-05
clean,1,24,0.108845,1.7235772357723578e-05
clean,1,25,0.287802,1.7073170731707317e-05
clean,1,26,0.154259,1.691056910569106e-05
clean,1,27,0.199288,1.6747967479674798e-05
clean,1,28,1.21021,1.6585365853658537e-05
clean,1,29,2.205344,1.642276422764228e-05
clean,1,30,0.069478,1.6260162601626018e-05
clean,1,31,0.43366,1.6097560975609757e-05
clean,1,32,0.154769,1.5934959349593496e-05
clean,1,33,0.131567,1.5772357723577235e-05
clean,1,34,3.809723,1.5609756097560978e-05
clean,1,35,3.535605,1.5447154471544717e-05
clean,1,36,0.176895,1.528455284552846e-05
clean,1,37,0.184876,1.5121951219512196e-05
clean,1,38,0.142571,1.4959349593495935e-05
clean,1,39,0.314924,1.4796747967479676e-05
clean,1,40,1.779179,1.4634146341463415e-05
clean,1,41,0.498665,1.4471544715447157e-05
clean,1,42,0.119319,1.4308943089430896e-05
clean,1,43,0.435268,1.4146341463414635e-05
clean,1,44,0.167147,1.3983739837398376e-05
clean,1,45,0.888205,1.3821138211382115e-05
clean,1,46,1.884726,1.3658536585365855e-05
clean,1,47,3.564846,1.3495934959349594e-05
clean,1,48,0.087898,1.3333333333333333e-05
clean,1,49,0.20197,1.3170731707317076e-05
clean,1,50,0.092663,1.3008130081300815e-05
clean,1,51,5.305831,1.2845528455284555e-05
clean,1,52,0.090623,1.2682926829268294e-05
clean,1,53,0.126036,1.2520325203252033e-05
clean,1,54,0.153117,1.2357723577235774e-05
clean,1,55,0.334761,1.2195121951219513e-05
clean,1,56,0.194825,1.2032520325203254e-05
clean,1,57,0.386094,1.1869918699186992e-05
clean,1,58,0.206834,1.1707317073170731e-05
clean,1,59,0.874859,1.1544715447154474e-05
clean,1,60,0.414904,1.1382113821138213e-05
clean,1,61,1.59954,1.1219512195121953e-05
clean,1,62,0.082767,1.1056910569105692e-05
clean,1,63,0.069384,1.0894308943089431e-05
clean,1,64,0.043311,1.0731707317073172e-05
clean,1,65,0.228503,1.0569105691056911e-05
clean,2,66,0.740554,1.0406504065040652e-05
clean,2,67,0.296266,1.024390243902439e-05
clean,2,68,0.074842,1.008130081300813e-05
clean,2,69,0.071229,9.91869918699187e-06
clean,2,70,0.158476,9.756097560975611e-06
clean,2,71,0.090306,9.59349593495935e-06
clean,2,72,0.038145,9.43089430894309e-06
clean,2,73,0.507854,9.268292682926831e-06
clean,2,74,0.142781,9.10569105691057e-06
clean,2,75,2.072008,8.94308943089431e-06
clean,2,76,2.209032,8.78048780487805e-06
clean,2,77,0.108746,8.617886178861789e-06
clean,2,78,0.112258,8.45528455284553e-06
clean,2,79,0.035337,8.292682926829268e-06
clean,2,80,0.173422,8.130081300813009e-06
clean,2,81,3.887185,7.967479674796748e-06
clean,2,82,0.123859,7.804878048780489e-06
clean,2,83,0.114178,7.64227642276423e-06
clean,2,84,0.153941,7.4796747967479676e-06
clean,2,85,0.130509,7.317073170731707e-06
clean,2,86,3.613863,7.154471544715448e-06
clean,2,87,1.72156,6.991869918699188e-06
clean,2,88,0.056985,6.829268292682928e-06
clean,2,89,0.089313,6.666666666666667e-06
clean,2,90,3.313921,6.504065040650407e-06
clean,2,91,0.051327,6.341463414634147e-06
clean,2,92,0.052744,6.178861788617887e-06
clean,2,93,0.298544,6.016260162601627e-06
clean,2,94,1.882202,5.853658536585366e-06
clean,2,95,1.55455,5.691056910569106e-06
clean,2,96,0.110073,5.528455284552846e-06
clean,2,97,0.046782,5.365853658536586e-06
clean,2,98,0.108457,5.203252032520326e-06
clean,2,99,3.43185,5.040650406504065e-06
clean,2,100,0.06673,4.8780487804878055e-06
clean,2,101,3.419424,4.715447154471545e-06
clean,2,102,0.118663,4.552845528455285e-06
clean,2,103,0.881569,4.390243902439025e-06
clean,2,104,0.100975,4.227642276422765e-06
clean,2,105,0.055493,4.0650406504065046e-06
clean,2,106,0.298679,3.902439024390244e-06
clean,2,107,0.143599,3.7398373983739838e-06
clean,2,108,0.24266,3.577235772357724e-06
clean,2,109,0.279257,3.414634146341464e-06
clean,2,110,0.669391,3.2520325203252037e-06
clean,2,111,0.059633,3.0894308943089435e-06
clean,2,112,0.071679,2.926829268292683e-06
clean,2,113,0.193501,2.764227642276423e-06
clean,2,114,0.09238,2.601626016260163e-06
clean,2,115,0.669579,2.4390243902439027e-06
clean,2,116,0.065835,2.2764227642276426e-06
clean,2,117,4.031448,2.1138211382113824e-06
clean,2,118,0.049785,1.951219512195122e-06
clean,2,119,0.026009,1.788617886178862e-06
clean,2,120,0.138004,1.6260162601626018e-06
clean,2,121,0.073416,1.4634146341463414e-06
clean,2,122,0.045938,1.3008130081300815e-06
clean,2,123,0.180763,1.1382113821138213e-06
clean,2,124,0.109438,9.75609756097561e-07
clean,2,125,3.751287,8.130081300813009e-07
clean,2,126,1.644619,6.504065040650407e-07
clean,2,127,0.674669,4.878048780487805e-07
clean,2,128,3.725058,3.2520325203252037e-07
clean,2,129,0.096287,1.6260162601626018e-07
clean,2,130,0.125581,0.0
diverse,1,131,9.328855,1.3333333333333334e-06
diverse,1,132,1.734372,2.666666666666667e-06
diverse,1,133,10.564593,4.000000000000001e-06
diverse,1,134,7.961512,5.333333333333334e-06
diverse,1,135,8.235723,6.666666666666667e-06
diverse,1,136,9.647809,8.000000000000001e-06
diverse,1,137,3.185841,9.333333333333334e-06
diverse,1,138,2.089954,1.0666666666666667e-05
diverse,1,139,0.797343,1.2e-05
diverse,1,140,2.167032,1.3333333333333333e-05
diverse,1,141,2.449948,1.4666666666666666e-05
diverse,1,142,0.998013,1.6000000000000003e-05
diverse,1,143,4.143909,1.7333333333333336e-05
diverse,1,144,1.242654,1.866666666666667e-05
diverse,1,145,2.434146,2e-05
diverse,1,146,2.658791,1.9918367346938775e-05
diverse,1,147,0.846376,1.983673469387755e-05
diverse,1,148,4.815961,1.9755102040816328e-05
diverse,1,149,1.507607,1.9673469387755104e-05
diverse,1,150,0.846861,1.9591836734693877e-05
diverse,1,151,0.951038,1.9510204081632654e-05
diverse,1,152,0.977446,1.942857142857143e-05
diverse,1,153,2.562071,1.9346938775510207e-05
diverse,1,154,0.461717,1.926530612244898e-05
diverse,1,155,0.800488,1.9183673469387756e-05
diverse,1,156,0.807141,1.9102040816326533e-05
diverse,1,157,8.905397,1.9020408163265306e-05
diverse,1,158,0.988673,1.8938775510204083e-05
diverse,1,159,1.466184,1.885714285714286e-05
diverse,1,160,2.983226,1.8775510204081636e-05
diverse,1,161,7.720365,1.869387755102041e-05
diverse,1,162,1.418467,1.8612244897959185e-05
diverse,1,163,1.101677,1.853061224489796e-05
diverse,1,164,0.787833,1.8448979591836735e-05
diverse,1,165,3.742548,1.836734693877551e-05
diverse,1,166,4.48553,1.8285714285714288e-05
diverse,1,167,4.152846,1.8204081632653064e-05
diverse,1,168,1.619579,1.8122448979591837e-05
diverse,1,169,1.722449,1.8040816326530614e-05
diverse,1,170,1.409731,1.795918367346939e-05
diverse,1,171,0.34582,1.7877551020408164e-05
diverse,1,172,8.298893,1.779591836734694e-05
diverse,1,173,0.327537,1.7714285714285717e-05
diverse,1,174,0.74376,1.7632653061224493e-05
diverse,1,175,2.879826,1.7551020408163266e-05
diverse,1,176,0.618359,1.7469387755102043e-05
diverse,1,177,2.746765,1.738775510204082e-05
diverse,1,178,7.628456,1.7306122448979596e-05
diverse,1,179,0.580444,1.722448979591837e-05
diverse,1,180,2.37431,1.7142857142857142e-05
diverse,1,181,2.249444,1.7061224489795922e-05
diverse,1,182,3.377524,1.6979591836734695e-05
diverse,1,183,0.368032,1.689795918367347e-05
diverse,1,184,14.51194,1.6816326530612244e-05
diverse,1,185,1.270241,1.673469387755102e-05
diverse,1,186,2.85249,1.6653061224489797e-05
diverse,1,187,1.789654,1.6571428571428574e-05
diverse,1,188,3.010021,1.6489795918367347e-05
diverse,1,189,0.989629,1.6408163265306124e-05
diverse,1,190,4.853896,1.63265306122449e-05
diverse,1,191,0.814874,1.6244897959183673e-05
diverse,1,192,3.907396,1.616326530612245e-05
diverse,1,193,2.535941,1.6081632653061226e-05
diverse,1,194,1.772158,1.6000000000000003e-05
diverse,1,195,2.688887,1.5918367346938776e-05
diverse,1,196,0.768435,1.5836734693877552e-05
diverse,1,197,0.513626,1.575510204081633e-05
diverse,1,198,1.331519,1.5673469387755102e-05
diverse,1,199,1.096013,1.559183673469388e-05
diverse,1,200,1.048002,1.5510204081632655e-05
diverse,1,201,1.233114,1.542857142857143e-05
diverse,1,202,0.478208,1.5346938775510204e-05
diverse,1,203,0.758449,1.526530612244898e-05
diverse,1,204,1.206162,1.5183673469387756e-05
diverse,1,205,0.3217,1.510204081632653e-05
diverse,1,206,3.53837,1.5020408163265307e-05
diverse,1,207,1.381266,1.4938775510204082e-05
diverse,1,208,3.231146,1.4857142857142858e-05
diverse,1,209,2.297203,1.4775510204081633e-05
diverse,1,210,1.051137,1.469387755102041e-05
diverse,1,211,8.405044,1.4612244897959185e-05
diverse,1,212,2.091269,1.4530612244897961e-05
diverse,1,213,0.984999,1.4448979591836736e-05
diverse,1,214,0.603535,1.436734693877551e-05
diverse,1,215,0.858579,1.4285714285714287e-05
diverse,1,216,0.840956,1.4204081632653062e-05
diverse,1,217,6.38203,1.4122448979591838e-05
diverse,1,218,4.16874,1.4040816326530613e-05
diverse,1,219,0.838162,1.395918367346939e-05
diverse,1,220,2.5796,1.3877551020408165e-05
diverse,1,221,4.207663,1.3795918367346941e-05
diverse,1,222,3.22406,1.3714285714285716e-05
diverse,1,223,0.989288,1.363265306122449e-05
diverse,1,224,0.540527,1.3551020408163267e-05
diverse,1,225,1.229666,1.3469387755102042e-05
diverse,1,226,0.567834,1.3387755102040818e-05
diverse,1,227,1.070831,1.3306122448979593e-05
diverse,1,228,1.494238,1.322448979591837e-05
diverse,1,229,2.887345,1.3142857142857145e-05
diverse,1,230,4.162265,1.3061224489795918e-05
diverse,1,231,0.461595,1.2979591836734696e-05
diverse,1,232,0.938351,1.2897959183673469e-05
diverse,1,233,0.77614,1.2816326530612247e-05
diverse,1,234,0.222126,1.273469387755102e-05
diverse,1,235,0.723053,1.2653061224489798e-05
diverse,1,236,1.128471,1.2571428571428572e-05
diverse,1,237,0.435066,1.248979591836735e-05
diverse,1,238,5.514253,1.2408163265306123e-05
diverse,1,239,0.264866,1.2326530612244898e-05
diverse,1,240,11.250418,1.2244897959183674e-05
diverse,1,241,1.886408,1.2163265306122449e-05
diverse,1,242,2.771258,1.2081632653061225e-05
diverse,1,243,0.366939,1.2e-05
diverse,1,244,1.194057,1.1918367346938777e-05
diverse,1,245,0.904584,1.1836734693877552e-05
diverse,1,246,15.162079,1.1755102040816328e-05
diverse,1,247,0.558347,1.1673469387755103e-05
diverse,1,248,7.887684,1.1591836734693878e-05
diverse,1,249,0.47876,1.1510204081632654e-05
diverse,1,250,0.724812,1.1428571428571429e-05
diverse,1,251,1.620579,1.1346938775510206e-05
diverse,1,252,1.50544,1.126530612244898e-05
diverse,1,253,2.517195,1.1183673469387757e-05
diverse,1,254,0.496439,1.1102040816326532e-05
diverse,1,255,5.964131,1.1020408163265306e-05
diverse,1,256,2.584654,1.0938775510204083e-05
diverse,1,257,4.89445,1.0857142857142858e-05
diverse,1,258,0.446055,1.0775510204081634e-05
diverse,1,259,0.457629,1.0693877551020409e-05
diverse,1,260,1.016548,1.0612244897959186e-05
diverse,2,261,10.729173,1.053061224489796e-05
diverse,2,262,0.592294,1.0448979591836737e-05
diverse,2,263,1.300373,1.0367346938775512e-05
diverse,2,264,0.644921,1.0285714285714285e-05
diverse,2,265,2.090074,1.0204081632653063e-05
diverse,2,266,1.680162,1.0122448979591836e-05
diverse,2,267,0.570942,1.0040816326530614e-05
diverse,2,268,0.947515,9.959183673469387e-06
diverse,2,269,1.585283,9.877551020408164e-06
diverse,2,270,6.715329,9.795918367346939e-06
diverse,2,271,1.244104,9.714285714285715e-06
diverse,2,272,1.760996,9.63265306122449e-06
diverse,2,273,7.061188,9.551020408163266e-06
diverse,2,274,1.098761,9.469387755102041e-06
diverse,2,275,1.643768,9.387755102040818e-06
diverse,2,276,2.029145,9.306122448979593e-06
diverse,2,277,1.160414,9.224489795918367e-06
diverse,2,278,2.652809,9.142857142857144e-06
diverse,2,279,3.131952,9.061224489795919e-06
diverse,2,280,2.612206,8.979591836734695e-06
diverse,2,281,2.726845,8.89795918367347e-06
diverse,2,282,1.264172,8.816326530612247e-06
diverse,2,283,0.462582,8.734693877551021e-06
diverse,2,284,7.024004,8.653061224489798e-06
diverse,2,285,1.14414,8.571428571428571e-06
diverse,2,286,1.711168,8.489795918367347e-06
diverse,2,287,0.481906,8.408163265306122e-06
diverse,2,288,7.759873,8.326530612244899e-06
diverse,2,289,0.321299,8.244897959183674e-06
diverse,2,290,0.648306,8.16326530612245e-06
diverse,2,291,2.002081,8.081632653061225e-06
diverse,2,292,2.066784,8.000000000000001e-06
diverse,2,293,0.641388,7.918367346938776e-06
diverse,2,294,2.203752,7.836734693877551e-06
