phase,epoch,step,loss,lr
full,1,1,3.689711,2.564102564102564e-07
full,1,2,7.660252,5.128205128205128e-07
full,1,3,3.813671,7.692307692307694e-07
full,1,4,5.247736,1.0256410256410257e-06
full,1,5,5.273065,1.282051282051282e-06
full,1,6,3.374648,1.5384615384615387e-06
full,1,7,3.152364,1.794871794871795e-06
full,1,8,1.556388,2.0512820512820513e-06
full,1,9,3.857634,2.307692307692308e-06
full,1,10,2.699373,2.564102564102564e-06
full,1,11,1.99544,2.8205128205128207e-06
full,1,12,4.038414,3.0769230769230774e-06
full,1,13,8.022614,3.3333333333333333e-06
full,1,14,3.685089,3.58974358974359e-06
full,1,15,1.990149,3.846153846153847e-06
full,1,16,4.010071,4.102564102564103e-06
full,1,17,4.502236,4.358974358974359e-06
full,1,18,5.424057,4.615384615384616e-06
full,1,19,6.596914,4.871794871794872e-06
full,1,20,6.405571,5.128205128205128e-06
full,1,21,2.769801,5.384615384615385e-06
full,1,22,6.498729,5.641025641025641e-06
full,1,23,2.092991,5.897435897435898e-06
full,1,24,4.78029,6.153846153846155e-06
full,1,25,5.160674,6.410256410256412e-06
full,1,26,4.698743,6.666666666666667e-06
full,1,27,5.819196,6.923076923076923e-06
full,1,28,3.443681,7.17948717948718e-06
full,1,29,2.77844,7.435897435897437e-06
full,1,30,4.205509,7.692307692307694e-06
full,1,31,7.525581,7.948717948717949e-06
full,1,32,8.204226,8.205128205128205e-06
full,1,33,5.390116,8.461538461538462e-06
full,1,34,6.295053,8.717948717948719e-06
full,1,35,4.306932,8.974358974358976e-06
full,1,36,2.635129,9.230769230769232e-06
full,1,37,9.071882,9.487179487179487e-06
full,1,38,8.06611,9.743589743589744e-06
full,1,39,5.162775,1e-05
full,1,40,1.995337,1.0256410256410256e-05
full,1,41,5.669082,1.0512820512820514e-05
full,1,42,2.877602,1.076923076923077e-05
full,1,43,4.071923,1.1025641025641028e-05
full,1,44,6.149402,1.1282051282051283e-05
full,1,45,6.247509,1.1538461538461538e-05
full,1,46,3.86064,1.1794871794871796e-05
full,1,47,5.707872,1.2051282051282051e-05
full,1,48,9.464818,1.230769230769231e-05
full,1,49,3.30705,1.2564102564102565e-05
full,1,50,2.072183,1.2820512820512823e-05
full,1,51,6.224124,1.3076923076923078e-05
full,1,52,3.997149,1.3333333333333333e-05
full,1,53,7.988201,1.3589743589743592e-05
full,1,54,2.568624,1.3846153846153847e-05
full,1,55,3.987315,1.4102564102564105e-05
full,1,56,5.916654,1.435897435897436e-05
full,1,57,3.416029,1.4615384615384615e-05
full,1,58,2.514758,1.4871794871794874e-05
full,1,59,5.462813,1.5128205128205129e-05
full,1,60,3.054522,1.5384615384615387e-05
full,1,61,4.306564,1.5641025641025644e-05
full,1,62,1.572107,1.5897435897435897e-05
full,1,63,5.790828,1.6153846153846154e-05
full,1,64,4.876975,1.641025641025641e-05
full,1,65,1.776007,1.6666666666666667e-05
full,1,66,5.106811,1.6923076923076924e-05
full,1,67,1.920933,1.717948717948718e-05
full,1,68,6.859654,1.7435897435897438e-05
full,1,69,4.644824,1.7692307692307694e-05
full,1,70,3.253505,1.794871794871795e-05
full,1,71,3.348098,1.8205128205128208e-05
full,1,72,2.675422,1.8461538461538465e-05
full,1,73,3.858831,1.8717948717948718e-05
full,1,74,1.417775,1.8974358974358975e-05
full,1,75,2.172039,1.923076923076923e-05
full,1,76,2.570117,1.9487179487179488e-05
full,1,77,3.277323,1.9743589743589745e-05
full,1,78,4.820257,2e-05
full,1,79,2.15331,1.9983660130718956e-05
full,1,80,5.025317,1.996732026143791e-05
full,1,81,3.109383,1.9950980392156866e-05
full,1,82,2.604514,1.993464052287582e-05
full,1,83,3.346432,1.9918300653594775e-05
full,1,84,3.519071,1.9901960784313726e-05
full,1,85,2.794886,1.988562091503268e-05
full,1,86,2.328801,1.9869281045751635e-05
full,1,87,6.434716,1.985294117647059e-05
full,1,88,2.706581,1.9836601307189545e-05
full,1,89,7.684802,1.98202614379085e-05
full,1,90,3.262138,1.9803921568627454e-05
full,1,91,2.621503,1.978758169934641e-05
full,1,92,10.387653,1.9771241830065363e-05
full,1,93,7.541615,1.9754901960784318e-05
full,1,94,6.57104,1.973856209150327e-05
full,1,95,3.359279,1.9722222222222224e-05
full,1,96,3.212331,1.9705882352941178e-05
full,1,97,4.275145,1.9689542483660133e-05
full,1,98,5.963658,1.9673202614379084e-05
full,1,99,2.954804,1.965686274509804e-05
full,1,100,4.9297,1.9640522875816993e-05
full,1,101,3.629105,1.9624183006535948e-05
full,1,102,3.964246,1.9607843137254903e-05
full,1,103,4.499626,1.9591503267973857e-05
full,1,104,7.469025,1.9575163398692812e-05
full,1,105,3.555035,1.9558823529411766e-05
full,1,106,8.134756,1.954248366013072e-05
full,1,107,4.822038,1.9526143790849676e-05
full,1,108,3.889086,1.950980392156863e-05
full,1,109,4.375833,1.949346405228758e-05
full,1,110,4.485649,1.9477124183006536e-05
full,1,111,2.258258,1.946078431372549e-05
full,1,112,4.308578,1.9444444444444445e-05
full,1,113,4.946986,1.94281045751634e-05
full,1,114,3.616009,1.9411764705882355e-05
full,1,115,4.854712,1.939542483660131e-05
full,1,116,3.530468,1.9379084967320264e-05
full,1,117,9.784124,1.936274509803922e-05
full,1,118,6.181239,1.9346405228758173e-05
full,1,119,8.018461,1.9330065359477124e-05
full,1,120,1.849855,1.931372549019608e-05
full,1,121,2.260688,1.9297385620915034e-05
full,1,122,6.984383,1.9281045751633988e-05
full,1,123,7.041498,1.9264705882352943e-05
full,1,124,4.972306,1.9248366013071898e-05
full,1,125,4.06554,1.9232026143790852e-05
full,1,126,4.145625,1.9215686274509807e-05
full,1,127,2.335308,1.919934640522876e-05
full,1,128,4.618018,1.9183006535947716e-05
full,1,129,3.491285,1.916666666666667e-05
full,1,130,4.423027,1.9150326797385622e-05
full,1,131,2.320626,1.9133986928104576e-05
full,1,132,2.402542,1.911764705882353e-05
full,1,133,4.696462,1.9101307189542486e-05
full,1,134,3.921255,1.908496732026144e-05
full,1,135,4.503552,1.9068627450980395e-05
full,1,136,5.350494,1.9052287581699346e-05
full,1,137,4.444005,1.90359477124183e-05
full,1,138,8.366882,1.9019607843137255e-05
full,1,139,2.893784,1.900326797385621e-05
full,1,140,2.795585,1.8986928104575165e-05
full,1,141,4.508145,1.897058823529412e-05
full,1,142,4.201033,1.8954248366013074e-05
full,1,143,4.332602,1.893790849673203e-05
full,1,144,2.31414,1.892156862745098e-05
full,1,145,4.537865,1.8905228758169934e-05
full,1,146,4.047691,1.888888888888889e-05
full,1,147,4.840036,1.8872549019607844e-05
full,1,148,3.409264,1.88562091503268e-05
full,1,149,5.870388,1.8839869281045753e-05
full,1,150,5.385846,1.8823529411764708e-05
full,1,151,4.948472,1.8807189542483662e-05
full,1,152,6.385324,1.8790849673202617e-05
full,1,153,5.359923,1.877450980392157e-05
full,1,154,1.50553,1.8758169934640523e-05
full,1,155,6.165088,1.8741830065359477e-05
full,1,156,4.072289,1.8725490196078432e-05
full,1,157,5.818995,1.8709150326797387e-05
full,1,158,4.333863,1.869281045751634e-05
full,1,159,3.239692,1.8676470588235296e-05
full,1,160,3.861341,1.866013071895425e-05
full,1,161,9.254992,1.8643790849673205e-05
full,1,162,3.975381,1.862745098039216e-05
full,1,163,2.579075,1.8611111111111114e-05
full,1,164,3.178281,1.859477124183007e-05
full,1,165,4.212162,1.857843137254902e-05
full,1,166,3.598843,1.8562091503267975e-05
full,1,167,4.925079,1.854575163398693e-05
full,1,168,5.28884,1.8529411764705884e-05
full,1,169,2.672547,1.851307189542484e-05
full,1,170,1.78215,1.8496732026143793e-05
full,1,171,3.870774,1.8480392156862748e-05
full,1,172,5.042562,1.8464052287581703e-05
full,1,173,4.428252,1.8447712418300657e-05
full,1,174,4.657001,1.843137254901961e-05
full,1,175,4.292897,1.8415032679738563e-05
full,1,176,1.559369,1.8398692810457518e-05
full,1,177,1.926045,1.8382352941176472e-05
full,1,178,4.780254,1.8366013071895427e-05
full,1,179,2.801252,1.8349673202614378e-05
full,1,180,2.364417,1.8333333333333333e-05
full,1,181,9.44901,1.8316993464052287e-05
full,1,182,6.51941,1.8300653594771242e-05
full,1,183,2.150896,1.8284313725490197e-05
full,1,184,3.248635,1.826797385620915e-05
full,1,185,5.690235,1.8251633986928106e-05
full,1,186,4.202887,1.823529411764706e-05
full,1,187,2.509712,1.8218954248366015e-05
full,1,188,6.005642,1.820261437908497e-05
full,1,189,3.141176,1.8186274509803924e-05
full,1,190,3.029285,1.8169934640522876e-05
full,1,191,2.103249,1.815359477124183e-05
