mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
is,micro_f1,0.732640,0.012891,0.721863,0.743417,8
is,macro_f1,0.433101,0.028063,0.409640,0.456562,8
is,accuracy,0.732640,0.012891,0.721863,0.743417,8
is,hard_slice_macro_f1,0.238915,0.034829,0.209798,0.268033,8
cl,micro_f1,0.725684,0.014410,0.713637,0.737731,8
cl,macro_f1,0.382002,0.039068,0.349340,0.414663,8
cl,accuracy,0.725684,0.014410,0.713637,0.737731,8
cl,hard_slice_macro_f1,0.256025,0.042038,0.220881,0.291169,8
is_cl,micro_f1,0.720667,0.009396,0.712812,0.728522,8
is_cl,macro_f1,0.372125,0.032811,0.344695,0.399556,8
is_cl,accuracy,0.720667,0.009396,0.712812,0.728522,8
is_cl,hard_slice_macro_f1,0.257374,0.036677,0.226711,0.288036,8
