phase,epoch,step,loss,lr
full,1,1,1.056518,1.639344262295082e-07
full,1,2,3.293063,3.278688524590164e-07
full,1,3,7.205712,4.918032786885246e-07
full,1,4,1.746338,6.557377049180328e-07
full,1,5,2.463508,8.196721311475409e-07
full,1,6,7.245745,9.836065573770493e-07
full,1,7,3.532815,1.1475409836065575e-06
full,1,8,5.403887,1.3114754098360657e-06
full,1,9,4.180904,1.4754098360655739e-06
full,1,10,5.733974,1.6393442622950819e-06
full,1,11,8.236903,1.8032786885245903e-06
full,1,12,7.440278,1.9672131147540985e-06
full,1,13,2.146919,2.1311475409836067e-06
full,1,14,1.205908,2.295081967213115e-06
full,1,15,2.008325,2.459016393442623e-06
full,1,16,1.704828,2.6229508196721314e-06
full,1,17,3.254722,2.786885245901639e-06
full,1,18,1.089115,2.9508196721311478e-06
full,1,19,5.052881,3.114754098360656e-06
full,1,20,1.826498,3.2786885245901638e-06
full,1,21,1.095861,3.4426229508196724e-06
full,1,22,3.396935,3.6065573770491806e-06
full,1,23,7.295093,3.7704918032786884e-06
full,1,24,7.637109,3.934426229508197e-06
full,1,25,3.764277,4.098360655737705e-06
full,1,26,8.827242,4.2622950819672135e-06
full,1,27,2.95455,4.426229508196722e-06
full,1,28,1.209291,4.59016393442623e-06
full,1,29,5.178129,4.754098360655738e-06
full,1,30,1.702001,4.918032786885246e-06
full,1,31,5.268416,5.0819672131147545e-06
full,1,32,2.819023,5.245901639344263e-06
full,1,33,2.178802,5.409836065573772e-06
full,1,34,10.164401,5.573770491803278e-06
full,1,35,2.49135,5.737704918032787e-06
full,1,36,3.55652,5.9016393442622956e-06
full,1,37,14.672697,6.065573770491804e-06
full,1,38,2.469485,6.229508196721312e-06
full,1,39,3.099042,6.393442622950821e-06
full,1,40,3.642287,6.5573770491803276e-06
full,1,41,11.217345,6.721311475409837e-06
full,1,42,7.772465,6.885245901639345e-06
full,1,43,6.486746,7.049180327868853e-06
full,1,44,2.537196,7.213114754098361e-06
full,1,45,9.510696,7.3770491803278695e-06
full,1,46,2.544876,7.540983606557377e-06
full,1,47,3.800238,7.704918032786886e-06
full,1,48,2.805468,7.868852459016394e-06
full,1,49,3.728888,8.032786885245902e-06
full,1,50,5.658391,8.19672131147541e-06
full,1,51,1.90231,8.360655737704919e-06
full,1,52,2.323198,8.524590163934427e-06
full,1,53,3.81571,8.688524590163935e-06
full,1,54,5.422617,8.852459016393443e-06
full,1,55,2.367949,9.016393442622952e-06
full,1,56,4.491052,9.18032786885246e-06
full,1,57,4.219328,9.344262295081968e-06
full,1,58,2.542736,9.508196721311476e-06
full,1,59,3.180669,9.672131147540984e-06
full,1,60,15.114781,9.836065573770493e-06
full,1,61,2.716248,1e-05
full,1,62,7.12001,1.0163934426229509e-05
full,1,63,7.494415,1.0327868852459017e-05
full,1,64,1.78746,1.0491803278688525e-05
full,1,65,2.930051,1.0655737704918034e-05
full,1,66,3.627111,1.0819672131147544e-05
full,1,67,3.631713,1.0983606557377052e-05
full,1,68,3.947798,1.1147540983606557e-05
full,1,69,4.42608,1.1311475409836066e-05
full,1,70,1.394393,1.1475409836065575e-05
full,1,71,1.771861,1.1639344262295083e-05
full,1,72,2.781669,1.1803278688524591e-05
full,1,73,6.875,1.19672131147541e-05
full,1,74,3.1728,1.2131147540983608e-05
full,1,75,2.895384,1.2295081967213116e-05
full,1,76,5.96847,1.2459016393442624e-05
full,1,77,3.030937,1.2622950819672132e-05
full,1,78,5.841886,1.2786885245901642e-05
full,1,79,3.012109,1.295081967213115e-05
full,1,80,5.215804,1.3114754098360655e-05
full,1,81,4.407583,1.3278688524590165e-05
full,1,82,2.570975,1.3442622950819673e-05
full,1,83,4.087576,1.3606557377049181e-05
full,1,84,4.192755,1.377049180327869e-05
full,1,85,6.109022,1.3934426229508198e-05
full,1,86,2.407606,1.4098360655737706e-05
full,1,87,5.640263,1.4262295081967214e-05
full,1,88,2.278692,1.4426229508196722e-05
full,1,89,4.18942,1.459016393442623e-05
full,1,90,1.763461,1.4754098360655739e-05
full,1,91,1.78784,1.4918032786885249e-05
full,1,92,5.434837,1.5081967213114754e-05
full,1,93,4.144485,1.5245901639344264e-05
full,1,94,6.334872,1.5409836065573772e-05
full,1,95,5.169702,1.5573770491803278e-05
full,1,96,3.387372,1.5737704918032788e-05
full,1,97,5.688355,1.5901639344262295e-05
full,1,98,3.48998,1.6065573770491805e-05
