event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,full,1,1,2.707551,2.597402597402598e-07,,,,,141.8125,141.8125
train_step,full,1,2,3.877123,5.194805194805196e-07,,,,,146.078125,292.15625
train_step,full,1,3,3.80797,7.792207792207792e-07,,,,,151.0,453.0
train_step,full,1,4,5.614416,1.0389610389610392e-06,,,,,153.4765625,613.90625
train_step,full,1,5,3.392387,1.2987012987012986e-06,,,,,152.9,764.5
train_step,full,1,6,3.981944,1.5584415584415584e-06,,,,,154.8125,928.875
train_step,full,1,7,3.587044,1.8181818181818183e-06,,,,,154.49553571428572,1081.46875
train_step,full,1,8,2.503606,2.0779220779220784e-06,,,,,153.515625,1228.125
train_step,full,1,9,6.584993,2.337662337662338e-06,,,,,156.67013888888889,1410.03125
train_step,full,1,10,3.308118,2.597402597402597e-06,,,,,158.059375,1580.59375
train_step,full,1,11,5.319149,2.8571428571428573e-06,,,,,158.30113636363637,1741.3125
train_step,full,1,12,2.395383,3.116883116883117e-06,,,,,159.11197916666666,1909.34375
train_step,full,1,13,4.677691,3.376623376623377e-06,,,,,157.91105769230768,2052.84375
train_step,full,1,14,1.984736,3.6363636363636366e-06,,,,,157.421875,2203.90625
train_step,full,1,15,2.617989,3.896103896103897e-06,,,,,154.67083333333332,2320.0625
train_step,full,1,16,3.873279,4.155844155844157e-06,,,,,153.666015625,2458.65625
train_step,full,1,17,1.737121,4.415584415584416e-06,,,,,153.50551470588235,2609.59375
train_step,full,1,18,2.990001,4.675324675324676e-06,,,,,153.171875,2757.09375
train_step,full,1,19,5.15906,4.935064935064935e-06,,,,,153.26315789473685,2912.0
train_step,full,1,20,3.942114,5.194805194805194e-06,,,,,153.9296875,3078.59375
train_step,full,1,21,5.545351,5.4545454545454545e-06,,,,,154.80357142857142,3250.8749999999995
train_step,full,1,22,3.913148,5.7142857142857145e-06,,,,,155.78125,3427.1875
train_step,full,1,23,8.949575,5.9740259740259746e-06,,,,,155.33695652173913,3572.75
train_step,full,1,24,3.427075,6.233766233766234e-06,,,,,155.79947916666666,3739.1875
train_step,full,1,25,4.127939,6.493506493506494e-06,,,,,156.2125,3905.3125
train_step,full,1,26,4.9327,6.753246753246754e-06,,,,,157.03365384615384,4082.875
train_step,full,1,27,3.240347,7.012987012987014e-06,,,,,156.48958333333334,4225.21875
train_step,full,1,28,1.132454,7.272727272727273e-06,,,,,156.44977678571428,4380.59375
train_step,full,1,29,2.71028,7.532467532467533e-06,,,,,156.52262931034483,4539.15625
train_step,full,1,30,8.883137,7.792207792207793e-06,,,,,156.653125,4699.59375
train_step,full,1,31,2.029821,8.051948051948052e-06,,,,,157.2983870967742,4876.25
train_step,full,1,32,3.063349,8.311688311688313e-06,,,,,157.62890625,5044.125
train_step,full,1,33,6.679712,8.571428571428571e-06,,,,,157.85795454545453,5209.3125
train_step,full,1,34,7.38085,8.831168831168832e-06,,,,,157.98529411764707,5371.5
train_step,full,1,35,6.381928,9.090909090909091e-06,,,,,158.08303571428573,5532.906250000001
train_step,full,1,36,2.163503,9.350649350649352e-06,,,,,158.69965277777777,5713.1875
train_step,full,1,37,4.234795,9.610389610389611e-06,,,,,158.91469594594594,5879.84375
train_step,full,1,38,3.806118,9.87012987012987e-06,,,,,159.04769736842104,6043.8125
train_step,full,1,39,5.023756,1.012987012987013e-05,,,,,158.7596153846154,6191.625
train_step,full,1,40,3.27037,1.0389610389610389e-05,,,,,159.140625,6365.625
train_step,full,1,41,5.257469,1.064935064935065e-05,,,,,159.87423780487805,6554.84375
train_step,full,1,42,5.337,1.0909090909090909e-05,,,,,159.09300595238096,6681.90625
train_step,full,1,43,4.512212,1.116883116883117e-05,,,,,159.67514534883722,6866.03125
train_step,full,1,44,5.087283,1.1428571428571429e-05,,,,,159.25355113636363,7007.15625
train_step,full,1,45,5.031352,1.1688311688311688e-05,,,,,159.67430555555555,7185.34375
train_step,full,1,46,4.807185,1.1948051948051949e-05,,,,,159.8430706521739,7352.78125
train_step,full,1,47,8.719315,1.2207792207792208e-05,,,,,159.27726063829786,7486.031249999999
train_step,full,1,48,5.542634,1.2467532467532468e-05,,,,,158.990234375,7631.53125
train_step,full,1,49,7.013869,1.2727272727272728e-05,,,,,158.86352040816325,7784.312499999999
train_step,full,1,50,2.134224,1.2987012987012988e-05,,,,,158.870625,7943.531249999999
train_step,full,1,51,2.256215,1.3246753246753249e-05,,,,,158.98039215686273,8107.999999999999
train_step,full,1,52,6.313755,1.3506493506493508e-05,,,,,159.21634615384616,8279.25
train_step,full,1,53,2.816126,1.3766233766233767e-05,,,,,159.12676886792454,8433.71875
train_step,full,1,54,2.746172,1.4025974025974028e-05,,,,,159.08912037037038,8590.8125
train_step,full,1,55,6.242862,1.4285714285714287e-05,,,,,159.23181818181817,8757.75
train_step,full,1,56,5.056166,1.4545454545454546e-05,,,,,159.19642857142858,8915.0
train_step,full,1,57,5.667548,1.4805194805194807e-05,,,,,159.36293859649123,9083.6875
train_step,full,1,58,3.980163,1.5064935064935066e-05,,,,,159.25808189655172,9236.96875
train_step,full,1,59,5.533687,1.5324675324675326e-05,,,,,159.21186440677965,9393.5
train_step,full,1,60,2.643179,1.5584415584415587e-05,,,,,158.73697916666666,9524.21875
train_step,full,1,61,6.509449,1.5844155844155847e-05,,,,,158.86834016393442,9690.96875
train_step,full,1,62,3.700191,1.6103896103896105e-05,,,,,158.83870967741936,9848.0
train_step,full,1,63,5.898279,1.6363636363636366e-05,,,,,158.93353174603175,10012.8125
train_step,full,1,64,2.038403,1.6623376623376627e-05,,,,,159.09912109375,10182.34375
train_step,full,1,65,3.939418,1.6883116883116884e-05,,,,,158.94375,10331.34375
train_step,full,1,66,3.924211,1.7142857142857142e-05,,,,,159.02272727272728,10495.5
train_step,full,1,67,4.664447,1.7402597402597403e-05,,,,,159.0321828358209,10655.15625
train_step,full,1,68,6.063408,1.7662337662337664e-05,,,,,158.99034926470588,10811.34375
train_step,full,1,69,2.405077,1.792207792207792e-05,,,,,158.86865942028984,10961.9375
train_step,full,1,70,3.396579,1.8181818181818182e-05,,,,,158.60758928571428,11102.53125
train_step,full,1,71,8.23214,1.8441558441558443e-05,,,,,158.56954225352112,11258.4375
train_step,full,1,72,4.054363,1.8701298701298704e-05,,,,,158.33463541666666,11400.09375
train_step,full,1,73,8.243811,1.896103896103896e-05,,,,,158.5423801369863,11573.59375
train_step,full,1,74,5.403255,1.9220779220779222e-05,,,,,158.43285472972974,11724.03125
train_step,full,1,75,6.732676,1.9480519480519483e-05,,,,,158.30541666666667,11872.90625
train_step,full,1,76,3.655115,1.974025974025974e-05,,,,,158.60978618421052,12054.34375
train_step,full,1,77,1.45768,2e-05,,,,,158.625,12214.125
train_step,full,1,78,6.866836,1.9983593109105826e-05,,,,,158.70192307692307,12378.75
train_step,full,1,79,5.445404,1.996718621821165e-05,,,,,158.83069620253164,12547.625
train_step,full,1,80,5.388314,1.9950779327317476e-05,,,,,159.273046875,12741.84375
train_step,full,1,81,4.799139,1.99343724364233e-05,,,,,159.3954475308642,12911.03125
train_step,full,1,82,5.095377,1.9917965545529122e-05,,,,,159.54153963414635,13082.40625
train_step,full,1,83,5.003959,1.990155865463495e-05,,,,,159.46875,13235.90625
train_step,full,1,84,4.961917,1.9885151763740772e-05,,,,,159.390625,13388.8125
train_step,full,1,85,4.668283,1.9868744872846597e-05,,,,,159.2889705882353,13539.5625
train_step,full,1,86,1.639534,1.9852337981952422e-05,,,,,159.375,13706.25
train_step,full,1,87,5.027645,1.9835931091058247e-05,,,,,159.11961206896552,13843.40625
train_step,full,1,88,4.491592,1.981952420016407e-05,,,,,159.0596590909091,13997.25
train_step,full,1,89,3.646573,1.9803117309269896e-05,,,,,159.35077247191012,14182.21875
train_step,full,1,90,4.312157,1.9786710418375718e-05,,,,,159.32569444444445,14339.3125
train_step,full,1,91,7.297048,1.9770303527481546e-05,,,,,159.44196428571428,14509.21875
train_step,full,1,92,5.837203,1.9753896636587367e-05,,,,,159.375,14662.5
train_step,full,1,93,4.802445,1.9737489745693192e-05,,,,,159.33770161290323,14818.40625
train_step,full,1,94,2.836581,1.9721082854799017e-05,,,,,159.15492021276594,14960.562499999998
train_step,full,1,95,4.013537,1.9704675963904842e-05,,,,,159.31052631578947,15134.5
train_step,full,1,96,5.415898,1.9688269073010667e-05,,,,,159.17805989583334,15281.09375
train_step,full,1,97,7.252508,1.967186218211649e-05,,,,,159.1166237113402,15434.312499999998
train_step,full,1,98,2.883244,1.9655455291222313e-05,,,,,159.20121173469389,15601.71875
train_step,full,1,99,6.172235,1.963904840032814e-05,,,,,159.10416666666666,15751.312499999998
train_step,full,1,100,5.341448,1.9622641509433963e-05,,,,,159.2134375,15921.34375
train_step,full,1,101,6.695531,1.9606234618539787e-05,,,,,159.4477103960396,16104.21875
train_step,full,1,102,3.735815,1.9589827727645612e-05,,,,,159.64644607843138,16283.9375
train_step,full,1,103,4.569367,1.9573420836751437e-05,,,,,159.72208737864077,16451.375
train_step,full,1,104,1.590719,1.9557013945857262e-05,,,,,159.63221153846155,16601.75
train_step,full,1,105,5.275197,1.9540607054963087e-05,,,,,159.7357142857143,16772.25
train_step,full,1,106,3.066871,1.952420016406891e-05,,,,,159.7727004716981,16935.90625
train_step,full,1,107,4.864469,1.9507793273174736e-05,,,,,159.6708528037383,17084.78125
train_step,full,1,108,3.41359,1.9491386382280558e-05,,,,,159.70283564814815,17247.90625
train_step,full,1,109,3.117686,1.9474979491386383e-05,,,,,159.766628440367,17414.5625
train_step,full,1,110,5.011245,1.945857260049221e-05,,,,,160.0255681818182,17602.8125
train_step,full,1,111,3.813975,1.9442165709598032e-05,,,,,160.19679054054055,17781.84375
train_step,full,1,112,4.001718,1.9425758818703857e-05,,,,,160.1484375,17936.625
train_step,full,1,113,3.885863,1.9409351927809682e-05,,,,,160.14933628318585,18096.875
train_step,full,1,114,2.072918,1.9392945036915507e-05,,,,,160.33333333333334,18278.0
train_step,full,1,115,5.337444,1.937653814602133e-05,,,,,160.23342391304348,18426.84375
train_step,full,1,116,2.872886,1.9360131255127153e-05,,,,,160.06169181034483,18567.15625
train_step,full,1,117,3.843826,1.9343724364232978e-05,,,,,159.93536324786325,18712.4375
train_step,full,1,118,2.626291,1.9327317473338806e-05,,,,,160.01959745762713,18882.3125
train_step,full,1,119,5.200457,1.9310910582444628e-05,,,,,159.96454831932772,19035.78125
train_step,full,1,120,6.223752,1.9294503691550452e-05,,,,,159.93177083333333,19191.8125
train_step,full,1,121,6.689359,1.9278096800656277e-05,,,,,159.97210743801654,19356.625
train_step,full,1,122,2.716315,1.9261689909762102e-05,,,,,159.99359631147541,19519.21875
train_step,full,1,123,1.767753,1.9245283018867927e-05,,,,,159.90802845528455,19668.6875
train_step,full,1,124,9.722475,1.9228876127973752e-05,,,,,159.8397177419355,19820.125
train_step,full,1,125,6.277061,1.9212469237079573e-05,,,,,159.86225,19982.78125
train_step,full,1,126,4.058991,1.91960623461854e-05,,,,,159.78546626984127,20132.96875
train_step,full,1,127,2.612833,1.9179655455291223e-05,,,,,159.6656003937008,20277.53125
train_step,full,1,128,3.072351,1.9163248564397048e-05,,,,,159.31884765625,20392.8125
train_step,full,1,129,2.848431,1.9146841673502873e-05,,,,,159.2235949612403,20539.84375
train_step,full,1,130,3.630657,1.9130434782608697e-05,,,,,159.30504807692307,20709.65625
train_step,full,1,131,3.693825,1.9114027891714522e-05,,,,,159.32919847328245,20872.125
train_step,full,1,132,5.223662,1.9097621000820347e-05,,,,,159.3589015151515,21035.375
train_step,full,1,133,6.426121,1.9081214109926172e-05,,,,,159.4093045112782,21201.4375
train_step,full,1,134,5.293918,1.9064807219031997e-05,,,,,159.54127798507463,21378.53125
train_step,full,1,135,5.672061,1.9048400328137818e-05,,,,,159.58819444444444,21544.40625
train_step,full,1,136,8.372051,1.9031993437243643e-05,,,,,159.6999080882353,21719.1875
train_step,full,1,137,3.109409,1.9015586546349468e-05,,,,,159.81592153284672,21894.78125
train_step,full,1,138,2.52741,1.8999179655455293e-05,,,,,159.8346920289855,22057.1875
train_step,full,1,139,9.172507,1.8982772764561117e-05,,,,,159.73875899280574,22203.6875
train_step,full,1,140,2.992772,1.8966365873666942e-05,,,,,159.71160714285713,22359.625
train_step,full,1,141,3.941479,1.8949958982772767e-05,,,,,159.78102836879432,22529.125
train_step,full,1,142,3.480392,1.8933552091878592e-05,,,,,159.61663732394365,22665.5625
train_step,full,1,143,4.394313,1.8917145200984413e-05,,,,,159.6512237762238,22830.125
train_step,full,1,144,2.460953,1.8900738310090238e-05,,,,,159.75368923611111,23004.53125
train_step,full,1,145,4.287716,1.8884331419196063e-05,,,,,159.57349137931035,23138.15625
train_step,full,1,146,5.059463,1.8867924528301888e-05,,,,,159.63976883561645,23307.40625
train_step,full,1,147,6.605597,1.8851517637407713e-05,,,,,159.61181972789115,23462.9375
train_step,full,1,148,4.487674,1.8835110746513538e-05,,,,,159.6254222972973,23624.5625
train_step,full,1,149,7.42746,1.8818703855619362e-05,,,,,159.79299496644296,23809.15625
train_step,full,1,150,6.269411,1.8802296964725187e-05,,,,,159.830625,23974.59375
train_step,full,1,151,6.807613,1.878589007383101e-05,,,,,160.02793874172184,24164.218749999996
train_step,full,1,152,12.406939,1.8769483182936833e-05,,,,,160.07524671052633,24331.437500000004
train_step,full,1,153,6.116202,1.8753076292042662e-05,,,,,160.08047385620915,24492.3125
train_step,full,1,154,4.064035,1.8736669401148483e-05,,,,,160.0645292207792,24649.937499999996
train_step,full,1,155,3.050825,1.8720262510254308e-05,,,,,160.03326612903226,24805.15625
train_step,full,1,156,3.832139,1.8703855619360133e-05,,,,,159.93529647435898,24949.90625
train_step,full,1,157,6.058926,1.8687448728465958e-05,,,,,159.89032643312103,25102.781250000004
train_step,full,1,158,2.474804,1.8671041837571782e-05,,,,,159.83247626582278,25253.53125
train_step,full,1,159,2.511127,1.8654634946677604e-05,,,,,159.88364779874215,25421.5
train_step,full,1,160,3.549727,1.8638228055783432e-05,,,,,159.8572265625,25577.15625
train_step,full,1,161,8.997858,1.8621821164889257e-05,,,,,159.88509316770185,25741.5
train_step,full,1,162,3.696715,1.860541427399508e-05,,,,,160.0443672839506,25927.1875
train_step,full,1,163,4.870079,1.8589007383100903e-05,,,,,160.08071319018404,26093.15625
train_step,full,1,164,4.789768,1.8572600492206728e-05,,,,,160.0171493902439,26242.8125
train_step,full,1,165,8.001921,1.8556193601312553e-05,,,,,160.12556818181818,26420.71875
train_step,full,1,166,5.54344,1.8539786710418378e-05,,,,,160.17394578313252,26588.875
train_step,full,1,167,3.585127,1.8523379819524203e-05,,,,,160.23839820359282,26759.8125
train_step,full,1,168,2.470859,1.8506972928630027e-05,,,,,160.24925595238096,26921.875
train_step,full,1,169,5.52699,1.8490566037735852e-05,,,,,160.21449704142012,27076.25
train_step,full,1,170,5.425482,1.8474159146841674e-05,,,,,160.28970588235293,27249.25
train_step,full,1,171,1.628129,1.84577522559475e-05,,,,,160.1794590643275,27390.6875
