mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
raw,micro_f1,0.742449,0.008995,0.736014,0.748883,10
raw,macro_f1,0.457866,0.020693,0.443064,0.472669,10
raw,f1_weighted,0.739738,0.008551,0.733621,0.745855,10
raw,accuracy,0.742449,0.008995,0.736014,0.748883,10
raw,hard_slice_macro_f1,0.237270,0.035273,0.212037,0.262503,10
raw,avg_seq_len,151.781695,0.241377,151.609025,151.954366,10
raw,compute_proxy,307540.284249,873.773937,306915.224030,308165.344469,10
raw,best_val_macro_f1,0.500104,0.018495,0.486874,0.513335,10
raw,steps_to_best_val,1384.800000,372.888962,1118.051306,1651.548694,10
is,micro_f1,0.741698,0.013371,0.732132,0.751263,10
is,macro_f1,0.438543,0.018509,0.425302,0.451783,10
is,f1_weighted,0.735784,0.013955,0.725801,0.745767,10
is,accuracy,0.741698,0.013371,0.732132,0.751263,10
is,hard_slice_macro_f1,0.238635,0.029167,0.217770,0.259500,10
is,avg_seq_len,160.396865,0.749354,159.860809,160.932920,10
is,compute_proxy,208644.555644,1210.043564,207778.942624,209510.168664,10
is,best_val_macro_f1,0.470610,0.022102,0.454799,0.486421,10
is,steps_to_best_val,975.600000,255.331245,792.947031,1158.252969,10
cl,micro_f1,0.728265,0.014620,0.717807,0.738724,10
cl,macro_f1,0.384795,0.044436,0.353007,0.416583,10
cl,f1_weighted,0.713816,0.013698,0.704018,0.723615,10
cl,accuracy,0.728265,0.014620,0.717807,0.738724,10
cl,hard_slice_macro_f1,0.263791,0.041284,0.234258,0.293324,10
cl,avg_seq_len,137.042298,0.261191,136.855453,137.229142,10
cl,compute_proxy,172015.521826,453.803353,171690.890464,172340.153189,10
cl,best_val_macro_f1,0.388431,0.027970,0.368423,0.408439,10
cl,steps_to_best_val,1255.200000,2.149935,1253.662029,1256.737971,10
is_cl,micro_f1,0.726566,0.008090,0.720778,0.732353,10
is_cl,macro_f1,0.381475,0.034247,0.356976,0.405974,10
is_cl,f1_weighted,0.710978,0.009393,0.704259,0.717697,10
is_cl,accuracy,0.726566,0.008090,0.720778,0.732353,10
is_cl,hard_slice_macro_f1,0.270788,0.033156,0.247070,0.294507,10
is_cl,avg_seq_len,146.193576,0.690431,145.699671,146.687480,10
is_cl,compute_proxy,117305.213164,514.017779,116937.506996,117672.919333,10
is_cl,best_val_macro_f1,0.393979,0.026611,0.374942,0.413016,10
is_cl,steps_to_best_val,802.400000,2.065591,800.922365,803.877635,10
b1,micro_f1,0.740841,0.009185,0.734271,0.747412,10
b1,macro_f1,0.413600,0.031321,0.391194,0.436005,10
b1,f1_weighted,0.732942,0.008813,0.726638,0.739246,10
b1,accuracy,0.740841,0.009185,0.734271,0.747412,10
b1,hard_slice_macro_f1,0.262656,0.031754,0.239940,0.285371,10
b1,avg_seq_len,138.812008,0.247370,138.635050,138.988966,10
b1,compute_proxy,178900.904627,431.721031,178592.070006,179209.739248,10
b1,best_val_macro_f1,0.437923,0.024315,0.420529,0.455317,10
b1,steps_to_best_val,1288.800000,2.149935,1287.262029,1290.337971,10
