mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.727506,0.006721,0.719161,0.735852,5
cl,macro_f1,0.359978,0.037153,0.313847,0.406109,5
cl,f1_weighted,0.711802,0.004421,0.706313,0.717292,5
cl,accuracy,0.727506,0.006721,0.719161,0.735852,5
cl,hard_slice_macro_f1,0.269214,0.043727,0.214920,0.323509,5
cl,avg_seq_len,137.159886,0.507562,136.529664,137.790108,5
cl,compute_proxy,153344.613638,617.721945,152577.610538,154111.616739,5
cl,best_val_macro_f1,0.372852,0.017625,0.350968,0.394737,5
cl,steps_to_best_val,1118.000000,2.449490,1114.958557,1121.041443,5
is_cl,micro_f1,0.722025,0.007103,0.713205,0.730844,5
is_cl,macro_f1,0.354688,0.029692,0.317821,0.391555,5
is_cl,f1_weighted,0.702844,0.006289,0.695035,0.710653,5
is_cl,accuracy,0.722025,0.007103,0.713205,0.730844,5
is_cl,hard_slice_macro_f1,0.265211,0.025950,0.232989,0.297433,5
is_cl,avg_seq_len,146.170066,1.014646,144.910217,147.429916,5
is_cl,compute_proxy,104423.389668,640.946163,103627.549892,105219.229443,5
is_cl,best_val_macro_f1,0.363018,0.018281,0.340320,0.385717,5
is_cl,steps_to_best_val,714.400000,0.894427,713.289422,715.510578,5
