phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
step_01,2702,456,150.05501185823232,7.947158908471465,0.6550703182827535,0.13299291851539005,0.6129646413087386,0.6550703182827535,0.8,0.0654499446174481,139.01016343908805,63388.63452822415,0.1713741649288871,2.0,456.0
step_02,2702,990,159.81175536569208,7.958100481890142,0.7087342709104367,0.22041293100286719,0.6835060976648935,0.7087342709104367,0.8,0.12254337468476616,143.01990521327014,141589.70616113744,0.272507307860686,2.0,990.0
step_03,2702,1592,179.4632559241727,8.00613737758249,0.728719467061436,0.3253635771781982,0.7155923436196089,0.728719467061436,0.8,0.21066411422907158,146.57643449876116,233349.68372202775,0.35812302611224744,2.0,1592.0
step_04,2702,2194,179.6430855030194,7.92889425996691,0.7361213915618061,0.3979294956381745,0.7285291582591703,0.7361213915618061,0.8,0.2856539965716869,148.20235717139434,325155.9716340392,0.4027448460131474,2.0,2194.0
step_05,2702,2796,179.71155178453773,8.002491908147931,0.7379718726868986,0.41766750089424315,0.7336433210480257,0.7379718726868986,0.8,0.291857977988024,149.1281322077166,416962.25765277556,0.4144863236217713,2.0,2796.0
step_06,2702,3398,179.26165326870978,7.9377599051222205,0.7364914877868246,0.4423083093083325,0.7357473614920781,0.7364914877868246,0.8,0.2954447382730363,149.72588074882074,508768.5427844929,0.4144863236217713,2.0,2796.0
step_07,2702,4000,179.497634655796,8.012601568363607,0.7342709104367136,0.46124112790071453,0.732930384308569,0.7342709104367136,0.8,0.2862791530836604,150.14370685742014,600574.8274296806,0.4144863236217713,2.0,2796.0
step_08,2702,4602,179.6295904899016,7.933908192440867,0.7350111028867505,0.44950024658659216,0.7351386938512248,0.7350111028867505,0.8,0.24174222469720302,150.45221898723844,692381.1117792713,0.4286944659198999,1.0,4301.0
step_09,2702,5204,179.17247237451375,7.924725444056094,0.7313101406365655,0.4429955147216391,0.7319546657051996,0.7313101406365655,0.8,0.25055917594617283,150.68935356184656,784187.3959358495,0.4286944659198999,1.0,4301.0
step_10,2702,5806,179.47211630269885,7.949638715013862,0.728719467061436,0.44964790479180233,0.7317977665776813,0.728719467061436,0.8,0.226762346743705,150.87731311737048,875993.679959453,0.4286944659198999,1.0,4301.0
