mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.727690,0.006006,0.720233,0.735147,5
cl,macro_f1,0.421212,0.017285,0.399749,0.442674,5
cl,f1_weighted,0.728593,0.006025,0.721111,0.736074,5
cl,accuracy,0.727690,0.006006,0.720233,0.735147,5
cl,hard_slice_macro_f1,0.207954,0.024826,0.177128,0.238780,5
cl,avg_seq_len,150.426125,0.426501,149.896554,150.955697,5
cl,compute_proxy,875358.495554,2707.327778,871996.904121,878720.086987,5
cl,best_val_macro_f1,0.458466,0.029078,0.422361,0.494572,5
cl,steps_to_best_val,3949.600000,1202.580268,2456.399377,5442.800623,5
is_cl,micro_f1,0.730957,0.007712,0.721381,0.740533,5
is_cl,macro_f1,0.417955,0.010612,0.404778,0.431131,5
is_cl,f1_weighted,0.728853,0.007825,0.719136,0.738569,5
is_cl,accuracy,0.730957,0.007712,0.721381,0.740533,5
is_cl,hard_slice_macro_f1,0.232377,0.031866,0.192810,0.271944,5
is_cl,avg_seq_len,158.554446,0.917258,157.415521,159.693372,5
is_cl,compute_proxy,581126.107411,1798.891788,578892.488241,583359.726581,5
is_cl,best_val_macro_f1,0.446589,0.014619,0.428438,0.464741,5
is_cl,steps_to_best_val,2507.800000,682.311659,1660.598177,3355.001823,5
