phase,epoch,step,loss,lr
easy,1,1,1.16679,2.8571428571428573e-06
easy,1,2,0.777339,5.7142857142857145e-06
easy,1,3,0.869132,8.571428571428571e-06
easy,1,4,1.239844,1.1428571428571429e-05
easy,1,5,1.245674,1.4285714285714287e-05
easy,1,6,1.312703,1.7142857142857142e-05
easy,1,7,0.887653,2e-05
easy,1,8,0.875438,1.9831932773109244e-05
easy,1,9,1.056717,1.9663865546218487e-05
easy,1,10,1.094428,1.9495798319327733e-05
easy,1,11,0.810455,1.9327731092436976e-05
easy,1,12,0.864696,1.9159663865546222e-05
easy,1,13,0.921803,1.899159663865546e-05
easy,1,14,0.731866,1.8823529411764708e-05
easy,1,15,1.179984,1.865546218487395e-05
easy,1,16,0.944376,1.8487394957983196e-05
easy,1,17,0.976036,1.831932773109244e-05
easy,1,18,0.690951,1.8151260504201682e-05
easy,1,19,0.843613,1.7983193277310925e-05
easy,1,20,0.817645,1.781512605042017e-05
easy,1,21,0.584627,1.7647058823529414e-05
easy,1,22,0.550032,1.7478991596638656e-05
easy,1,23,0.625546,1.7310924369747902e-05
easy,1,24,9.278382,1.7142857142857142e-05
easy,1,25,0.723745,1.6974789915966388e-05
easy,1,26,0.731503,1.680672268907563e-05
easy,1,27,0.737787,1.6638655462184877e-05
easy,1,28,0.603852,1.647058823529412e-05
easy,1,29,0.626342,1.6302521008403362e-05
easy,1,30,0.42422,1.6134453781512605e-05
easy,1,31,0.518062,1.596638655462185e-05
easy,1,32,0.629205,1.5798319327731094e-05
easy,1,33,0.386035,1.5630252100840337e-05
easy,1,34,0.446097,1.5462184873949583e-05
easy,1,35,0.428277,1.5294117647058822e-05
easy,1,36,0.329114,1.5126050420168068e-05
easy,1,37,32.308216,1.4957983193277313e-05
easy,1,38,0.342369,1.4789915966386557e-05
easy,1,39,0.366603,1.4621848739495798e-05
easy,1,40,0.346471,1.4453781512605043e-05
easy,1,41,8.384044,1.4285714285714287e-05
easy,1,42,0.469102,1.4117647058823532e-05
easy,1,43,0.357985,1.3949579831932774e-05
easy,1,44,0.272389,1.3781512605042017e-05
easy,1,45,0.279486,1.3613445378151261e-05
easy,1,46,0.302986,1.3445378151260506e-05
easy,1,47,0.199078,1.3277310924369749e-05
easy,1,48,0.216409,1.3109243697478993e-05
easy,1,49,0.209088,1.2941176470588238e-05
easy,1,50,7.425159,1.2773109243697479e-05
easy,1,51,0.249851,1.2605042016806723e-05
easy,1,52,0.3134,1.2436974789915967e-05
easy,1,53,0.169011,1.2268907563025212e-05
easy,1,54,0.193017,1.2100840336134455e-05
easy,1,55,0.219202,1.1932773109243699e-05
easy,1,56,0.242524,1.1764705882352942e-05
easy,1,57,0.128793,1.1596638655462186e-05
easy,1,58,0.227758,1.1428571428571429e-05
easy,1,59,6.164683,1.1260504201680673e-05
easy,1,60,0.147209,1.1092436974789918e-05
easy,1,61,0.164961,1.0924369747899159e-05
easy,1,62,0.230042,1.0756302521008403e-05
easy,1,63,0.117514,1.0588235294117648e-05
easy,2,64,0.169212,1.0420168067226892e-05
easy,2,65,0.181891,1.0252100840336135e-05
easy,2,66,0.200092,1.008403361344538e-05
easy,2,67,0.12584,9.915966386554622e-06
easy,2,68,5.196743,9.747899159663867e-06
easy,2,69,0.075161,9.579831932773111e-06
easy,2,70,0.104056,9.411764705882354e-06
easy,2,71,0.144768,9.243697478991598e-06
easy,2,72,0.06863,9.075630252100841e-06
easy,2,73,0.100748,8.907563025210085e-06
easy,2,74,0.105762,8.739495798319328e-06
easy,2,75,0.11874,8.571428571428571e-06
easy,2,76,0.076035,8.403361344537815e-06
easy,2,77,0.391036,8.23529411764706e-06
easy,2,78,0.145049,8.067226890756303e-06
easy,2,79,0.104599,7.899159663865547e-06
easy,2,80,0.063134,7.731092436974791e-06
easy,2,81,0.085481,7.563025210084034e-06
easy,2,82,0.068812,7.394957983193279e-06
easy,2,83,0.163253,7.226890756302521e-06
easy,2,84,0.280648,7.058823529411766e-06
easy,2,85,0.177941,6.8907563025210085e-06
easy,2,86,0.099707,6.722689075630253e-06
easy,2,87,0.077625,6.5546218487394966e-06
easy,2,88,0.054532,6.386554621848739e-06
easy,2,89,0.157922,6.218487394957984e-06
easy,2,90,0.046659,6.050420168067227e-06
easy,2,91,0.067152,5.882352941176471e-06
easy,2,92,30.443134,5.7142857142857145e-06
easy,2,93,0.244976,5.546218487394959e-06
easy,2,94,0.092325,5.378151260504202e-06
easy,2,95,0.111213,5.210084033613446e-06
easy,2,96,5.502799,5.04201680672269e-06
easy,2,97,0.062829,4.873949579831933e-06
easy,2,98,0.063232,4.705882352941177e-06
easy,2,99,6.038256,4.5378151260504205e-06
easy,2,100,0.066188,4.369747899159664e-06
easy,2,101,0.076061,4.201680672268908e-06
easy,2,102,0.033975,4.033613445378151e-06
easy,2,103,0.051618,3.865546218487396e-06
easy,2,104,0.042117,3.6974789915966393e-06
easy,2,105,0.065553,3.529411764705883e-06
easy,2,106,0.067815,3.3613445378151265e-06
easy,2,107,0.159116,3.1932773109243696e-06
easy,2,108,0.039933,3.0252100840336137e-06
easy,2,109,0.06083,2.8571428571428573e-06
easy,2,110,0.050582,2.689075630252101e-06
easy,2,111,0.043139,2.521008403361345e-06
easy,2,112,0.172317,2.3529411764705885e-06
easy,2,113,0.076573,2.184873949579832e-06
easy,2,114,0.05919,2.0168067226890756e-06
easy,2,115,0.048689,1.8487394957983196e-06
easy,2,116,0.081422,1.6806722689075632e-06
easy,2,117,0.050052,1.5126050420168068e-06
easy,2,118,0.063897,1.3445378151260504e-06
easy,2,119,0.077248,1.1764705882352942e-06
easy,2,120,0.06349,1.0084033613445378e-06
easy,2,121,0.043786,8.403361344537816e-07
easy,2,122,0.06187,6.722689075630252e-07
easy,2,123,4.853425,5.042016806722689e-07
easy,2,124,0.042401,3.361344537815126e-07
easy,2,125,0.169185,1.680672268907563e-07
easy,2,126,0.057123,0.0
easy_medium,1,127,0.074837,1.3333333333333334e-06
easy_medium,1,128,0.104295,2.666666666666667e-06
easy_medium,1,129,2.086789,4.000000000000001e-06
easy_medium,1,130,0.049223,5.333333333333334e-06
easy_medium,1,131,0.056886,6.666666666666667e-06
easy_medium,1,132,2.392944,8.000000000000001e-06
easy_medium,1,133,0.365861,9.333333333333334e-06
easy_medium,1,134,0.066631,1.0666666666666667e-05
easy_medium,1,135,3.710303,1.2e-05
easy_medium,1,136,0.256186,1.3333333333333333e-05
easy_medium,1,137,0.215897,1.4666666666666666e-05
easy_medium,1,138,0.261691,1.6000000000000003e-05
easy_medium,1,139,3.87973,1.7333333333333336e-05
easy_medium,1,140,1.394951,1.866666666666667e-05
easy_medium,1,141,0.263394,2e-05
easy_medium,1,142,0.149132,1.9914893617021278e-05
easy_medium,1,143,0.222067,1.9829787234042554e-05
easy_medium,1,144,0.219095,1.974468085106383e-05
easy_medium,1,145,0.140868,1.9659574468085107e-05
easy_medium,1,146,0.26963,1.9574468085106384e-05
easy_medium,1,147,1.571236,1.948936170212766e-05
easy_medium,1,148,0.195242,1.9404255319148936e-05
easy_medium,1,149,0.108494,1.9319148936170213e-05
easy_medium,1,150,0.094735,1.923404255319149e-05
easy_medium,1,151,0.061734,1.914893617021277e-05
easy_medium,1,152,0.074312,1.9063829787234045e-05
easy_medium,1,153,0.114923,1.8978723404255322e-05
easy_medium,1,154,1.031131,1.8893617021276598e-05
easy_medium,1,155,0.133264,1.8808510638297875e-05
easy_medium,1,156,0.166873,1.872340425531915e-05
easy_medium,1,157,0.069079,1.8638297872340427e-05
easy_medium,1,158,5.061589,1.8553191489361704e-05
easy_medium,1,159,0.147209,1.846808510638298e-05
easy_medium,1,160,0.127209,1.8382978723404257e-05
easy_medium,1,161,0.148386,1.8297872340425533e-05
easy_medium,1,162,0.069558,1.821276595744681e-05
easy_medium,1,163,0.099691,1.8127659574468086e-05
easy_medium,1,164,0.233558,1.8042553191489362e-05
easy_medium,1,165,0.277551,1.795744680851064e-05
easy_medium,1,166,0.739289,1.7872340425531915e-05
easy_medium,1,167,2.696181,1.778723404255319e-05
easy_medium,1,168,0.24611,1.7702127659574468e-05
easy_medium,1,169,7.100451,1.7617021276595748e-05
easy_medium,1,170,0.43041,1.7531914893617024e-05
easy_medium,1,171,3.905264,1.74468085106383e-05
easy_medium,1,172,0.132034,1.7361702127659577e-05
easy_medium,1,173,0.173342,1.7276595744680853e-05
easy_medium,1,174,0.138132,1.719148936170213e-05
easy_medium,1,175,0.210155,1.7106382978723406e-05
easy_medium,1,176,2.793786,1.7021276595744682e-05
easy_medium,1,177,0.453904,1.693617021276596e-05
easy_medium,1,178,0.072428,1.6851063829787235e-05
easy_medium,1,179,0.197869,1.676595744680851e-05
easy_medium,1,180,0.146313,1.6680851063829788e-05
easy_medium,1,181,2.687786,1.6595744680851064e-05
easy_medium,1,182,0.357523,1.651063829787234e-05
easy_medium,1,183,0.05339,1.6425531914893617e-05
easy_medium,1,184,0.059363,1.6340425531914894e-05
easy_medium,1,185,0.127288,1.625531914893617e-05
easy_medium,1,186,3.638528,1.6170212765957446e-05
easy_medium,1,187,0.037909,1.6085106382978726e-05
easy_medium,1,188,0.264088,1.6000000000000003e-05
easy_medium,1,189,0.477225,1.591489361702128e-05
easy_medium,1,190,0.135377,1.5829787234042555e-05
easy_medium,1,191,0.137159,1.5744680851063832e-05
easy_medium,1,192,6.906675,1.5659574468085108e-05
easy_medium,1,193,0.087355,1.5574468085106385e-05
easy_medium,1,194,0.322125,1.548936170212766e-05
easy_medium,1,195,0.062769,1.5404255319148937e-05
easy_medium,1,196,0.08473,1.5319148936170214e-05
easy_medium,1,197,1.776454,1.523404255319149e-05
easy_medium,1,198,0.054917,1.5148936170212767e-05
easy_medium,1,199,0.091364,1.5063829787234043e-05
easy_medium,1,200,0.164045,1.497872340425532e-05
easy_medium,1,201,0.331389,1.4893617021276596e-05
easy_medium,1,202,0.382646,1.4808510638297872e-05
easy_medium,1,203,0.072909,1.4723404255319149e-05
easy_medium,1,204,0.04477,1.4638297872340425e-05
easy_medium,1,205,0.045164,1.4553191489361705e-05
easy_medium,1,206,2.310208,1.4468085106382981e-05
easy_medium,1,207,0.26948,1.4382978723404258e-05
easy_medium,1,208,2.255745,1.4297872340425534e-05
easy_medium,1,209,3.294468,1.421276595744681e-05
easy_medium,1,210,0.088781,1.4127659574468087e-05
easy_medium,1,211,0.070129,1.4042553191489363e-05
easy_medium,1,212,0.036879,1.395744680851064e-05
easy_medium,1,213,0.105425,1.3872340425531916e-05
easy_medium,1,214,1.038011,1.3787234042553192e-05
easy_medium,1,215,0.218275,1.3702127659574469e-05
easy_medium,1,216,0.171203,1.3617021276595745e-05
easy_medium,1,217,0.042303,1.3531914893617022e-05
easy_medium,1,218,0.065614,1.3446808510638298e-05
easy_medium,1,219,0.037615,1.3361702127659574e-05
easy_medium,1,220,0.287474,1.3276595744680851e-05
easy_medium,1,221,2.118509,1.3191489361702127e-05
easy_medium,1,222,1.095341,1.3106382978723404e-05
easy_medium,1,223,0.100414,1.3021276595744683e-05
easy_medium,1,224,4.626228,1.293617021276596e-05
easy_medium,1,225,0.051083,1.2851063829787236e-05
easy_medium,1,226,0.10619,1.2765957446808513e-05
easy_medium,1,227,0.109841,1.2680851063829789e-05
easy_medium,1,228,2.082757,1.2595744680851065e-05
