phase,epoch,step,loss,lr
full,1,1,2.108088,4.1666666666666667e-07
full,1,2,1.192049,8.333333333333333e-07
full,1,3,1.467271,1.25e-06
full,1,4,1.485326,1.6666666666666667e-06
full,1,5,1.65977,2.0833333333333334e-06
full,1,6,2.278909,2.5e-06
full,1,7,1.371612,2.916666666666667e-06
full,1,8,1.836809,3.3333333333333333e-06
full,1,9,2.227581,3.7500000000000005e-06
full,1,10,2.438434,4.166666666666667e-06
full,1,11,1.490194,4.583333333333333e-06
full,1,12,1.981363,5e-06
full,1,13,2.27301,5.416666666666667e-06
full,1,14,1.932644,5.833333333333334e-06
full,1,15,1.41016,6.25e-06
full,1,16,2.004287,6.666666666666667e-06
full,1,17,2.429751,7.083333333333335e-06
full,1,18,2.653329,7.500000000000001e-06
full,1,19,1.297559,7.916666666666667e-06
full,1,20,2.253736,8.333333333333334e-06
full,1,21,2.432904,8.750000000000001e-06
full,1,22,2.0627,9.166666666666666e-06
full,1,23,1.956222,9.583333333333335e-06
full,1,24,1.352293,1e-05
full,1,25,2.089856,1.0416666666666668e-05
full,1,26,1.988567,1.0833333333333334e-05
full,1,27,1.385892,1.125e-05
full,1,28,2.040747,1.1666666666666668e-05
full,1,29,2.47666,1.2083333333333333e-05
full,1,30,1.654393,1.25e-05
full,1,31,1.619296,1.2916666666666668e-05
full,1,32,2.977958,1.3333333333333333e-05
full,1,33,2.127317,1.375e-05
full,1,34,1.869727,1.416666666666667e-05
full,1,35,1.557303,1.4583333333333333e-05
full,1,36,1.608704,1.5000000000000002e-05
full,1,37,2.413927,1.5416666666666668e-05
full,1,38,2.474528,1.5833333333333333e-05
full,1,39,1.398044,1.6250000000000002e-05
full,1,40,2.494203,1.6666666666666667e-05
full,1,41,1.549771,1.7083333333333333e-05
full,1,42,2.483368,1.7500000000000002e-05
full,1,43,1.715923,1.7916666666666667e-05
full,1,44,1.710932,1.8333333333333333e-05
full,1,45,1.451376,1.8750000000000002e-05
full,1,46,1.458574,1.916666666666667e-05
full,1,47,1.645601,1.9583333333333333e-05
full,1,48,2.10435,2e-05
full,1,49,1.657206,1.9973958333333334e-05
full,1,50,1.487116,1.994791666666667e-05
full,1,51,2.352942,1.9921875e-05
full,1,52,1.263735,1.9895833333333334e-05
full,1,53,1.519473,1.986979166666667e-05
full,1,54,1.616495,1.984375e-05
full,1,55,2.030877,1.9817708333333333e-05
full,1,56,1.467755,1.979166666666667e-05
full,1,57,2.458175,1.9765625e-05
