phase,epoch,step,loss,lr
full,1,1,18.867874,1.6528925619834713e-07
full,1,2,3.260089,3.3057851239669426e-07
full,1,3,4.065722,4.958677685950413e-07
full,1,4,3.295307,6.611570247933885e-07
full,1,5,1.867681,8.264462809917356e-07
full,1,6,2.194268,9.917355371900827e-07
full,1,7,9.326612,1.15702479338843e-06
full,1,8,3.044606,1.322314049586777e-06
full,1,9,1.731798,1.4876033057851241e-06
full,1,10,3.74185,1.6528925619834712e-06
full,1,11,9.693842,1.8181818181818183e-06
full,1,12,3.739305,1.9834710743801654e-06
full,1,13,0.939712,2.1487603305785124e-06
full,1,14,1.891253,2.31404958677686e-06
full,1,15,2.598665,2.479338842975207e-06
full,1,16,5.105916,2.644628099173554e-06
full,1,17,3.645597,2.809917355371901e-06
full,1,18,1.734494,2.9752066115702483e-06
full,1,19,2.037225,3.1404958677685953e-06
full,1,20,2.118906,3.3057851239669424e-06
full,1,21,2.763136,3.4710743801652895e-06
full,1,22,3.419267,3.6363636363636366e-06
full,1,23,8.455963,3.801652892561984e-06
full,1,24,4.800062,3.966942148760331e-06
full,1,25,2.068585,4.132231404958678e-06
full,1,26,2.28028,4.297520661157025e-06
full,1,27,2.172709,4.462809917355372e-06
full,1,28,2.484078,4.62809917355372e-06
full,1,29,4.858713,4.793388429752067e-06
full,1,30,7.449456,4.958677685950414e-06
full,1,31,1.926204,5.12396694214876e-06
full,1,32,10.699034,5.289256198347108e-06
full,1,33,4.661425,5.4545454545454545e-06
full,1,34,2.290847,5.619834710743802e-06
full,1,35,3.396122,5.785123966942149e-06
full,1,36,7.356626,5.9504132231404965e-06
full,1,37,4.942328,6.115702479338843e-06
full,1,38,1.527377,6.280991735537191e-06
full,1,39,6.709559,6.446280991735537e-06
full,1,40,2.97158,6.611570247933885e-06
full,1,41,1.783937,6.776859504132232e-06
full,1,42,9.4363,6.942148760330579e-06
full,1,43,3.969635,7.107438016528926e-06
full,1,44,13.743569,7.272727272727273e-06
full,1,45,4.00567,7.43801652892562e-06
full,1,46,2.881129,7.603305785123968e-06
full,1,47,4.078098,7.768595041322314e-06
full,1,48,2.641017,7.933884297520661e-06
full,1,49,2.397065,8.099173553719009e-06
full,1,50,4.184592,8.264462809917356e-06
full,1,51,3.002649,8.429752066115703e-06
full,1,52,2.28167,8.59504132231405e-06
full,1,53,7.69593,8.760330578512397e-06
full,1,54,6.233033,8.925619834710744e-06
full,1,55,11.46154,9.090909090909091e-06
full,1,56,11.31286,9.25619834710744e-06
full,1,57,1.893665,9.421487603305785e-06
full,1,58,9.131758,9.586776859504134e-06
full,1,59,1.805095,9.75206611570248e-06
full,1,60,2.368044,9.917355371900828e-06
full,1,61,2.998449,1.0082644628099174e-05
full,1,62,2.92111,1.024793388429752e-05
full,1,63,3.215367,1.041322314049587e-05
full,1,64,3.582856,1.0578512396694216e-05
full,1,65,2.463769,1.0743801652892562e-05
full,1,66,4.244573,1.0909090909090909e-05
full,1,67,1.569363,1.1074380165289258e-05
full,1,68,2.127848,1.1239669421487605e-05
full,1,69,4.265236,1.1404958677685952e-05
full,1,70,5.901858,1.1570247933884297e-05
full,1,71,4.861461,1.1735537190082646e-05
full,1,72,8.427681,1.1900826446280993e-05
full,1,73,3.646997,1.206611570247934e-05
full,1,74,6.031949,1.2231404958677686e-05
full,1,75,6.176467,1.2396694214876034e-05
full,1,76,2.661187,1.2561983471074381e-05
full,1,77,2.877807,1.2727272727272728e-05
full,1,78,9.867519,1.2892561983471074e-05
full,1,79,9.94418,1.3057851239669424e-05
full,1,80,3.609824,1.322314049586777e-05
full,1,81,2.878211,1.3388429752066117e-05
full,1,82,2.239243,1.3553719008264464e-05
full,1,83,2.287832,1.3719008264462813e-05
full,1,84,14.279563,1.3884297520661158e-05
full,1,85,2.356525,1.4049586776859505e-05
full,1,86,3.642922,1.4214876033057852e-05
full,1,87,2.31444,1.4380165289256201e-05
full,1,88,2.717406,1.4545454545454546e-05
full,1,89,5.34766,1.4710743801652893e-05
full,1,90,6.323137,1.487603305785124e-05
full,1,91,1.830099,1.504132231404959e-05
full,1,92,8.926755,1.5206611570247936e-05
full,1,93,1.810837,1.5371900826446283e-05
full,1,94,3.183535,1.553719008264463e-05
full,1,95,7.12826,1.5702479338842978e-05
full,1,96,7.724649,1.5867768595041323e-05
full,1,97,6.919812,1.6033057851239672e-05
full,1,98,1.103449,1.6198347107438017e-05
full,1,99,4.682534,1.6363636363636366e-05
full,1,100,12.035869,1.652892561983471e-05
full,1,101,4.537437,1.669421487603306e-05
full,1,102,9.511593,1.6859504132231405e-05
full,1,103,3.205236,1.7024793388429754e-05
full,1,104,3.973005,1.71900826446281e-05
full,1,105,5.002992,1.735537190082645e-05
full,1,106,6.298054,1.7520661157024794e-05
full,1,107,4.797851,1.7685950413223143e-05
full,1,108,1.75529,1.7851239669421488e-05
full,1,109,3.366438,1.8016528925619837e-05
full,1,110,2.518324,1.8181818181818182e-05
full,1,111,3.199542,1.834710743801653e-05
full,1,112,5.961784,1.851239669421488e-05
full,1,113,12.685522,1.8677685950413225e-05
full,1,114,5.624849,1.884297520661157e-05
full,1,115,7.72818,1.900826446280992e-05
full,1,116,4.007379,1.9173553719008268e-05
full,1,117,4.273077,1.9338842975206613e-05
full,1,118,2.880488,1.950413223140496e-05
full,1,119,4.393003,1.9669421487603307e-05
full,1,120,1.92379,1.9834710743801656e-05
full,1,121,2.313457,2e-05
full,1,122,4.834509,1.998947922146239e-05
full,1,123,6.557623,1.9978958442924778e-05
full,1,124,2.876289,1.9968437664387166e-05
full,1,125,5.854443,1.9957916885849555e-05
full,1,126,2.349349,1.9947396107311943e-05
full,1,127,5.306472,1.993687532877433e-05
full,1,128,2.480901,1.992635455023672e-05
full,1,129,3.662385,1.9915833771699108e-05
full,1,130,5.62548,1.9905312993161496e-05
full,1,131,2.038783,1.9894792214623884e-05
full,1,132,5.331805,1.9884271436086273e-05
full,1,133,2.615482,1.987375065754866e-05
full,1,134,2.387199,1.986322987901105e-05
full,1,135,2.656672,1.9852709100473437e-05
full,1,136,2.26047,1.9842188321935826e-05
full,1,137,6.663785,1.983166754339821e-05
full,1,138,1.877298,1.9821146764860602e-05
full,1,139,4.577987,1.981062598632299e-05
full,1,140,4.151945,1.980010520778538e-05
full,1,141,3.293957,1.9789584429247767e-05
full,1,142,2.412977,1.9779063650710155e-05
full,1,143,2.979367,1.9768542872172543e-05
full,1,144,0.950226,1.9758022093634928e-05
full,1,145,4.040931,1.974750131509732e-05
full,1,146,2.817504,1.9736980536559708e-05
full,1,147,4.842782,1.9726459758022096e-05
full,1,148,2.547611,1.9715938979484485e-05
full,1,149,3.138969,1.970541820094687e-05
full,1,150,6.772511,1.969489742240926e-05
full,1,151,8.737917,1.9684376643871646e-05
full,1,152,14.52426,1.9673855865334038e-05
full,1,153,5.05214,1.9663335086796426e-05
full,1,154,1.804344,1.965281430825881e-05
full,1,155,3.516338,1.9642293529721202e-05
full,1,156,3.407002,1.9631772751183587e-05
full,1,157,9.364987,1.962125197264598e-05
full,1,158,2.771559,1.9610731194108364e-05
full,1,159,4.787018,1.9600210415570752e-05
full,1,160,4.70356,1.9589689637033144e-05
full,1,161,4.628195,1.957916885849553e-05
full,1,162,6.528149,1.956864807995792e-05
full,1,163,4.450563,1.9558127301420305e-05
full,1,164,2.073688,1.9547606522882693e-05
full,1,165,2.832682,1.9537085744345085e-05
full,1,166,5.124166,1.952656496580747e-05
full,1,167,1.148443,1.951604418726986e-05
full,1,168,5.758741,1.9505523408732246e-05
full,1,169,3.476889,1.9495002630194635e-05
full,1,170,11.141094,1.9484481851657023e-05
full,1,171,16.606285,1.947396107311941e-05
full,1,172,1.733875,1.9463440294581803e-05
full,1,173,2.225784,1.9452919516044188e-05
full,1,174,4.845027,1.944239873750658e-05
full,1,175,1.84042,1.9431877958968964e-05
full,1,176,2.599694,1.9421357180431353e-05
full,1,177,3.77951,1.941083640189374e-05
full,1,178,3.889379,1.940031562335613e-05
full,1,179,3.545968,1.938979484481852e-05
full,1,180,6.867928,1.9379274066280906e-05
full,1,181,1.768397,1.9368753287743294e-05
full,1,182,7.124208,1.9358232509205682e-05
full,1,183,11.458908,1.934771173066807e-05
full,1,184,4.268778,1.933719095213046e-05
full,1,185,2.020731,1.9326670173592847e-05
full,1,186,2.757693,1.9316149395055235e-05
full,1,187,3.590715,1.9305628616517623e-05
full,1,188,3.130721,1.9295107837980012e-05
full,1,189,2.973955,1.92845870594424e-05
full,1,190,4.378044,1.9274066280904788e-05
full,1,191,2.292063,1.9263545502367176e-05
full,1,192,6.861621,1.9253024723829565e-05
full,1,193,3.186134,1.9242503945291953e-05
full,1,194,4.354148,1.923198316675434e-05
full,1,195,1.91718,1.922146238821673e-05
full,1,196,2.693938,1.9210941609679118e-05
full,1,197,2.836573,1.9200420831141506e-05
full,1,198,1.741605,1.9189900052603894e-05
full,1,199,3.866628,1.9179379274066283e-05
full,1,200,3.55697,1.916885849552867e-05
full,1,201,0.806741,1.915833771699106e-05
full,1,202,4.98113,1.9147816938453447e-05
full,1,203,1.978158,1.9137296159915836e-05
full,1,204,7.927103,1.9126775381378224e-05
full,1,205,13.491785,1.9116254602840612e-05
full,1,206,4.210773,1.9105733824303e-05
full,1,207,3.6686,1.909521304576539e-05
full,1,208,3.897439,1.9084692267227777e-05
full,1,209,8.182127,1.9074171488690165e-05
full,1,210,3.997253,1.9063650710152553e-05
full,1,211,4.272995,1.905312993161494e-05
full,1,212,2.747739,1.904260915307733e-05
full,1,213,1.991752,1.9032088374539718e-05
full,1,214,0.777431,1.9021567596002106e-05
full,1,215,2.598364,1.9011046817464495e-05
full,1,216,4.730499,1.9000526038926883e-05
full,1,217,2.621122,1.899000526038927e-05
full,1,218,1.670925,1.8979484481851656e-05
full,1,219,2.476679,1.8968963703314048e-05
full,1,220,2.709276,1.8958442924776436e-05
full,1,221,3.495893,1.8947922146238824e-05
full,1,222,2.111408,1.8937401367701213e-05
full,1,223,9.493219,1.8926880589163597e-05
full,1,224,11.323822,1.891635981062599e-05
full,1,225,5.210788,1.8905839032088374e-05
full,1,226,5.196338,1.8895318253550766e-05
full,1,227,1.234972,1.8884797475013154e-05
full,1,228,3.940878,1.887427669647554e-05
full,1,229,2.597491,1.886375591793793e-05
full,1,230,1.493781,1.8853235139400315e-05
full,1,231,1.423316,1.8842714360862707e-05
full,1,232,3.085388,1.8832193582325092e-05
full,1,233,8.766514,1.882167280378748e-05
full,1,234,5.256524,1.881115202524987e-05
full,1,235,3.960726,1.8800631246712257e-05
full,1,236,4.788032,1.8790110468174648e-05
full,1,237,3.988219,1.8779589689637033e-05
full,1,238,4.365448,1.8769068911099425e-05
full,1,239,1.051164,1.8758548132561813e-05
full,1,240,2.596172,1.8748027354024198e-05
full,1,241,2.868181,1.873750657548659e-05
full,1,242,1.27787,1.8726985796948974e-05
full,1,243,4.216642,1.8716465018411366e-05
full,1,244,7.640667,1.870594423987375e-05
full,1,245,1.672484,1.869542346133614e-05
full,1,246,2.651169,1.868490268279853e-05
full,1,247,1.571406,1.8674381904260916e-05
full,1,248,2.691402,1.8663861125723307e-05
full,1,249,2.030633,1.8653340347185692e-05
full,1,250,7.501037,1.864281956864808e-05
full,1,251,4.88795,1.863229879011047e-05
full,1,252,2.352048,1.8621778011572857e-05
full,1,253,1.310118,1.861125723303525e-05
full,1,254,9.063162,1.8600736454497633e-05
full,1,255,2.406432,1.8590215675960022e-05
full,1,256,6.769507,1.857969489742241e-05
full,1,257,1.543394,1.8569174118884798e-05
full,1,258,6.192925,1.8558653340347187e-05
full,1,259,1.965854,1.8548132561809575e-05
full,1,260,2.807768,1.8537611783271963e-05
full,1,261,4.404408,1.852709100473435e-05
full,1,262,1.924621,1.851657022619674e-05
full,1,263,3.228408,1.8506049447659128e-05
full,1,264,4.404266,1.8495528669121516e-05
full,1,265,4.195457,1.8485007890583904e-05
full,1,266,3.952533,1.8474487112046293e-05
full,1,267,8.767253,1.846396633350868e-05
full,1,268,2.034831,1.845344555497107e-05
full,1,269,5.529228,1.8442924776433457e-05
full,1,270,6.127193,1.8432403997895846e-05
full,1,271,1.83498,1.8421883219358234e-05
full,1,272,2.025815,1.8411362440820622e-05
full,1,273,2.609304,1.840084166228301e-05
full,1,274,1.797743,1.83903208837454e-05
full,1,275,1.576478,1.8379800105207787e-05
full,1,276,2.15525,1.8369279326670175e-05
full,1,277,1.136075,1.8358758548132563e-05
full,1,278,1.412712,1.8348237769594952e-05
full,1,279,7.765083,1.833771699105734e-05
full,1,280,0.814243,1.8327196212519728e-05
full,1,281,3.26691,1.8316675433982117e-05
full,1,282,3.525661,1.8306154655444505e-05
full,1,283,2.410609,1.8295633876906893e-05
full,1,284,4.689431,1.828511309836928e-05
full,1,285,4.952238,1.827459231983167e-05
full,1,286,2.283893,1.8264071541294058e-05
full,1,287,2.083045,1.8253550762756446e-05
full,1,288,2.928597,1.8243029984218834e-05
full,1,289,5.108269,1.8232509205681223e-05
full,1,290,1.303851,1.822198842714361e-05
full,1,291,2.874996,1.8211467648606e-05
full,1,292,4.006557,1.8200946870068384e-05
full,1,293,3.21028,1.8190426091530776e-05
full,1,294,1.617198,1.8179905312993164e-05
full,1,295,6.602638,1.8169384534455552e-05
full,1,296,1.105212,1.815886375591794e-05
full,1,297,2.105159,1.8148342977380325e-05
full,1,298,2.448673,1.8137822198842717e-05
full,1,299,6.104983,1.8127301420305102e-05
full,1,300,0.828486,1.8116780641767493e-05
full,1,301,3.866282,1.8106259863229882e-05
full,1,302,2.258334,1.809573908469227e-05
full,1,303,1.685977,1.8085218306154658e-05
full,1,304,2.435194,1.8074697527617043e-05
full,1,305,7.077636,1.8064176749079435e-05
full,1,306,7.990279,1.805365597054182e-05
full,1,307,4.421556,1.804313519200421e-05
full,1,308,3.543721,1.80326144134666e-05
full,1,309,2.983948,1.8022093634928984e-05
full,1,310,2.567796,1.8011572856391376e-05
full,1,311,2.210738,1.800105207785376e-05
full,1,312,1.428541,1.7990531299316153e-05
full,1,313,1.703145,1.7980010520778537e-05
full,1,314,3.472693,1.7969489742240926e-05
full,1,315,1.675036,1.7958968963703317e-05
full,1,316,1.438317,1.7948448185165702e-05
full,1,317,0.762982,1.7937927406628094e-05
full,1,318,10.993485,1.792740662809048e-05
full,1,319,6.584881,1.7916885849552867e-05
full,1,320,0.921422,1.790636507101526e-05
full,1,321,3.691823,1.7895844292477644e-05
full,1,322,6.61016,1.7885323513940035e-05
full,1,323,12.994682,1.787480273540242e-05
full,1,324,2.549589,1.786428195686481e-05
full,1,325,2.352694,1.7853761178327197e-05
full,1,326,1.238206,1.7843240399789585e-05
full,1,327,1.675261,1.7832719621251977e-05
full,1,328,4.124127,1.782219884271436e-05
full,1,329,3.302055,1.781167806417675e-05
full,1,330,3.485394,1.7801157285639138e-05
full,1,331,4.094012,1.7790636507101526e-05
full,1,332,2.892384,1.7780115728563914e-05
full,1,333,1.36157,1.7769594950026303e-05
full,1,334,1.032231,1.775907417148869e-05
full,1,335,4.063313,1.774855339295108e-05
full,1,336,1.806916,1.7738032614413467e-05
full,1,337,1.158187,1.7727511835875856e-05
full,2,338,6.734134,1.7716991057338244e-05
full,2,339,0.854865,1.7706470278800632e-05
full,2,340,3.633313,1.769594950026302e-05
full,2,341,2.510102,1.768542872172541e-05
full,2,342,7.283491,1.7674907943187797e-05
full,2,343,3.394062,1.7664387164650185e-05
full,2,344,1.356746,1.7653866386112574e-05
full,2,345,1.223955,1.7643345607574962e-05
full,2,346,1.572544,1.763282482903735e-05
full,2,347,1.880527,1.762230405049974e-05
full,2,348,4.241302,1.7611783271962127e-05
full,2,349,1.521607,1.7601262493424515e-05
full,2,350,2.553966,1.7590741714886903e-05
full,2,351,2.505965,1.758022093634929e-05
full,2,352,2.023901,1.756970015781168e-05
full,2,353,2.141303,1.7559179379274068e-05
full,2,354,1.74727,1.7548658600736456e-05
full,2,355,1.710001,1.7538137822198844e-05
full,2,356,0.939377,1.7527617043661233e-05
full,2,357,1.508015,1.751709626512362e-05
full,2,358,2.792293,1.750657548658601e-05
full,2,359,6.840294,1.7496054708048397e-05
full,2,360,2.082004,1.7485533929510786e-05
full,2,361,1.988817,1.7475013150973174e-05
full,2,362,1.480897,1.7464492372435562e-05
full,2,363,7.061562,1.745397159389795e-05
full,2,364,0.766892,1.744345081536034e-05
full,2,365,4.469491,1.7432930036822727e-05
full,2,366,5.998578,1.7422409258285112e-05
full,2,367,7.111858,1.7411888479747504e-05
full,2,368,9.340137,1.7401367701209892e-05
full,2,369,1.124048,1.739084692267228e-05
full,2,370,10.064382,1.738032614413467e-05
full,2,371,1.556323,1.7369805365597057e-05
full,2,372,1.338565,1.7359284587059445e-05
full,2,373,4.554449,1.734876380852183e-05
full,2,374,1.254715,1.733824302998422e-05
full,2,375,7.638742,1.732772225144661e-05
