phase,epoch,step,loss,lr
clean,1,1,0.173949,1.6666666666666667e-06
clean,1,2,0.833851,3.3333333333333333e-06
clean,1,3,0.148792,5e-06
clean,1,4,0.164295,6.666666666666667e-06
clean,1,5,0.469578,8.333333333333334e-06
clean,1,6,0.147437,1e-05
clean,1,7,0.138831,1.1666666666666668e-05
clean,1,8,0.456884,1.3333333333333333e-05
clean,1,9,0.129179,1.5000000000000002e-05
clean,1,10,0.112032,1.6666666666666667e-05
clean,1,11,0.163948,1.8333333333333333e-05
clean,1,12,0.430903,2e-05
clean,1,13,0.75923,1.9895833333333334e-05
clean,1,14,0.137301,1.979166666666667e-05
clean,1,15,0.150289,1.96875e-05
clean,1,16,0.36693,1.9583333333333333e-05
clean,1,17,0.096337,1.9479166666666668e-05
clean,1,18,0.326971,1.9375e-05
clean,1,19,0.082762,1.9270833333333335e-05
clean,1,20,0.089106,1.916666666666667e-05
clean,1,21,0.0682,1.9062500000000003e-05
clean,1,22,0.259411,1.8958333333333334e-05
clean,1,23,0.076128,1.885416666666667e-05
clean,1,24,0.065218,1.8750000000000002e-05
clean,1,25,0.060523,1.8645833333333334e-05
clean,1,26,0.051059,1.854166666666667e-05
clean,1,27,0.071099,1.84375e-05
clean,1,28,0.048579,1.8333333333333333e-05
clean,1,29,0.046274,1.8229166666666668e-05
clean,1,30,0.038541,1.8125e-05
clean,1,31,1.10705,1.8020833333333335e-05
clean,1,32,0.032369,1.7916666666666667e-05
clean,1,33,0.037831,1.7812500000000003e-05
clean,1,34,0.047469,1.7708333333333335e-05
clean,1,35,0.030559,1.760416666666667e-05
clean,1,36,0.033617,1.7500000000000002e-05
clean,1,37,2.058712,1.7395833333333334e-05
clean,1,38,0.026024,1.729166666666667e-05
clean,1,39,0.036125,1.71875e-05
clean,1,40,0.272256,1.7083333333333333e-05
clean,1,41,0.023372,1.6979166666666668e-05
clean,1,42,0.025175,1.6875e-05
clean,1,43,0.022538,1.6770833333333336e-05
clean,1,44,0.214439,1.6666666666666667e-05
clean,1,45,4.632114,1.6562500000000003e-05
clean,1,46,4.468686,1.6458333333333335e-05
clean,1,47,0.022137,1.635416666666667e-05
clean,1,48,0.018768,1.6250000000000002e-05
clean,1,49,0.038361,1.6145833333333334e-05
clean,1,50,0.805715,1.604166666666667e-05
clean,1,51,0.027283,1.59375e-05
clean,1,52,0.020091,1.5833333333333333e-05
clean,1,53,0.020139,1.572916666666667e-05
clean,1,54,0.01997,1.5625e-05
clean,1,55,0.02049,1.5520833333333332e-05
clean,1,56,0.017321,1.5416666666666668e-05
clean,1,57,0.017168,1.5312500000000003e-05
clean,1,58,0.015583,1.5208333333333333e-05
clean,1,59,0.013368,1.5104166666666668e-05
clean,1,60,0.017327,1.5000000000000002e-05
clean,1,61,0.009138,1.4895833333333334e-05
