phase,epoch,step,loss,lr
clean,1,1,0.188643,2.8571428571428573e-06
clean,1,2,1.021553,5.7142857142857145e-06
clean,1,3,0.10567,8.571428571428571e-06
clean,1,4,0.17642,1.1428571428571429e-05
clean,1,5,0.243246,1.4285714285714287e-05
clean,1,6,2.021901,1.7142857142857142e-05
clean,1,7,0.546765,2e-05
clean,1,8,1.797415,1.983739837398374e-05
clean,1,9,3.628474,1.9674796747967483e-05
clean,1,10,0.103537,1.9512195121951222e-05
clean,1,11,0.379114,1.934959349593496e-05
clean,1,12,0.2474,1.91869918699187e-05
clean,1,13,1.280558,1.902439024390244e-05
clean,1,14,1.312806,1.886178861788618e-05
clean,1,15,0.15887,1.869918699186992e-05
clean,1,16,0.983366,1.8536585365853663e-05
clean,1,17,0.706618,1.83739837398374e-05
clean,1,18,0.210725,1.821138211382114e-05
clean,1,19,0.221475,1.804878048780488e-05
clean,1,20,1.250655,1.788617886178862e-05
clean,1,21,3.355864,1.772357723577236e-05
clean,1,22,0.216387,1.75609756097561e-05
clean,1,23,0.353131,1.739837398373984e-05
clean,1,24,0.444037,1.7235772357723578e-05
clean,1,25,3.749317,1.7073170731707317e-05
clean,1,26,0.250582,1.691056910569106e-05
clean,1,27,0.404802,1.6747967479674798e-05
clean,1,28,0.296388,1.6585365853658537e-05
clean,1,29,0.078248,1.642276422764228e-05
clean,1,30,3.859236,1.6260162601626018e-05
clean,1,31,1.794993,1.6097560975609757e-05
clean,1,32,0.459627,1.5934959349593496e-05
clean,1,33,0.219229,1.5772357723577235e-05
clean,1,34,0.117298,1.5609756097560978e-05
clean,1,35,0.385257,1.5447154471544717e-05
clean,1,36,0.244915,1.528455284552846e-05
clean,1,37,0.188372,1.5121951219512196e-05
clean,1,38,0.17009,1.4959349593495935e-05
clean,1,39,0.108909,1.4796747967479676e-05
clean,1,40,1.931904,1.4634146341463415e-05
clean,1,41,0.375282,1.4471544715447157e-05
clean,1,42,0.292163,1.4308943089430896e-05
clean,1,43,2.228008,1.4146341463414635e-05
clean,1,44,2.216181,1.3983739837398376e-05
clean,1,45,1.888888,1.3821138211382115e-05
clean,1,46,0.100403,1.3658536585365855e-05
clean,1,47,0.66128,1.3495934959349594e-05
clean,1,48,0.343884,1.3333333333333333e-05
clean,1,49,0.120158,1.3170731707317076e-05
clean,1,50,0.067181,1.3008130081300815e-05
clean,1,51,0.132138,1.2845528455284555e-05
clean,1,52,0.208601,1.2682926829268294e-05
clean,1,53,0.148853,1.2520325203252033e-05
clean,1,54,0.650871,1.2357723577235774e-05
clean,1,55,3.914853,1.2195121951219513e-05
clean,1,56,0.107699,1.2032520325203254e-05
clean,1,57,0.057511,1.1869918699186992e-05
clean,1,58,0.257678,1.1707317073170731e-05
clean,1,59,0.901917,1.1544715447154474e-05
clean,1,60,0.769132,1.1382113821138213e-05
clean,1,61,0.107175,1.1219512195121953e-05
clean,1,62,0.21919,1.1056910569105692e-05
clean,1,63,0.136113,1.0894308943089431e-05
clean,1,64,0.089283,1.0731707317073172e-05
clean,1,65,0.09226,1.0569105691056911e-05
clean,2,66,0.167011,1.0406504065040652e-05
clean,2,67,0.217646,1.024390243902439e-05
clean,2,68,4.354487,1.008130081300813e-05
clean,2,69,0.088202,9.91869918699187e-06
clean,2,70,0.117185,9.756097560975611e-06
clean,2,71,0.382345,9.59349593495935e-06
clean,2,72,0.171829,9.43089430894309e-06
clean,2,73,0.145568,9.268292682926831e-06
clean,2,74,0.064715,9.10569105691057e-06
clean,2,75,0.11681,8.94308943089431e-06
clean,2,76,0.359721,8.78048780487805e-06
clean,2,77,0.346627,8.617886178861789e-06
clean,2,78,0.120978,8.45528455284553e-06
clean,2,79,0.150222,8.292682926829268e-06
clean,2,80,0.075726,8.130081300813009e-06
clean,2,81,1.788389,7.967479674796748e-06
clean,2,82,1.515892,7.804878048780489e-06
clean,2,83,1.566782,7.64227642276423e-06
clean,2,84,0.169723,7.4796747967479676e-06
clean,2,85,0.82911,7.317073170731707e-06
clean,2,86,0.108481,7.154471544715448e-06
clean,2,87,1.612788,6.991869918699188e-06
clean,2,88,0.843924,6.829268292682928e-06
clean,2,89,0.095058,6.666666666666667e-06
clean,2,90,0.967877,6.504065040650407e-06
clean,2,91,0.562027,6.341463414634147e-06
clean,2,92,0.100167,6.178861788617887e-06
clean,2,93,0.042089,6.016260162601627e-06
clean,2,94,0.725038,5.853658536585366e-06
clean,2,95,0.031817,5.691056910569106e-06
clean,2,96,3.730177,5.528455284552846e-06
clean,2,97,0.477779,5.365853658536586e-06
clean,2,98,1.465845,5.203252032520326e-06
clean,2,99,0.102111,5.040650406504065e-06
clean,2,100,0.096406,4.8780487804878055e-06
clean,2,101,0.12278,4.715447154471545e-06
clean,2,102,0.902298,4.552845528455285e-06
clean,2,103,0.243029,4.390243902439025e-06
clean,2,104,0.260606,4.227642276422765e-06
clean,2,105,0.103951,4.0650406504065046e-06
clean,2,106,0.088867,3.902439024390244e-06
clean,2,107,0.062857,3.7398373983739838e-06
clean,2,108,0.066823,3.577235772357724e-06
clean,2,109,0.714575,3.414634146341464e-06
clean,2,110,3.219619,3.2520325203252037e-06
clean,2,111,0.088488,3.0894308943089435e-06
clean,2,112,0.872749,2.926829268292683e-06
clean,2,113,0.73274,2.764227642276423e-06
clean,2,114,3.162207,2.601626016260163e-06
clean,2,115,1.108834,2.4390243902439027e-06
clean,2,116,0.028509,2.2764227642276426e-06
clean,2,117,0.505657,2.1138211382113824e-06
clean,2,118,1.167033,1.951219512195122e-06
clean,2,119,0.074384,1.788617886178862e-06
clean,2,120,0.085364,1.6260162601626018e-06
clean,2,121,0.061219,1.4634146341463414e-06
clean,2,122,0.056351,1.3008130081300815e-06
clean,2,123,0.321082,1.1382113821138213e-06
clean,2,124,0.060051,9.75609756097561e-07
clean,2,125,0.534674,8.130081300813009e-07
clean,2,126,0.025993,6.504065040650407e-07
clean,2,127,0.120422,4.878048780487805e-07
clean,2,128,3.491933,3.2520325203252037e-07
clean,2,129,0.155822,1.6260162601626018e-07
clean,2,130,0.064051,0.0
diverse,1,131,0.718019,1.3333333333333334e-06
diverse,1,132,2.379094,2.666666666666667e-06
diverse,1,133,0.547335,4.000000000000001e-06
diverse,1,134,0.598438,5.333333333333334e-06
diverse,1,135,4.827786,6.666666666666667e-06
diverse,1,136,4.09037,8.000000000000001e-06
diverse,1,137,2.461938,9.333333333333334e-06
diverse,1,138,1.0712,1.0666666666666667e-05
diverse,1,139,4.685963,1.2e-05
diverse,1,140,1.670313,1.3333333333333333e-05
