phase,n_samples,n_iter,train_time_s,pred_time_s,micro_f1,macro_f1,f1_weighted,accuracy,hard_slice_quantile,hard_slice_macro_f1,avg_seq_len,compute_proxy,best_val_macro_f1,best_val_epoch,steps_to_best_val
spcl_01,823,416,147.99310327041894,2.447555406950414,0.8226002430133658,0.7699191421902188,0.8285754924594588,0.8226002430133658,0.8,0.42415523679166656,145.50143136959468,60528.59544975139,0.8049450252692968,2.0,416.0
spcl_02,823,788,112.93070562556386,2.4496822571381927,0.8493317132442284,0.795876928601053,0.8542031364742477,0.8493317132442284,0.8,0.44949547806690665,145.71502384737678,114823.4387917329,0.8176889701897067,2.0,788.0
spcl_03,823,1168,115.32499724626541,2.5095479926094413,0.8639125151883353,0.8135916682264611,0.8668059825653387,0.8639125151883353,0.8,0.5424481082699827,145.60080472103004,170061.7399141631,0.8281331298411667,2.0,1168.0
spcl_04,823,1552,117.8105482691899,2.509071746841073,0.8639125151883353,0.8143006067755115,0.8657482540754534,0.8639125151883353,0.8,0.413794788046285,145.55503531786076,225901.4148133199,0.8367920267732912,2.0,1552.0
spcl_05,823,1940,118.17087750416249,2.486150562763214,0.8687727825030377,0.8235670968528138,0.8708003646946798,0.8687727825030377,0.8,0.5262251606643258,145.53357221253793,282335.1300923236,0.8511989433537478,1.0,1746.0
spcl_06,823,2330,119.04378603026271,2.513460068963468,0.8712029161603888,0.8215929427810841,0.8727389439382073,0.8712029161603888,0.8,0.48382459117493887,145.51617931627607,339052.69780692324,0.8511989433537478,1.0,1746.0
spcl_07,823,2722,119.73967627994716,2.46928901784122,0.8736330498177399,0.8320704398033435,0.8741213821368274,0.8736330498177399,0.8,0.5189232719943357,145.51108657650198,396081.1776612384,0.8511989433537478,1.0,1746.0
spcl_08,823,3116,119.9242588551715,2.4573406660929322,0.8784933171324423,0.8374622046085024,0.8795016014230487,0.8784933171324423,0.8,0.42555248651476096,145.50611802053405,453397.0637519841,0.8511989433537478,1.0,1746.0
spcl_01,823,208,159.50878083892167,5.089474033564329,0.7278250303766707,0.6510166878340782,0.7267026012432568,0.7278250303766707,0.8,0.39486723442557686,145.50143136959468,30264.297724875694,0.6776686650019756,1.0,208.0
spcl_09,823,3512,252.50438226014376,4.945440363138914,0.8784933171324423,0.8429274084967772,0.8787141485719155,0.8784933171324423,0.8,0.5203400797870843,145.51197161755005,511038.04432083573,0.8564619829089628,1.0,3314.0
spcl_02,823,368,104.58431898336858,5.130091102793813,0.7363304981773997,0.6126689413048677,0.7310019250704479,0.7363304981773997,0.8,0.2582647186460746,145.2446202262482,53450.020243259336,0.6776686650019756,1.0,208.0
spcl_03,823,534,163.26673000864685,7.457103489898145,0.7606318347509113,0.6358284480772403,0.7549642053684701,0.7606318347509113,0.8,0.29710844239121453,145.07797007920212,77471.63602229393,0.6776686650019756,1.0,208.0
spcl_01,823,208,227.29149482771754,7.506101578474045,0.7278250303766707,0.6510166878340782,0.7267026012432568,0.7278250303766707,0.8,0.39486723442557686,145.50143136959468,30264.297724875694,0.6776686650019756,1.0,208.0
spcl_10,823,3910,380.42329519987106,7.48209782410413,0.8797083839611178,0.8340577476247295,0.8803686819743847,0.8797083839611178,0.8,0.5992588378532451,145.51616933352554,568968.2220940848,0.8564619829089628,1.0,3314.0
spcl_02,823,416,203.50787973124534,7.589042951352894,0.7667071688942891,0.723676297960613,0.7684207318729049,0.7667071688942891,0.8,0.29622230710466,145.49378531073447,60525.41468926554,0.7296968565385834,1.0,416.0
spcl_04,823,705,168.41743001062423,7.476360127329826,0.7739975698663426,0.6606726946005315,0.7681923285858522,0.7739975698663426,0.8,0.2573667507173289,145.0017773038301,102226.25299920022,0.6776686650019756,1.0,208.0
spcl_03,823,598,179.47047535236925,7.489891696721315,0.755771567436209,0.7119957372239064,0.7584149993935515,0.755771567436209,0.8,0.3660513386505653,145.17762882279013,86816.2220360285,0.7296968565385834,1.0,416.0
spcl_05,823,880,172.5164584312588,7.476952546276152,0.7995139732685298,0.6672909931763383,0.7944374046983868,0.7995139732685298,0.8,0.2991109289244153,144.94888588310673,127555.01957713392,0.6776686650019756,1.0,208.0
spcl_04,823,787,185.73506737314165,7.549441969022155,0.795868772782503,0.7491058822065815,0.7985414855034516,0.795868772782503,0.8,0.28035990405047617,144.99172567427797,114108.48810565677,0.7761359404213339,1.0,787.0
spcl_06,823,1059,175.9396751448512,7.380406532436609,0.818955042527339,0.6810286526539931,0.8143331074700648,0.818955042527339,0.8,0.3653930005737235,144.93387940976433,153484.97829494043,0.6988097420489398,1.0,1059.0
spcl_05,823,973,169.65234492439777,7.461685132235289,0.8140947752126367,0.767297454876778,0.8169335541779633,0.8140947752126367,0.8,0.3339954224652759,144.80317950698333,140893.49366029477,0.8079175373172863,1.0,973.0
spcl_06,823,1160,183.9758344227448,7.522426629438996,0.8226002430133658,0.7763342433204102,0.8250289188938149,0.8226002430133658,0.8,0.4048774109186008,144.6944564395984,167845.56946993415,0.8135440931810418,1.0,1160.0
