event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,easy,1,1,1.461432,2.0000000000000003e-06,,,,,25.78125,25.78125
train_step,easy,1,2,1.685038,4.000000000000001e-06,,,,,24.671875,49.34375
train_step,easy,1,3,1.711313,6e-06,,,,,24.708333333333332,74.125
train_step,easy,1,4,1.426176,8.000000000000001e-06,,,,,24.9765625,99.90625
train_step,easy,1,5,1.622244,1e-05,,,,,24.9875,124.9375
train_step,easy,1,6,2.10883,1.2e-05,,,,,25.09375,150.5625
train_step,easy,1,7,2.263893,1.4e-05,,,,,25.013392857142858,175.09375
train_step,easy,1,8,1.553816,1.6000000000000003e-05,,,,,24.63671875,197.09375
train_step,easy,1,9,1.558949,1.8e-05,,,,,24.805555555555557,223.25
train_step,easy,1,10,1.624201,2e-05,,,,,24.690625,246.90625
train_step,easy,1,11,1.421008,1.988235294117647e-05,,,,,24.980113636363637,274.78125
train_step,easy,1,12,2.428738,1.9764705882352945e-05,,,,,25.104166666666668,301.25
train_step,easy,1,13,1.335762,1.964705882352941e-05,,,,,25.13701923076923,326.78125
train_step,easy,1,14,2.3124,1.9529411764705885e-05,,,,,24.799107142857142,347.1875
train_step,easy,1,15,1.35656,1.9411764705882355e-05,,,,,25.26875,379.03125
train_step,easy,1,16,1.453019,1.9294117647058825e-05,,,,,25.50390625,408.0625
train_step,easy,1,17,1.857225,1.9176470588235298e-05,,,,,25.34926470588235,430.9375
train_step,easy,1,18,1.742438,1.9058823529411764e-05,,,,,25.28472222222222,455.125
train_step,easy,1,19,1.05627,1.8941176470588238e-05,,,,,25.258223684210527,479.90625
train_step,easy,1,20,1.580861,1.8823529411764708e-05,,,,,25.2484375,504.96875
train_step,easy,1,21,1.553254,1.8705882352941178e-05,,,,,25.209821428571427,529.40625
train_step,easy,1,22,1.805669,1.8588235294117647e-05,,,,,25.078125,551.71875
train_step,easy,1,23,1.933062,1.847058823529412e-05,,,,,25.0,575.0
train_step,easy,1,24,0.931085,1.8352941176470587e-05,,,,,24.94140625,598.59375
train_step,easy,1,25,1.330137,1.823529411764706e-05,,,,,24.89625,622.40625
train_step,easy,1,26,1.792734,1.811764705882353e-05,,,,,24.768028846153847,643.96875
