event,phase,epoch,step,loss,lr,val_macro_f1,val_micro_f1,val_f1_weighted,val_accuracy,avg_seq_len,compute_proxy
train_step,full,1,1,1.608323,3.2258064516129035e-07,,,,,25.875,25.875
train_step,full,1,2,1.66833,6.451612903225807e-07,,,,,25.46875,50.9375
train_step,full,1,3,1.615222,9.67741935483871e-07,,,,,25.6875,77.0625
train_step,full,1,4,1.581128,1.2903225806451614e-06,,,,,26.0546875,104.21875
train_step,full,1,5,1.637158,1.6129032258064516e-06,,,,,25.93125,129.65625
train_step,full,1,6,1.542588,1.935483870967742e-06,,,,,26.098958333333332,156.59375
train_step,full,1,7,1.638929,2.2580645161290324e-06,,,,,26.263392857142858,183.84375
train_step,full,1,8,1.636412,2.580645161290323e-06,,,,,25.86328125,206.90625
train_step,full,1,9,1.551623,2.903225806451613e-06,,,,,25.67013888888889,231.03125
train_step,full,1,10,1.645836,3.225806451612903e-06,,,,,25.63125,256.3125
train_step,full,1,11,1.655642,3.548387096774194e-06,,,,,25.65340909090909,282.1875
train_step,full,1,12,1.560454,3.870967741935484e-06,,,,,25.674479166666668,308.09375
train_step,full,1,13,1.666152,4.193548387096774e-06,,,,,25.745192307692307,334.6875
train_step,full,1,14,1.599158,4.516129032258065e-06,,,,,25.783482142857142,360.96875
train_step,full,1,15,1.624693,4.838709677419355e-06,,,,,25.747916666666665,386.21875
train_step,full,1,16,1.719071,5.161290322580646e-06,,,,,25.787109375,412.59375
train_step,full,1,17,1.637322,5.483870967741935e-06,,,,,25.759191176470587,437.90625
train_step,full,1,18,1.591277,5.806451612903226e-06,,,,,25.649305555555557,461.6875
train_step,full,1,19,1.6179,6.129032258064517e-06,,,,,25.74342105263158,489.125
train_step,full,1,20,1.641711,6.451612903225806e-06,,,,,25.6234375,512.46875
train_step,full,1,21,1.580575,6.774193548387097e-06,,,,,25.517857142857142,535.875
train_step,full,1,22,1.687353,7.096774193548388e-06,,,,,25.46875,560.3125
train_step,full,1,23,1.565886,7.4193548387096784e-06,,,,,25.39266304347826,584.03125
train_step,full,1,24,1.53499,7.741935483870968e-06,,,,,25.315104166666668,607.5625
train_step,full,1,25,1.557084,8.064516129032258e-06,,,,,25.26875,631.71875
train_step,full,1,26,1.615639,8.387096774193549e-06,,,,,25.275240384615383,657.15625
train_step,full,1,27,1.6137,8.70967741935484e-06,,,,,25.261574074074073,682.0625
train_step,full,1,28,1.550192,9.03225806451613e-06,,,,,25.338169642857142,709.46875
train_step,full,1,29,1.643609,9.35483870967742e-06,,,,,25.348060344827587,735.09375
