mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
raw,micro_f1,0.538004,0.016232,0.526392,0.549615,10
raw,macro_f1,0.526824,0.017527,0.514286,0.539362,10
raw,f1_weighted,0.537663,0.016915,0.525563,0.549763,10
raw,accuracy,0.538004,0.016232,0.526392,0.549615,10
raw,hard_slice_macro_f1,0.444728,0.048891,0.409753,0.479702,10
raw,avg_seq_len,24.875958,0.060098,24.832967,24.918950,10
raw,compute_proxy,44925.980798,108.536595,44848.338395,45003.623200,10
raw,best_val_macro_f1,0.541495,0.010932,0.533674,0.549316,10
raw,steps_to_best_val,1354.500000,292.519420,1145.244213,1563.755787,10
is,micro_f1,0.523241,0.014711,0.512717,0.533764,10
is,macro_f1,0.523182,0.015507,0.512090,0.534275,10
is,f1_weighted,0.525525,0.014808,0.514932,0.536118,10
is,accuracy,0.523241,0.014711,0.512717,0.533764,10
is,hard_slice_macro_f1,0.420246,0.035255,0.395026,0.445466,10
is,avg_seq_len,25.006952,0.123477,24.918622,25.095282,10
is,compute_proxy,26107.257841,128.910075,26015.041129,26199.474554,10
is,best_val_macro_f1,0.527789,0.013462,0.518159,0.537419,10
is,steps_to_best_val,765.600000,146.729683,660.635908,870.564092,10
cl,micro_f1,0.539182,0.008473,0.533121,0.545244,10
cl,macro_f1,0.540533,0.008141,0.534709,0.546357,10
cl,f1_weighted,0.540389,0.008265,0.534476,0.546301,10
cl,accuracy,0.539182,0.008473,0.533121,0.545244,10
cl,hard_slice_macro_f1,0.321896,0.038994,0.294001,0.349790,10
cl,avg_seq_len,24.664675,0.066919,24.616803,24.712546,10
cl,compute_proxy,27525.776842,74.682162,27472.352442,27579.201242,10
cl,best_val_macro_f1,0.540460,0.012547,0.531485,0.549435,10
cl,steps_to_best_val,1001.600000,241.176376,829.072814,1174.127186,10
is_cl,micro_f1,0.520793,0.013489,0.511143,0.530442,10
is_cl,macro_f1,0.524180,0.013170,0.514759,0.533601,10
is_cl,f1_weighted,0.518523,0.013383,0.508949,0.528097,10
is_cl,accuracy,0.520793,0.013489,0.511143,0.530442,10
is_cl,hard_slice_macro_f1,0.310126,0.034667,0.285327,0.334925,10
is_cl,avg_seq_len,24.943284,0.140135,24.843038,25.043531,10
is_cl,compute_proxy,16063.507301,109.675911,15985.049881,16141.964722,10
is_cl,best_val_macro_f1,0.522651,0.010645,0.515036,0.530266,10
is_cl,steps_to_best_val,561.500000,139.977181,461.366357,661.633643,10
b1,micro_f1,0.542894,0.009297,0.536243,0.549544,10
b1,macro_f1,0.542731,0.008280,0.536808,0.548654,10
b1,f1_weighted,0.542907,0.009688,0.535977,0.549837,10
b1,accuracy,0.542894,0.009297,0.536243,0.549544,10
b1,hard_slice_macro_f1,0.327453,0.034891,0.302494,0.352413,10
b1,avg_seq_len,24.737155,0.074212,24.684067,24.790243,10
b1,compute_proxy,28299.305443,84.898241,28238.572900,28360.037986,10
b1,best_val_macro_f1,0.548071,0.014838,0.537457,0.558686,10
b1,steps_to_best_val,1053.700000,203.159516,908.368437,1199.031563,10
