mode,metric,mean,std,ci_95_low,ci_95_high,n_folds
cl,micro_f1,0.539182,0.008473,0.533121,0.545244,10
cl,macro_f1,0.540533,0.008141,0.534709,0.546357,10
cl,f1_weighted,0.540389,0.008265,0.534476,0.546301,10
cl,accuracy,0.539182,0.008473,0.533121,0.545244,10
cl,hard_slice_macro_f1,0.321896,0.038994,0.294001,0.349790,10
cl,avg_seq_len,24.664675,0.066919,24.616803,24.712546,10
cl,compute_proxy,27525.776842,74.682162,27472.352442,27579.201242,10
cl,best_val_macro_f1,0.540460,0.012547,0.531485,0.549435,10
cl,steps_to_best_val,1001.600000,241.176376,829.072814,1174.127186,10
is_cl,micro_f1,0.520793,0.013489,0.511143,0.530442,10
is_cl,macro_f1,0.524180,0.013170,0.514759,0.533601,10
is_cl,f1_weighted,0.518523,0.013383,0.508949,0.528097,10
is_cl,accuracy,0.520793,0.013489,0.511143,0.530442,10
is_cl,hard_slice_macro_f1,0.310126,0.034667,0.285327,0.334925,10
is_cl,avg_seq_len,24.943284,0.140135,24.843038,25.043531,10
is_cl,compute_proxy,16063.507301,109.675911,15985.049881,16141.964722,10
is_cl,best_val_macro_f1,0.522651,0.010645,0.515036,0.530266,10
is_cl,steps_to_best_val,561.500000,139.977181,461.366357,661.633643,10
