phase,epoch,step,loss,lr
full,1,1,1.972833,1.204819277108434e-07
full,1,2,1.894039,2.409638554216868e-07
full,1,3,1.996081,3.614457831325301e-07
full,1,4,1.96558,4.819277108433736e-07
full,1,5,1.979794,6.024096385542169e-07
full,1,6,1.986359,7.228915662650602e-07
full,1,7,1.997787,8.433734939759036e-07
full,1,8,1.930812,9.638554216867472e-07
full,1,9,1.956037,1.0843373493975905e-06
full,1,10,2.003094,1.2048192771084338e-06
full,1,11,1.960716,1.3253012048192773e-06
full,1,12,1.926545,1.4457831325301204e-06
full,1,13,1.869321,1.566265060240964e-06
full,1,14,1.96366,1.6867469879518073e-06
full,1,15,1.907613,1.8072289156626508e-06
full,1,16,1.93038,1.9277108433734943e-06
full,1,17,1.962667,2.0481927710843377e-06
full,1,18,1.989148,2.168674698795181e-06
full,1,19,1.948106,2.2891566265060243e-06
full,1,20,1.937167,2.4096385542168676e-06
full,1,21,1.904279,2.530120481927711e-06
full,1,22,1.993227,2.6506024096385547e-06
full,1,23,1.953233,2.771084337349398e-06
full,1,24,1.918928,2.891566265060241e-06
full,1,25,1.884682,3.012048192771085e-06
full,1,26,1.895283,3.132530120481928e-06
full,1,27,1.922577,3.2530120481927713e-06
full,1,28,1.912407,3.3734939759036146e-06
full,1,29,1.949612,3.4939759036144583e-06
full,1,30,1.887838,3.6144578313253016e-06
full,1,31,1.846953,3.7349397590361445e-06
full,1,32,1.874924,3.855421686746989e-06
full,1,33,1.854649,3.975903614457832e-06
full,1,34,1.822643,4.096385542168675e-06
full,1,35,1.826677,4.216867469879519e-06
full,1,36,1.790993,4.337349397590362e-06
full,1,37,1.81154,4.457831325301205e-06
full,1,38,1.672274,4.578313253012049e-06
full,1,39,1.737939,4.698795180722892e-06
full,1,40,1.784514,4.819277108433735e-06
full,1,41,1.684042,4.939759036144578e-06
full,1,42,1.84053,5.060240963855422e-06
full,1,43,1.495398,5.180722891566266e-06
full,1,44,1.650156,5.301204819277109e-06
full,1,45,1.630434,5.421686746987952e-06
full,1,46,1.319072,5.542168674698796e-06
full,1,47,1.555129,5.66265060240964e-06
full,1,48,1.50458,5.783132530120482e-06
full,1,49,1.526661,5.9036144578313255e-06
full,1,50,1.698683,6.02409638554217e-06
full,1,51,1.621757,6.144578313253012e-06
full,1,52,1.35525,6.265060240963856e-06
full,1,53,1.705015,6.385542168674699e-06
full,1,54,1.732388,6.5060240963855425e-06
full,1,55,1.552233,6.626506024096386e-06
full,1,56,1.347361,6.746987951807229e-06
full,1,57,1.774337,6.867469879518073e-06
full,1,58,1.516541,6.987951807228917e-06
full,1,59,1.539488,7.1084337349397595e-06
full,1,60,1.203302,7.228915662650603e-06
full,1,61,1.531008,7.349397590361447e-06
full,1,62,1.717924,7.469879518072289e-06
full,1,63,1.449476,7.590361445783133e-06
full,1,64,1.485643,7.710843373493977e-06
full,1,65,1.279888,7.83132530120482e-06
full,1,66,1.755781,7.951807228915663e-06
full,1,67,1.676912,8.072289156626508e-06
full,1,68,1.562846,8.19277108433735e-06
full,1,69,1.846412,8.313253012048194e-06
full,1,70,1.628682,8.433734939759038e-06
full,1,71,1.143427,8.55421686746988e-06
full,1,72,1.694971,8.674698795180724e-06
full,1,73,1.627312,8.795180722891567e-06
full,1,74,1.631502,8.91566265060241e-06
full,1,75,1.434844,9.036144578313254e-06
full,1,76,1.671993,9.156626506024097e-06
full,1,77,1.555701,9.27710843373494e-06
full,1,78,1.607714,9.397590361445785e-06
full,1,79,1.517391,9.518072289156628e-06
full,1,80,1.583439,9.63855421686747e-06
full,1,81,1.911505,9.759036144578315e-06
full,1,82,1.373838,9.879518072289156e-06
full,1,83,1.671523,1e-05
full,1,84,1.668995,1.0120481927710844e-05
full,1,85,1.498501,1.0240963855421688e-05
full,1,86,1.861239,1.0361445783132531e-05
full,1,87,1.965751,1.0481927710843374e-05
full,1,88,1.718685,1.0602409638554219e-05
full,1,89,1.701811,1.0722891566265062e-05
full,1,90,1.399453,1.0843373493975904e-05
full,1,91,1.387996,1.0963855421686749e-05
full,1,92,1.706621,1.1084337349397592e-05
full,1,93,1.435192,1.1204819277108435e-05
full,1,94,1.31051,1.132530120481928e-05
full,1,95,1.635501,1.1445783132530122e-05
full,1,96,1.644796,1.1566265060240964e-05
full,1,97,1.198245,1.168674698795181e-05
full,1,98,1.862108,1.1807228915662651e-05
full,1,99,1.316383,1.1927710843373494e-05
full,1,100,1.607464,1.204819277108434e-05
full,1,101,1.490576,1.2168674698795181e-05
full,1,102,1.357962,1.2289156626506024e-05
full,1,103,1.49538,1.2409638554216869e-05
full,1,104,1.64539,1.2530120481927712e-05
full,1,105,1.209864,1.2650602409638555e-05
full,1,106,1.738593,1.2771084337349398e-05
full,1,107,1.975196,1.2891566265060242e-05
full,1,108,1.410088,1.3012048192771085e-05
full,1,109,1.634046,1.3132530120481928e-05
full,1,110,1.366658,1.3253012048192772e-05
full,1,111,1.472802,1.3373493975903615e-05
full,1,112,1.561997,1.3493975903614458e-05
full,1,113,1.543725,1.3614457831325303e-05
full,1,114,1.318212,1.3734939759036146e-05
full,1,115,1.564487,1.3855421686746989e-05
full,1,116,1.692986,1.3975903614457833e-05
full,1,117,1.573415,1.4096385542168676e-05
full,1,118,1.532726,1.4216867469879519e-05
full,1,119,1.383254,1.4337349397590364e-05
full,1,120,1.481928,1.4457831325301207e-05
full,1,121,1.658622,1.457831325301205e-05
full,1,122,1.462692,1.4698795180722894e-05
full,1,123,1.579596,1.4819277108433737e-05
full,1,124,1.682513,1.4939759036144578e-05
full,1,125,1.774818,1.5060240963855424e-05
full,1,126,1.488179,1.5180722891566266e-05
full,1,127,1.667414,1.530120481927711e-05
full,1,128,1.734008,1.5421686746987955e-05
full,1,129,1.399899,1.5542168674698796e-05
full,1,130,1.402955,1.566265060240964e-05
full,1,131,1.747675,1.5783132530120485e-05
full,1,132,1.509949,1.5903614457831326e-05
full,1,133,1.281006,1.602409638554217e-05
full,1,134,1.38763,1.6144578313253015e-05
full,1,135,1.41847,1.6265060240963857e-05
full,1,136,1.589881,1.63855421686747e-05
full,1,137,1.654599,1.6506024096385546e-05
full,1,138,1.616585,1.6626506024096387e-05
full,1,139,1.458372,1.6746987951807228e-05
full,1,140,1.395414,1.6867469879518076e-05
full,1,141,1.357274,1.6987951807228917e-05
full,1,142,1.969866,1.710843373493976e-05
full,1,143,1.656238,1.7228915662650603e-05
full,1,144,1.512411,1.7349397590361448e-05
full,1,145,1.385018,1.746987951807229e-05
full,1,146,1.191734,1.7590361445783134e-05
full,1,147,1.676323,1.7710843373493978e-05
full,1,148,1.7864,1.783132530120482e-05
full,1,149,1.363843,1.7951807228915664e-05
full,1,150,1.220392,1.807228915662651e-05
full,1,151,1.919941,1.819277108433735e-05
full,1,152,1.84101,1.8313253012048194e-05
full,1,153,1.597338,1.843373493975904e-05
full,1,154,1.646663,1.855421686746988e-05
full,1,155,1.761763,1.8674698795180725e-05
full,1,156,1.443316,1.879518072289157e-05
full,1,157,1.45828,1.891566265060241e-05
full,1,158,1.34548,1.9036144578313255e-05
full,1,159,1.736332,1.91566265060241e-05
full,1,160,1.588956,1.927710843373494e-05
full,1,161,1.475548,1.9397590361445785e-05
full,1,162,1.517633,1.951807228915663e-05
full,1,163,1.474375,1.963855421686747e-05
full,1,164,1.636429,1.9759036144578312e-05
full,1,165,1.347589,1.987951807228916e-05
full,1,166,1.254698,2e-05
full,1,167,1.408154,1.9992325402916348e-05
full,1,168,1.4515,1.9984650805832694e-05
full,1,169,1.691585,1.997697620874904e-05
full,1,170,1.605925,1.996930161166539e-05
full,1,171,1.768458,1.9961627014581736e-05
full,1,172,1.448277,1.9953952417498082e-05
full,1,173,1.611828,1.994627782041443e-05
full,1,174,1.302915,1.9938603223330778e-05
full,1,175,1.385643,1.9930928626247124e-05
full,1,176,1.903598,1.992325402916347e-05
full,1,177,1.392648,1.9915579432079816e-05
full,1,178,1.034745,1.9907904834996162e-05
full,1,179,1.3462,1.9900230237912512e-05
full,1,180,1.543306,1.9892555640828858e-05
full,1,181,1.581098,1.9884881043745204e-05
full,1,182,1.164138,1.9877206446661554e-05
full,1,183,1.236935,1.98695318495779e-05
full,1,184,1.554541,1.9861857252494246e-05
full,1,185,1.833254,1.9854182655410592e-05
full,1,186,1.715953,1.984650805832694e-05
full,1,187,1.464043,1.9838833461243285e-05
full,1,188,1.433615,1.9831158864159634e-05
full,1,189,1.646818,1.982348426707598e-05
full,1,190,1.665751,1.9815809669992327e-05
full,1,191,1.664563,1.9808135072908673e-05
full,1,192,1.52244,1.9800460475825022e-05
full,1,193,1.758287,1.979278587874137e-05
full,1,194,1.313761,1.9785111281657715e-05
full,1,195,1.503704,1.977743668457406e-05
full,1,196,1.481461,1.9769762087490407e-05
full,1,197,1.651621,1.9762087490406756e-05
full,1,198,1.878957,1.9754412893323103e-05
full,1,199,1.499173,1.974673829623945e-05
full,1,200,1.326708,1.9739063699155795e-05
full,1,201,1.590039,1.973138910207214e-05
full,1,202,1.696877,1.972371450498849e-05
full,1,203,1.663181,1.9716039907904837e-05
full,1,204,1.648832,1.9708365310821183e-05
full,1,205,1.831321,1.9700690713737533e-05
full,1,206,1.637312,1.969301611665388e-05
full,1,207,1.739652,1.9685341519570225e-05
full,1,208,1.64047,1.967766692248657e-05
full,1,209,1.644705,1.9669992325402917e-05
full,1,210,1.726686,1.9662317728319263e-05
full,1,211,1.66505,1.965464313123561e-05
full,1,212,1.537928,1.964696853415196e-05
full,1,213,1.311954,1.9639293937068305e-05
full,1,214,1.406186,1.9631619339984655e-05
full,1,215,1.235435,1.9623944742901e-05
full,1,216,1.475857,1.9616270145817347e-05
full,1,217,1.671032,1.9608595548733693e-05
full,1,218,1.558419,1.960092095165004e-05
full,1,219,1.795358,1.9593246354566386e-05
full,1,220,1.439452,1.9585571757482732e-05
full,1,221,1.455873,1.957789716039908e-05
full,1,222,1.359429,1.9570222563315427e-05
full,1,223,1.609404,1.9562547966231774e-05
full,1,224,1.633951,1.9554873369148123e-05
full,1,225,1.35017,1.954719877206447e-05
full,1,226,1.608803,1.9539524174980816e-05
full,1,227,1.484916,1.9531849577897162e-05
full,1,228,1.616848,1.9524174980813508e-05
full,1,229,1.469268,1.9516500383729854e-05
full,1,230,1.960925,1.95088257866462e-05
full,1,231,1.860168,1.950115118956255e-05
full,1,232,1.359608,1.9493476592478896e-05
full,1,233,1.779494,1.9485801995395242e-05
full,1,234,1.299695,1.947812739831159e-05
full,1,235,1.685681,1.9470452801227938e-05
full,1,236,1.57367,1.9462778204144284e-05
full,1,237,1.738661,1.945510360706063e-05
full,1,238,1.454895,1.9447429009976976e-05
full,1,239,1.657353,1.9439754412893326e-05
full,1,240,1.704457,1.9432079815809672e-05
full,1,241,1.477956,1.9424405218726018e-05
full,1,242,1.528161,1.9416730621642364e-05
full,1,243,1.45498,1.9409056024558714e-05
full,1,244,1.687398,1.940138142747506e-05
full,1,245,1.621989,1.9393706830391406e-05
full,1,246,1.315718,1.9386032233307752e-05
full,1,247,1.442749,1.93783576362241e-05
full,1,248,1.562598,1.9370683039140448e-05
full,1,249,1.249333,1.9363008442056794e-05
full,1,250,1.239363,1.935533384497314e-05
full,1,251,1.378149,1.9347659247889487e-05
full,1,252,1.727471,1.9339984650805833e-05
full,1,253,1.267358,1.9332310053722182e-05
full,1,254,1.488892,1.932463545663853e-05
full,1,255,1.674535,1.9316960859554875e-05
full,1,256,1.51557,1.930928626247122e-05
full,1,257,1.73672,1.930161166538757e-05
full,1,258,1.454286,1.9293937068303917e-05
full,1,259,1.391471,1.9286262471220263e-05
full,1,260,1.430235,1.927858787413661e-05
full,1,261,1.333222,1.9270913277052955e-05
full,1,262,1.172155,1.92632386799693e-05
full,1,263,1.493146,1.925556408288565e-05
full,1,264,1.465798,1.9247889485801997e-05
full,1,265,1.333708,1.9240214888718346e-05
full,1,266,1.689443,1.9232540291634693e-05
full,1,267,2.059678,1.922486569455104e-05
full,1,268,1.353446,1.9217191097467385e-05
full,1,269,1.303915,1.920951650038373e-05
full,1,270,1.784419,1.9201841903300077e-05
full,1,271,1.916389,1.9194167306216423e-05
full,1,272,1.440777,1.918649270913277e-05
full,1,273,1.685261,1.917881811204912e-05
full,1,274,1.756917,1.9171143514965465e-05
full,1,275,1.383815,1.9163468917881815e-05
full,1,276,1.350936,1.915579432079816e-05
full,1,277,1.415128,1.9148119723714507e-05
full,1,278,1.86649,1.9140445126630853e-05
full,1,279,1.418705,1.91327705295472e-05
full,1,280,1.663941,1.9125095932463546e-05
full,1,281,1.489222,1.9117421335379892e-05
full,1,282,1.565623,1.910974673829624e-05
full,1,283,1.301191,1.9102072141212588e-05
full,1,284,1.520145,1.9094397544128934e-05
full,1,285,1.986604,1.9086722947045283e-05
full,1,286,1.45909,1.907904834996163e-05
full,1,287,1.466175,1.9071373752877976e-05
full,1,288,1.621066,1.9063699155794322e-05
full,1,289,1.438354,1.9056024558710668e-05
full,1,290,1.607695,1.9048349961627014e-05
full,1,291,1.574052,1.9040675364543364e-05
full,1,292,1.454492,1.903300076745971e-05
full,1,293,1.568984,1.9025326170376056e-05
full,1,294,1.568221,1.9017651573292406e-05
full,1,295,1.294229,1.9009976976208752e-05
full,1,296,1.247203,1.9002302379125098e-05
full,1,297,1.506456,1.8994627782041444e-05
full,1,298,1.521027,1.898695318495779e-05
full,1,299,1.365013,1.897927858787414e-05
full,1,300,1.383374,1.8971603990790486e-05
full,1,301,1.657965,1.8963929393706832e-05
full,1,302,1.625072,1.8956254796623178e-05
full,1,303,1.058957,1.8948580199539524e-05
full,1,304,1.856979,1.8940905602455874e-05
full,1,305,1.127172,1.893323100537222e-05
full,1,306,1.283887,1.8925556408288566e-05
full,1,307,1.417127,1.8917881811204912e-05
full,1,308,1.888351,1.8910207214121262e-05
full,1,309,1.901314,1.8902532617037608e-05
full,1,310,1.50143,1.8894858019953954e-05
full,1,311,1.350743,1.88871834228703e-05
full,1,312,1.292049,1.8879508825786647e-05
full,1,313,1.229738,1.8871834228702993e-05
full,1,314,1.585581,1.8864159631619342e-05
full,1,315,1.771823,1.885648503453569e-05
full,1,316,1.948252,1.8848810437452035e-05
full,1,317,1.721905,1.8841135840368384e-05
full,1,318,1.446997,1.883346124328473e-05
full,1,319,1.43096,1.8825786646201077e-05
full,1,320,1.352561,1.8818112049117423e-05
full,1,321,1.859133,1.881043745203377e-05
full,1,322,1.455092,1.8802762854950115e-05
full,1,323,1.715583,1.879508825786646e-05
full,1,324,1.41161,1.878741366078281e-05
full,1,325,1.840351,1.8779739063699157e-05
full,1,326,1.713871,1.8772064466615507e-05
full,1,327,1.509108,1.8764389869531853e-05
full,1,328,1.085811,1.87567152724482e-05
full,1,329,1.728685,1.8749040675364545e-05
full,1,330,1.230451,1.874136607828089e-05
full,1,331,1.543736,1.8733691481197237e-05
full,1,332,1.355855,1.8726016884113584e-05
full,1,333,1.35557,1.8718342287029933e-05
full,1,334,1.646075,1.871066768994628e-05
full,1,335,1.66686,1.8702993092862625e-05
full,1,336,1.75493,1.8695318495778975e-05
full,1,337,1.543528,1.868764389869532e-05
full,1,338,1.201013,1.8679969301611667e-05
full,1,339,1.516187,1.8672294704528013e-05
full,1,340,1.732409,1.866462010744436e-05
full,1,341,1.685015,1.8656945510360706e-05
full,1,342,1.545306,1.8649270913277055e-05
full,1,343,1.269133,1.86415963161934e-05
full,1,344,1.568592,1.8633921719109748e-05
full,1,345,1.682136,1.8626247122026094e-05
full,1,346,1.508481,1.8618572524942443e-05
full,1,347,1.596126,1.861089792785879e-05
full,1,348,1.70702,1.8603223330775136e-05
full,1,349,1.190714,1.8595548733691482e-05
full,1,350,1.870161,1.8587874136607828e-05
