phase,epoch,step,loss,lr
clean,1,1,1.998272,2e-05
clean,1,2,1.984311,1.904761904761905e-05
clean,1,3,1.929449,1.8095238095238097e-05
clean,1,4,1.924423,1.7142857142857142e-05
clean,1,5,1.872194,1.6190476190476193e-05
clean,1,6,1.804307,1.523809523809524e-05
clean,1,7,1.924975,1.4285714285714287e-05
clean,1,8,1.731757,1.3333333333333333e-05
clean,1,9,1.638785,1.2380952380952383e-05
clean,1,10,1.62994,1.1428571428571429e-05
clean,1,11,1.157349,1.0476190476190477e-05
clean,2,12,1.550321,9.523809523809525e-06
clean,2,13,1.550114,8.571428571428571e-06
clean,2,14,1.472741,7.61904761904762e-06
clean,2,15,1.486689,6.666666666666667e-06
clean,2,16,1.735458,5.7142857142857145e-06
clean,2,17,1.430633,4.761904761904762e-06
clean,2,18,1.296381,3.80952380952381e-06
clean,2,19,1.378135,2.8571428571428573e-06
clean,2,20,1.991174,1.904761904761905e-06
clean,2,21,1.213993,9.523809523809525e-07
clean,2,22,0.594822,0.0
diverse,1,23,1.093535,1.1764705882352942e-06
diverse,1,24,1.595099,2.3529411764705885e-06
diverse,1,25,1.340804,3.529411764705883e-06
diverse,1,26,1.497252,4.705882352941177e-06
diverse,1,27,1.573727,5.882352941176471e-06
diverse,1,28,1.67519,7.058823529411766e-06
diverse,1,29,1.752763,8.23529411764706e-06
diverse,1,30,1.625511,9.411764705882354e-06
diverse,1,31,1.747636,1.0588235294117648e-05
diverse,1,32,1.469773,1.1764705882352942e-05
diverse,1,33,1.157827,1.2941176470588238e-05
diverse,1,34,1.629526,1.4117647058823532e-05
diverse,1,35,1.563095,1.5294117647058822e-05
diverse,1,36,1.353577,1.647058823529412e-05
diverse,1,37,1.432917,1.7647058823529414e-05
diverse,1,38,1.380413,1.8823529411764708e-05
diverse,1,39,1.397298,2e-05
diverse,1,40,1.510828,1.9928825622775804e-05
diverse,1,41,1.228737,1.9857651245551603e-05
diverse,1,42,1.271347,1.9786476868327405e-05
diverse,1,43,1.737117,1.9715302491103204e-05
diverse,1,44,1.752891,1.9644128113879003e-05
diverse,1,45,1.525398,1.9572953736654805e-05
diverse,1,46,1.420267,1.9501779359430607e-05
diverse,1,47,1.756127,1.9430604982206406e-05
diverse,1,48,1.208336,1.935943060498221e-05
diverse,1,49,1.540606,1.9288256227758007e-05
diverse,1,50,1.757857,1.921708185053381e-05
diverse,1,51,1.266378,1.9145907473309612e-05
diverse,1,52,1.772993,1.907473309608541e-05
diverse,1,53,1.479548,1.9003558718861213e-05
diverse,1,54,1.325152,1.8932384341637012e-05
diverse,1,55,1.685156,1.886120996441281e-05
diverse,1,56,1.148807,1.8790035587188613e-05
diverse,1,57,1.393402,1.8718861209964415e-05
diverse,1,58,1.303857,1.8647686832740214e-05
diverse,1,59,1.721602,1.8576512455516017e-05
diverse,1,60,1.484888,1.8505338078291815e-05
diverse,1,61,1.065106,1.8434163701067618e-05
diverse,1,62,1.518041,1.836298932384342e-05
diverse,1,63,0.900385,1.829181494661922e-05
diverse,1,64,1.278374,1.8220640569395018e-05
diverse,1,65,1.028216,1.814946619217082e-05
diverse,1,66,1.905897,1.807829181494662e-05
diverse,1,67,1.463925,1.800711743772242e-05
diverse,1,68,1.577477,1.7935943060498224e-05
diverse,1,69,1.03702,1.7864768683274022e-05
diverse,1,70,1.318756,1.7793594306049825e-05
diverse,1,71,1.474689,1.7722419928825624e-05
diverse,1,72,1.702624,1.7651245551601426e-05
diverse,1,73,1.25332,1.7580071174377225e-05
diverse,1,74,1.380222,1.7508896797153027e-05
diverse,1,75,1.223149,1.7437722419928826e-05
diverse,1,76,1.559756,1.7366548042704628e-05
diverse,1,77,1.251391,1.7295373665480427e-05
diverse,1,78,1.367492,1.722419928825623e-05
diverse,1,79,1.346331,1.715302491103203e-05
diverse,1,80,1.515405,1.708185053380783e-05
diverse,1,81,1.217496,1.7010676156583633e-05
diverse,1,82,1.504955,1.693950177935943e-05
diverse,1,83,1.461172,1.686832740213523e-05
diverse,1,84,1.516143,1.6797153024911033e-05
diverse,1,85,1.234799,1.6725978647686835e-05
diverse,1,86,1.355727,1.6654804270462634e-05
diverse,1,87,1.552665,1.6583629893238436e-05
diverse,1,88,1.304797,1.6512455516014235e-05
diverse,1,89,1.416894,1.6441281138790037e-05
diverse,1,90,1.598313,1.637010676156584e-05
diverse,1,91,1.720178,1.629893238434164e-05
diverse,1,92,1.321737,1.622775800711744e-05
diverse,1,93,1.169597,1.615658362989324e-05
diverse,1,94,1.380724,1.608540925266904e-05
diverse,1,95,1.773464,1.601423487544484e-05
diverse,1,96,1.482139,1.5943060498220643e-05
diverse,1,97,1.44592,1.5871886120996442e-05
diverse,1,98,0.877938,1.5800711743772244e-05
diverse,1,99,1.273704,1.5729537366548043e-05
diverse,1,100,1.583502,1.5658362989323845e-05
diverse,1,101,1.539074,1.5587188612099648e-05
diverse,1,102,1.458196,1.5516014234875447e-05
diverse,1,103,1.492716,1.5444839857651245e-05
diverse,1,104,1.801143,1.5373665480427048e-05
diverse,1,105,1.177822,1.5302491103202847e-05
diverse,1,106,1.358866,1.5231316725978649e-05
diverse,1,107,1.289326,1.516014234875445e-05
diverse,1,108,1.460672,1.508896797153025e-05
diverse,1,109,1.579677,1.5017793594306052e-05
diverse,1,110,1.416378,1.4946619217081853e-05
diverse,1,111,1.539618,1.4875444839857654e-05
diverse,1,112,0.961559,1.4804270462633452e-05
diverse,1,113,1.406681,1.4733096085409253e-05
diverse,1,114,1.547935,1.4661921708185054e-05
diverse,1,115,1.534817,1.4590747330960854e-05
diverse,1,116,1.664023,1.4519572953736656e-05
diverse,1,117,1.211033,1.4448398576512457e-05
diverse,1,118,1.045881,1.4377224199288258e-05
diverse,1,119,1.087072,1.4306049822064058e-05
diverse,1,120,1.341921,1.423487544483986e-05
diverse,1,121,1.224341,1.4163701067615661e-05
diverse,1,122,1.169791,1.409252669039146e-05
diverse,1,123,0.963646,1.402135231316726e-05
diverse,1,124,1.336742,1.3950177935943061e-05
diverse,1,125,1.125174,1.3879003558718862e-05
diverse,1,126,1.195244,1.3807829181494662e-05
diverse,1,127,1.787461,1.3736654804270464e-05
diverse,1,128,1.501197,1.3665480427046265e-05
diverse,1,129,1.053789,1.3594306049822066e-05
diverse,1,130,1.21184,1.3523131672597866e-05
diverse,1,131,1.412441,1.3451957295373668e-05
diverse,1,132,1.484823,1.3380782918149466e-05
diverse,1,133,1.600702,1.3309608540925268e-05
diverse,1,134,1.325002,1.3238434163701069e-05
diverse,1,135,1.567588,1.3167259786476869e-05
diverse,1,136,1.236612,1.309608540925267e-05
diverse,1,137,1.423654,1.302491103202847e-05
diverse,1,138,1.418947,1.2953736654804273e-05
diverse,1,139,1.427228,1.2882562277580073e-05
diverse,1,140,1.300591,1.2811387900355874e-05
diverse,1,141,1.410978,1.2740213523131673e-05
diverse,1,142,1.469436,1.2669039145907473e-05
diverse,1,143,1.68109,1.2597864768683274e-05
diverse,1,144,1.26029,1.2526690391459076e-05
diverse,1,145,1.162714,1.2455516014234877e-05
diverse,1,146,1.231969,1.2384341637010677e-05
diverse,1,147,1.398583,1.2313167259786478e-05
diverse,1,148,1.626187,1.2241992882562278e-05
diverse,1,149,1.123029,1.217081850533808e-05
diverse,1,150,1.328313,1.2099644128113881e-05
diverse,1,151,1.715027,1.202846975088968e-05
diverse,1,152,1.370716,1.195729537366548e-05
diverse,1,153,1.291352,1.1886120996441281e-05
diverse,1,154,1.352596,1.1814946619217082e-05
diverse,1,155,1.208207,1.1743772241992884e-05
diverse,1,156,1.490864,1.1672597864768685e-05
diverse,1,157,1.577771,1.1601423487544485e-05
diverse,1,158,1.171375,1.1530249110320286e-05
diverse,1,159,1.284739,1.1459074733096086e-05
diverse,1,160,1.445208,1.1387900355871889e-05
diverse,1,161,1.569707,1.1316725978647688e-05
diverse,1,162,1.279279,1.1245551601423488e-05
diverse,1,163,1.768038,1.1174377224199289e-05
diverse,1,164,1.301214,1.110320284697509e-05
diverse,1,165,1.31659,1.103202846975089e-05
diverse,1,166,1.382927,1.0960854092526692e-05
diverse,1,167,1.149814,1.0889679715302493e-05
diverse,1,168,1.468222,1.0818505338078293e-05
diverse,1,169,1.919624,1.0747330960854094e-05
diverse,1,170,1.737633,1.0676156583629893e-05
diverse,1,171,1.183132,1.0604982206405693e-05
diverse,2,172,1.414292,1.0533807829181496e-05
diverse,2,173,1.474025,1.0462633451957296e-05
diverse,2,174,1.163475,1.0391459074733097e-05
diverse,2,175,1.236693,1.0320284697508897e-05
diverse,2,176,1.232728,1.0249110320284698e-05
diverse,2,177,1.47757,1.01779359430605e-05
diverse,2,178,1.370869,1.01067615658363e-05
diverse,2,179,1.502476,1.0035587188612101e-05
diverse,2,180,1.206025,9.964412811387902e-06
diverse,2,181,1.343974,9.893238434163703e-06
diverse,2,182,1.515225,9.822064056939501e-06
diverse,2,183,1.442266,9.750889679715304e-06
diverse,2,184,1.282397,9.679715302491104e-06
diverse,2,185,1.357923,9.608540925266905e-06
diverse,2,186,1.184797,9.537366548042705e-06
diverse,2,187,1.289582,9.466192170818506e-06
diverse,2,188,1.293935,9.395017793594307e-06
diverse,2,189,1.329025,9.323843416370107e-06
diverse,2,190,1.403622,9.252669039145908e-06
diverse,2,191,1.807806,9.18149466192171e-06
diverse,2,192,1.592093,9.110320284697509e-06
diverse,2,193,1.512185,9.03914590747331e-06
diverse,2,194,1.883097,8.967971530249112e-06
diverse,2,195,1.408025,8.896797153024912e-06
diverse,2,196,1.371953,8.825622775800713e-06
diverse,2,197,1.020583,8.754448398576513e-06
