phase,epoch,step,loss,lr
clean,1,1,2.012171,2e-05
clean,1,2,1.891484,1.866666666666667e-05
clean,1,3,1.98821,1.7333333333333336e-05
clean,1,4,1.886969,1.6000000000000003e-05
clean,1,5,1.834755,1.4666666666666666e-05
clean,1,6,1.869321,1.3333333333333333e-05
clean,1,7,1.879402,1.2e-05
clean,1,8,1.931702,1.0666666666666667e-05
clean,2,9,1.829326,9.333333333333334e-06
clean,2,10,1.656683,8.000000000000001e-06
clean,2,11,1.770964,6.666666666666667e-06
clean,2,12,1.684894,5.333333333333334e-06
clean,2,13,1.675993,4.000000000000001e-06
clean,2,14,1.665725,2.666666666666667e-06
clean,2,15,1.493292,1.3333333333333334e-06
clean,2,16,1.679385,0.0
diverse,1,17,1.642115,1.8181818181818183e-06
diverse,1,18,1.702233,3.6363636363636366e-06
diverse,1,19,1.764758,5.4545454545454545e-06
diverse,1,20,1.753608,7.272727272727273e-06
diverse,1,21,1.678901,9.090909090909091e-06
diverse,1,22,1.65222,1.0909090909090909e-05
diverse,1,23,1.785007,1.2727272727272728e-05
diverse,1,24,1.209385,1.4545454545454546e-05
diverse,1,25,1.395142,1.6363636363636366e-05
diverse,1,26,1.760004,1.8181818181818182e-05
diverse,1,27,1.660499,2e-05
diverse,1,28,1.206604,1.9891891891891894e-05
diverse,1,29,1.5047,1.9783783783783786e-05
diverse,1,30,1.482129,1.967567567567568e-05
diverse,1,31,1.902378,1.956756756756757e-05
diverse,1,32,1.435978,1.9459459459459463e-05
diverse,1,33,1.322942,1.9351351351351352e-05
diverse,1,34,1.376961,1.9243243243243244e-05
diverse,1,35,1.707869,1.9135135135135137e-05
diverse,1,36,1.250425,1.902702702702703e-05
diverse,1,37,1.541579,1.891891891891892e-05
diverse,1,38,1.41184,1.8810810810810813e-05
diverse,1,39,1.443551,1.8702702702702706e-05
diverse,1,40,1.520104,1.8594594594594598e-05
diverse,1,41,2.120353,1.8486486486486487e-05
diverse,1,42,1.664478,1.8378378378378383e-05
diverse,1,43,1.398475,1.827027027027027e-05
diverse,1,44,1.103461,1.8162162162162164e-05
diverse,1,45,1.40401,1.8054054054054056e-05
diverse,1,46,1.374135,1.7945945945945948e-05
diverse,1,47,1.595842,1.783783783783784e-05
diverse,1,48,1.24451,1.7729729729729733e-05
diverse,1,49,1.750513,1.7621621621621622e-05
diverse,1,50,1.683504,1.7513513513513517e-05
diverse,1,51,1.455367,1.7405405405405406e-05
diverse,1,52,1.590274,1.72972972972973e-05
diverse,1,53,1.810166,1.718918918918919e-05
diverse,1,54,1.479656,1.7081081081081083e-05
diverse,1,55,1.462812,1.6972972972972975e-05
diverse,1,56,1.559705,1.6864864864864868e-05
diverse,1,57,1.587053,1.6756756756756757e-05
diverse,1,58,1.583583,1.6648648648648652e-05
diverse,1,59,1.517898,1.654054054054054e-05
diverse,1,60,1.499656,1.6432432432432434e-05
diverse,1,61,1.204922,1.6324324324324326e-05
diverse,1,62,1.547607,1.6216216216216218e-05
diverse,1,63,1.748111,1.610810810810811e-05
diverse,1,64,1.83344,1.6000000000000003e-05
diverse,1,65,1.490375,1.589189189189189e-05
diverse,1,66,1.429492,1.5783783783783787e-05
diverse,1,67,1.245646,1.5675675675675676e-05
diverse,1,68,1.45221,1.556756756756757e-05
diverse,1,69,1.602731,1.545945945945946e-05
diverse,1,70,1.25808,1.5351351351351353e-05
diverse,1,71,1.698653,1.5243243243243244e-05
diverse,1,72,1.429523,1.5135135135135138e-05
diverse,1,73,1.815451,1.5027027027027028e-05
diverse,1,74,1.795237,1.491891891891892e-05
diverse,1,75,1.171049,1.4810810810810811e-05
diverse,1,76,1.351254,1.4702702702702705e-05
diverse,1,77,1.185164,1.4594594594594596e-05
diverse,1,78,1.491296,1.4486486486486488e-05
diverse,1,79,1.724987,1.4378378378378378e-05
diverse,1,80,1.99029,1.4270270270270272e-05
diverse,1,81,1.428709,1.4162162162162163e-05
diverse,1,82,1.551364,1.4054054054054055e-05
diverse,1,83,1.46869,1.3945945945945946e-05
diverse,1,84,1.341783,1.383783783783784e-05
diverse,1,85,1.260513,1.372972972972973e-05
diverse,1,86,1.880482,1.3621621621621623e-05
diverse,1,87,1.426903,1.3513513513513515e-05
diverse,1,88,1.921043,1.3405405405405407e-05
diverse,1,89,1.634342,1.3297297297297298e-05
diverse,1,90,1.96543,1.318918918918919e-05
diverse,1,91,1.799986,1.3081081081081083e-05
diverse,1,92,1.273856,1.2972972972972975e-05
diverse,1,93,1.61669,1.2864864864864865e-05
diverse,1,94,1.328681,1.2756756756756758e-05
diverse,1,95,1.399044,1.264864864864865e-05
diverse,1,96,1.335403,1.2540540540540542e-05
diverse,1,97,1.555118,1.2432432432432433e-05
diverse,1,98,1.351637,1.2324324324324327e-05
diverse,1,99,1.699545,1.2216216216216217e-05
diverse,1,100,1.559695,1.210810810810811e-05
diverse,1,101,1.230126,1.2e-05
diverse,1,102,1.524537,1.1891891891891894e-05
diverse,1,103,1.686078,1.1783783783783785e-05
diverse,1,104,1.392359,1.1675675675675677e-05
diverse,1,105,1.572926,1.1567567567567568e-05
diverse,1,106,1.383676,1.1459459459459462e-05
diverse,1,107,1.464986,1.1351351351351352e-05
diverse,1,108,1.257243,1.1243243243243245e-05
diverse,1,109,2.070044,1.1135135135135135e-05
diverse,1,110,1.29154,1.102702702702703e-05
diverse,1,111,1.239792,1.091891891891892e-05
