phase,epoch,step,loss,lr
full,1,1,2.618203,1.342281879194631e-07
full,1,2,2.122009,2.684563758389262e-07
full,1,3,1.667285,4.026845637583893e-07
full,1,4,1.137379,5.369127516778524e-07
full,1,5,1.593683,6.711409395973155e-07
full,1,6,2.666941,8.053691275167786e-07
full,1,7,1.334768,9.395973154362417e-07
full,1,8,3.624484,1.0738255033557048e-06
full,1,9,1.390477,1.208053691275168e-06
full,1,10,1.377935,1.342281879194631e-06
full,1,11,2.362232,1.4765100671140942e-06
full,1,12,1.362507,1.6107382550335572e-06
full,1,13,1.944278,1.7449664429530203e-06
full,1,14,2.403685,1.8791946308724835e-06
full,1,15,3.012951,2.013422818791946e-06
full,1,16,2.076631,2.1476510067114096e-06
full,1,17,1.384887,2.2818791946308725e-06
full,1,18,2.160653,2.416107382550336e-06
full,1,19,2.54434,2.5503355704697992e-06
full,1,20,2.372076,2.684563758389262e-06
full,1,21,3.393653,2.8187919463087247e-06
full,1,22,1.188039,2.9530201342281885e-06
full,1,23,4.208021,3.0872483221476514e-06
full,1,24,1.448052,3.2214765100671143e-06
full,1,25,0.935705,3.3557046979865777e-06
full,1,26,1.90504,3.4899328859060407e-06
full,1,27,1.541543,3.6241610738255036e-06
full,1,28,1.494257,3.758389261744967e-06
full,1,29,2.249253,3.8926174496644295e-06
full,1,30,2.185924,4.026845637583892e-06
full,1,31,2.367854,4.161073825503356e-06
full,1,32,1.004358,4.295302013422819e-06
full,1,33,1.940615,4.429530201342283e-06
full,1,34,2.215236,4.563758389261745e-06
full,1,35,3.62606,4.697986577181208e-06
full,1,36,1.532494,4.832214765100672e-06
full,1,37,1.836355,4.966442953020135e-06
full,1,38,1.556819,5.1006711409395985e-06
full,1,39,1.474844,5.234899328859061e-06
full,1,40,1.328052,5.369127516778524e-06
full,1,41,2.001777,5.503355704697987e-06
full,1,42,1.099649,5.637583892617449e-06
full,1,43,2.501936,5.771812080536914e-06
full,1,44,1.977689,5.906040268456377e-06
full,1,45,1.229908,6.04026845637584e-06
full,1,46,1.444032,6.174496644295303e-06
full,1,47,3.454938,6.308724832214766e-06
full,1,48,2.258585,6.442953020134229e-06
full,1,49,3.095236,6.5771812080536925e-06
full,1,50,1.963784,6.711409395973155e-06
full,1,51,1.709468,6.845637583892618e-06
full,1,52,1.008836,6.979865771812081e-06
full,1,53,1.357637,7.114093959731544e-06
full,1,54,1.501335,7.248322147651007e-06
full,1,55,2.159141,7.382550335570471e-06
full,1,56,1.193652,7.516778523489934e-06
full,1,57,2.264617,7.651006711409396e-06
full,1,58,2.502141,7.785234899328859e-06
full,1,59,1.028153,7.919463087248322e-06
full,1,60,2.757589,8.053691275167785e-06
full,1,61,1.331978,8.18791946308725e-06
full,1,62,1.370824,8.322147651006712e-06
full,1,63,2.529535,8.456375838926175e-06
full,1,64,1.296806,8.590604026845638e-06
full,1,65,1.582439,8.724832214765101e-06
full,1,66,1.822994,8.859060402684566e-06
full,1,67,0.895698,8.993288590604027e-06
