phase,epoch,step,loss,lr
clean,1,1,2.069178,2.222222222222222e-06
clean,1,2,2.099872,4.444444444444444e-06
clean,1,3,2.533526,6.666666666666667e-06
clean,1,4,2.120548,8.888888888888888e-06
clean,1,5,1.705558,1.1111111111111113e-05
clean,1,6,2.093039,1.3333333333333333e-05
clean,1,7,1.353783,1.555555555555556e-05
clean,1,8,1.844746,1.7777777777777777e-05
clean,1,9,1.459093,2e-05
clean,1,10,3.079965,1.9870967741935484e-05
clean,1,11,2.355107,1.974193548387097e-05
clean,1,12,2.437909,1.9612903225806452e-05
clean,1,13,1.340543,1.948387096774194e-05
clean,1,14,1.804145,1.935483870967742e-05
clean,1,15,1.511777,1.9225806451612907e-05
clean,1,16,1.796697,1.909677419354839e-05
clean,1,17,1.338621,1.896774193548387e-05
clean,1,18,2.329835,1.8838709677419354e-05
clean,1,19,1.48878,1.870967741935484e-05
clean,1,20,1.415334,1.8580645161290326e-05
clean,1,21,2.733872,1.845161290322581e-05
clean,1,22,1.775262,1.832258064516129e-05
clean,1,23,3.329016,1.8193548387096777e-05
clean,1,24,1.821777,1.806451612903226e-05
clean,1,25,1.322224,1.7935483870967742e-05
clean,1,26,1.728583,1.7806451612903228e-05
clean,1,27,1.99281,1.7677419354838713e-05
clean,1,28,1.711117,1.7548387096774196e-05
clean,1,29,2.493906,1.741935483870968e-05
clean,1,30,1.221798,1.729032258064516e-05
clean,1,31,2.249476,1.7161290322580647e-05
clean,1,32,1.594231,1.703225806451613e-05
clean,1,33,1.538827,1.6903225806451615e-05
clean,1,34,2.113473,1.6774193548387098e-05
clean,1,35,2.022104,1.6645161290322583e-05
clean,1,36,3.441063,1.6516129032258066e-05
clean,1,37,1.83377,1.638709677419355e-05
clean,1,38,1.309008,1.6258064516129034e-05
clean,1,39,3.17503,1.6129032258064517e-05
clean,1,40,1.670158,1.6000000000000003e-05
clean,1,41,2.437537,1.5870967741935485e-05
clean,1,42,1.375142,1.5741935483870968e-05
clean,1,43,1.296255,1.5612903225806454e-05
clean,1,44,2.383451,1.5483870967741936e-05
clean,1,45,1.249057,1.535483870967742e-05
clean,1,46,3.067711,1.5225806451612903e-05
clean,1,47,1.422501,1.5096774193548389e-05
clean,1,48,2.064101,1.4967741935483873e-05
clean,1,49,2.154459,1.4838709677419357e-05
clean,1,50,2.186607,1.470967741935484e-05
clean,1,51,1.065258,1.4580645161290324e-05
clean,1,52,1.394016,1.4451612903225806e-05
clean,1,53,1.545041,1.4322580645161292e-05
clean,1,54,1.764446,1.4193548387096776e-05
clean,1,55,1.158592,1.406451612903226e-05
clean,1,56,2.209455,1.3935483870967743e-05
clean,1,57,0.971879,1.3806451612903227e-05
clean,1,58,2.323994,1.367741935483871e-05
clean,1,59,1.124074,1.3548387096774194e-05
clean,1,60,0.946511,1.341935483870968e-05
clean,1,61,1.176001,1.3290322580645164e-05
clean,1,62,1.236749,1.3161290322580646e-05
clean,1,63,0.959467,1.303225806451613e-05
clean,1,64,0.977566,1.2903225806451613e-05
clean,1,65,1.041102,1.2774193548387097e-05
clean,1,66,1.708108,1.2645161290322581e-05
clean,1,67,1.778479,1.2516129032258067e-05
clean,1,68,0.964466,1.238709677419355e-05
clean,1,69,2.71506,1.2258064516129034e-05
clean,1,70,1.622846,1.2129032258064518e-05
clean,1,71,1.546885,1.2e-05
clean,1,72,0.764838,1.1870967741935484e-05
clean,1,73,2.235329,1.1741935483870967e-05
clean,1,74,1.519229,1.1612903225806453e-05
clean,1,75,0.936453,1.1483870967741937e-05
clean,1,76,1.550562,1.1354838709677421e-05
clean,1,77,1.42454,1.1225806451612904e-05
clean,1,78,0.784197,1.1096774193548388e-05
clean,1,79,0.741459,1.096774193548387e-05
clean,1,80,1.082723,1.0838709677419356e-05
clean,1,81,0.72371,1.070967741935484e-05
clean,1,82,1.825983,1.0580645161290325e-05
clean,2,83,1.726066,1.0451612903225807e-05
clean,2,84,2.28003,1.0322580645161291e-05
clean,2,85,0.707028,1.0193548387096774e-05
clean,2,86,0.725698,1.0064516129032258e-05
clean,2,87,0.893199,9.935483870967742e-06
clean,2,88,0.794145,9.806451612903226e-06
clean,2,89,1.540413,9.67741935483871e-06
clean,2,90,1.358776,9.548387096774195e-06
clean,2,91,0.594905,9.419354838709677e-06
clean,2,92,1.421452,9.290322580645163e-06
clean,2,93,1.050082,9.161290322580645e-06
clean,2,94,0.82838,9.03225806451613e-06
clean,2,95,0.971074,8.903225806451614e-06
clean,2,96,0.733353,8.774193548387098e-06
clean,2,97,1.291284,8.64516129032258e-06
clean,2,98,0.614004,8.516129032258065e-06
clean,2,99,1.456805,8.387096774193549e-06
clean,2,100,1.094687,8.258064516129033e-06
clean,2,101,0.808271,8.129032258064517e-06
clean,2,102,1.490676,8.000000000000001e-06
clean,2,103,1.063522,7.870967741935484e-06
clean,2,104,0.682818,7.741935483870968e-06
clean,2,105,2.353214,7.612903225806451e-06
clean,2,106,1.095398,7.483870967741936e-06
clean,2,107,0.706362,7.35483870967742e-06
clean,2,108,1.317766,7.225806451612903e-06
clean,2,109,1.02015,7.096774193548388e-06
clean,2,110,1.906208,6.967741935483871e-06
clean,2,111,1.238152,6.838709677419355e-06
clean,2,112,1.378631,6.70967741935484e-06
