phase,epoch,step,loss,lr
clean,1,1,2.322444,3.3333333333333333e-06
clean,1,2,1.825885,6.666666666666667e-06
clean,1,3,1.28288,1e-05
clean,1,4,2.919803,1.3333333333333333e-05
clean,1,5,2.043105,1.6666666666666667e-05
clean,1,6,1.355487,2e-05
clean,1,7,1.407707,1.9803921568627454e-05
clean,1,8,1.597301,1.9607843137254903e-05
clean,1,9,1.252058,1.9411764705882355e-05
clean,1,10,3.073897,1.9215686274509807e-05
clean,1,11,2.57608,1.9019607843137255e-05
clean,1,12,2.724427,1.8823529411764708e-05
clean,1,13,1.608912,1.862745098039216e-05
clean,1,14,2.576406,1.843137254901961e-05
clean,1,15,1.547191,1.823529411764706e-05
clean,1,16,2.562868,1.8039215686274513e-05
clean,1,17,1.40858,1.7843137254901965e-05
clean,1,18,1.185823,1.7647058823529414e-05
clean,1,19,1.363047,1.7450980392156866e-05
clean,1,20,2.882723,1.7254901960784314e-05
clean,1,21,2.394967,1.7058823529411767e-05
clean,1,22,3.30903,1.686274509803922e-05
clean,1,23,1.332688,1.6666666666666667e-05
clean,1,24,1.905974,1.647058823529412e-05
clean,1,25,1.266775,1.627450980392157e-05
clean,1,26,1.351444,1.607843137254902e-05
clean,1,27,1.988393,1.5882352941176473e-05
clean,1,28,2.084997,1.568627450980392e-05
clean,1,29,1.746524,1.5490196078431373e-05
clean,1,30,2.075588,1.5294117647058822e-05
clean,1,31,1.154291,1.5098039215686276e-05
clean,1,32,1.750701,1.4901960784313726e-05
clean,1,33,1.776218,1.4705882352941179e-05
clean,1,34,1.731097,1.4509803921568629e-05
clean,1,35,2.508892,1.431372549019608e-05
clean,1,36,2.587242,1.4117647058823532e-05
clean,1,37,1.317491,1.392156862745098e-05
clean,1,38,2.384259,1.3725490196078432e-05
clean,1,39,2.450063,1.3529411764705885e-05
clean,1,40,2.315414,1.3333333333333333e-05
clean,1,41,2.330452,1.3137254901960785e-05
clean,1,42,1.842316,1.2941176470588238e-05
clean,1,43,2.534962,1.2745098039215686e-05
clean,1,44,1.844775,1.2549019607843138e-05
clean,1,45,1.340452,1.235294117647059e-05
clean,1,46,1.283195,1.215686274509804e-05
clean,1,47,1.377952,1.1960784313725491e-05
clean,1,48,1.677654,1.1764705882352942e-05
clean,1,49,1.130734,1.1568627450980394e-05
clean,1,50,1.299907,1.1372549019607844e-05
clean,1,51,1.449842,1.1176470588235295e-05
clean,1,52,1.762881,1.0980392156862747e-05
clean,1,53,1.997853,1.0784313725490196e-05
clean,1,54,1.009614,1.0588235294117648e-05
clean,2,55,1.985715,1.03921568627451e-05
clean,2,56,1.28314,1.0196078431372549e-05
clean,2,57,1.210282,1e-05
clean,2,58,0.978603,9.803921568627451e-06
clean,2,59,4.318543,9.607843137254903e-06
clean,2,60,1.264929,9.411764705882354e-06
clean,2,61,1.315603,9.215686274509804e-06
clean,2,62,1.022759,9.019607843137256e-06
clean,2,63,1.252238,8.823529411764707e-06
clean,2,64,1.130702,8.627450980392157e-06
clean,2,65,1.036481,8.43137254901961e-06
clean,2,66,1.928542,8.23529411764706e-06
clean,2,67,2.12674,8.03921568627451e-06
clean,2,68,1.063156,7.84313725490196e-06
clean,2,69,1.026444,7.647058823529411e-06
clean,2,70,1.39041,7.450980392156863e-06
clean,2,71,1.290502,7.2549019607843145e-06
clean,2,72,1.656881,7.058823529411766e-06
clean,2,73,1.154711,6.862745098039216e-06
clean,2,74,2.863706,6.666666666666667e-06
clean,2,75,0.991523,6.470588235294119e-06
clean,2,76,1.144244,6.274509803921569e-06
clean,2,77,1.085594,6.07843137254902e-06
clean,2,78,0.967861,5.882352941176471e-06
clean,2,79,1.785679,5.686274509803922e-06
